INT	INT	INT	INT
INT	INT	INT	INT
0	20308010	0	5000
1	20308020	0	5000
2	20308030	0	5000
3	20308040	0	5000
4	20308050	0	5000
5	20308060	0	5000
6	20308070	0	5000
7	20308080	0	5000
8	20308090	0	5000
9	20308100	0	5000
10	20308110	0	5000
11	20308120	0	5000
12	20308130	0	5000
13	20308140	0	5000
14	20308150	0	5000
15	20308160	0	5000
16	20308161	0	5000
17	20308162	0	5000
18	20308163	0	5000
19	20308164	0	5000
20	20308165	0	5000
21	20308166	0	5000
22	20308167	0	5000
23	20308168	0	5000
24	20308169	0	5000
25	20308170	0	5000
26	20308171	0	5000
27	20308172	0	5000
28	20308173	0	5000
29	20308174	0	5000
30	20308175	0	5000
31	20308176	0	5000
32	20308177	0	5000
33	20308178	0	5000
34	20308179	0	5000
35	20308180	0	5000
36	20308181	0	5000
37	20308182	0	5000
38	20308183	0	5000
39	20308184	0	5000
40	20308185	0	5000
41	20308186	0	5000
42	20308187	0	5000
43	20308188	0	5000
44	20308189	0	5000
45	20308190	0	5000
46	20308191	0	5000
47	20308192	0	5000
48	20308202	0	5000
49	20308203	0	5000
50	20308204	0	5000
51	30309058	0	500000
52	30309065	0	500000
53	30309531	0	500000
54	30309606	0	500000
55	30309613	0	500000
56	30309683	0	500000
57	30309704	0	500000
58	30309725	0	500000
59	30309747	0	500000
60	30309754	0	500000
61	30309793	0	500000
62	30309822	0	500000
63	30309833	0	500000
64	30309987	0	500000
65	30310010	0	500000
66	30310116	0	500000
