INT	STRING	INT	INT	STRING	INT	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT
INT	STRING	INT	INT	STRING	INT	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT
1	N¤u nß¾ng	-1	10	pengren.txt	5000	-1	-1	5	-1	118	CommonLiveSkill_6	-1	Dân dî thñc vi thiên, thñc v§t Th¸ tr¸ li®u th¬ lñc Hoà nµi lñc Ðích chü yªu thü ðoÕn. Ngß, Nhøc, Lß½ng Thñc Ðô có th¬ dùng ð¬ chª tác mÛ v¸.	1	N¤u nß¾ng	1	250	0	-1	-1
2	Chª dßþc	15	10	zhiyao.txt	5000	-1	-1	5	1	118	CommonLiveSkill_10	-1	Không nghî sinh b®nh? Tß·ng tr· nên cß¶ng tráng? Nã Thßþng dßþc thäo Ðáo lò luy®n ðan Bàng Luy®n mµt lò ðan dßþc Ba.	1	Chª dßþc	1	252	0	-1	-1
3	Khäm	-1	10	putongshenghuo.txt	5000	-1	-1	-1	-1	118	CommonLiveSkill_4	-1	Cho ngß½i Ðích trang b¸ phø gia Thßþng huyªn l® Hñu thñc døng Ðích bäo thÕch, Nång ð« cao cüa ngß½i sÑc chiªn ð¤u Nga.	2	Khäm	2	253	1	-1	-1
4	Ðúc khuôn	20	10	zhuzao.txt	5000	-1	-1	5	2	118	CommonLiveSkill_7	-1	Công có bµt m¾i gµt nên h°, Døng Khoáng ThÕch TÕi tÕo ra trên ðài tÕo ra Xu¤t Nhî yêu thích Ðích lßÞi dao s¡c bén Ba.	1	Ðúc khuôn	1	253	1	-1	-1
5	May m£c	25	10	fengren.txt	5000	-1	-1	5	4	118	CommonLiveSkill_5	-1	Vû Y nghê thß¶ng, Ngân Giáp Kim Khäi, chï c¥n Nhî thích mßþn Thßþng hàng d®t KhÑ Chª Y trên ðài ðµng thü ði.	1	May m£c	1	254	0	-1	-1
6	Công ngh®	25	10	gongyi.txt	5000	-1	-1	5	5	118	CommonLiveSkill_11	-1	Các loÕi tinh mÛ Ðích v§t ph¦m trang sÑc, khéo léo Ðích ngoÕn ý, Nhî ð«u có th¬ làm, b¤t quá Nhî t¯t nh¤t Tiên tìm mµt công ngh® Ðài.	1	Công ngh®	2	252	1	-1	-1
7	Khai Khoáng	20	10	caikuang.txt	6000	10102012	-1	3	-1	142	CommonLiveSkill_3	363	Lóe sáng Ðích Khoáng ThÕch không c¥m quy«n NgoÕi chôn d¤u, Døng cüa ngß½i Khoáng S× KhÑ ðào móc Ba.	-1	Khai Khoáng	1	248	1	-1	-1
8	Hái dßþc	15	10	caiyao.txt	6000	10102013	-1	3	-1	121	CommonLiveSkill_2	361	Không c¥m quy«n NgoÕi Nhî Hµi phát hi®n r¤t nhi«u dßþc thäo, Nã Thßþng cüa ngß½i Thái Dßþc Liêm KhÑ thu th§p Ba.	-1	Hái dßþc	1	249	1	-1	-1
9	Câu cá	10	10	diaoyu.txt	41000	10100031	10100032	3	-1	119	CommonLiveSkill_9	362	Nã Thßþng cüa ngß½i c¥n câu Ðáo ThuÖ Biên ði thôi, Ngß ðang ðþi Nhî.	-1	Câu cá	0	251	0	-1	-1
10	Tr°ng tr÷t	10	10	zhongzhi.txt	5000	-1	-1	3	-1	120	CommonLiveSkill_1	-1	TÕi ð°ng ruµng Trung có th¬ gieo Hoà thu hoÕch.	-1	Thu g£t	1	249	1	-1	-1
11	Phát ra ánh sáng	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_1	-1	Dßþc li®u có th¬ TÕi Ph§t „n Ðích thêm vào HÕ tr· nên th¥n kÏ.	1	Phát ra ánh sáng	1	252	0	-1	-1
12	Thánh Hoä Thu§t	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_2	-1	Hoä Ðan có th¬ Tß¾ng dßþc thäo luy®n Thành càng thêm mãnh li®t Ðích v§t ph¦m.	1	Thánh Hoä Thu§t	1	252	0	-1	-1
13	NhßÞng TØu	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_3	-1	Dî TØu Vi nguyên li®u, gia nh§p thäo dßþc Hoà sâu Chª thu¯c pha chª sÇn TØu.	1	NhßÞng TØu	1	252	0	-1	-1
14	Huy«n Bång Thu§t	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_4	-1	Ngàn nåm Ðích Bång Tinh h¤p thu dßþc li®u Ðích tinh hoa tr· nên càng thêm th¥n kÏ.	1	Huy«n Bång Thu§t	2	252	0	-1	-1
15	Chª C±	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_9	-1	C¤p ðµc trùng ån dßþc li®u, chúng nó Hµi giúp ngß½i làm vi®c Ðích.	1	Chª C±	2	252	0	-1	-1
16	Chª Ðµc	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_5	-1	R¤t khó tß·ng tßþng cÑu ngß¶i Ðích dßþc thäo Hoà hÕi nhân Ðích ðµc trùng h²n hþp cùng mµt ch² Hµi làm ra cái gì v§y.	1	Chª Ðµc	2	252	0	-1	-1
17	Chª Phù	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_6	-1	Døng Dßþc Tr¤p trên gi¤y v¨ bùa, s¨ có Nhî không tß·ng ðßþc Ðích công hi®u Nga.	1	Chª Phù	2	252	0	-1	-1
18	Luy®n ðan	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_7	-1	Này ðó ðan dßþc Ðích tác døng Th¸ thß¶ng quy thu¯c S· khó có th¬ ð¸ch n±i Ðích.	1	Luy®n ðan	1	252	0	-1	-1
19	KÏ môn ðµn giáp	10	10	menpaishenghuo.txt	5000	-1	-1	-1	-1	118	MenpaiLiveSkill_8	-1	Dßþc Tr¤p HoÕ Thành Ðích HoÕ, hæu th¥n C½ Ðích tác døng.	1	KÏ môn ðµn giáp	1	252	0	-1	-1
20	Công trình H÷c	10	99	assistant.txt	5000	-1	-1	-1	-1	118	Food_1	-1	TÕm Vô.	1	Công trình H÷c	1	-1	0	-1	-1
21	Khu QuÖ	10	200	assistant.txt	5000	-1	-1	1	-1	132	Food_1	-1	TÕm Vô.	-1	Khu QuÖ	1	-1	0	-1	-1
22	Ðào báu v§t	10	100	assistant.txt	5000	-1	-1	1	-1	132	Food_1	-1	C± nhân Ðích bäo tàng · n½i nào? Oa Bäo kÛ nång giáo hµi Nhî t¥m bäo, Oa Bäo.	-1	Ðào báu v§t	1	-1	0	-1	-1
23	Bào Thß½ng	10	50	assistant.txt	0	-1	-1	-1	-1	-1	Food_1	-1	Mu¯n cho chính mình Phú Giáp thiên hÕ Ma? V§y Lai làm khôn khéo Ðích thß½ng nhân Ba.	-1	Bào Thß½ng	1	-1	0	-1	-1
24	Ép giá	10	1	assistant.txt	0	-1	-1	-1	-1	-1	Food_1	-1	Giªt chính là Giá, giá th¤p Mãi Tiªn giúp ngß½i Tïnh Ti«n.	-1	Ép giá	1	-1	0	-1	-1
25	Nhi®t MÕi	10	1	assistant.txt	0	-1	-1	-1	-1	-1	Food_1	-1	Tång lên v§t ph¦m giá cä, Nhî có th¬ Ða TrÕm mµt chút Nga.	-1	Nhi®t MÕi	1	-1	0	-1	-1
26	Ðang thao tác	-1	12	assistant.txt	5000	-1	-1	2	-1	118	Food_1	-1	Thao Tác Trung, ThØ kÛ nång không c¥n bi¬u hi®n, vì C¤p nhi®m vø Tá Khai v§t ph¦m sØ døng.	-1	Ðang thao tác	1	-1	0	-1	-1
27	Dßþc lý	10	99	yaoli.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_10	-1	Phø trþ Chª Dßþc kÛ nång, r½i ch§m lÕi Chª Dßþc Ðích sÑc s¯ng tiêu hao.	-1	Dßþc lý	0	-1	0	-1	-1
28	DßÞng sinh pháp	10	99	yangsheng.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_11	-1	Phø trþ n¤u nß¾ng kÛ nång, r½i ch§m lÕi n¤u nß¾ng Ðích sÑc s¯ng tiêu hao.	-1	DßÞng sinh pháp	0	-1	0	-1	-1
29	Ph§t hi®u	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_1	-1	Phø trþ phát ra ánh sáng kÛ nång, r½i ch§m lÕi phát ra ánh sáng Ðích sÑc s¯ng tiêu hao, Phái Thiªu Lâm ðµc hæu chính là cuµc s¯ng kÛ nång.	-1	Ph§t hi®u	0	-1	0	-1	-1
30	Thái Hoä Thu§t	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_2	-1	Phø trþ Thánh Hoä Thu§t kÛ nång, r½i ch§m lÕi Thánh Hoä Thu§t Ðích sÑc s¯ng tiêu hao, Minh Giáo ðµc hæu chính là cuµc s¯ng kÛ nång.	-1	Thái Hoä Thu§t	0	-1	0	-1	-1
31	Làn ði®u 'hoa sen røng'	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_3	-1	Phø trþ NhßÞng TØu kÛ nång, r½i ch§m lÕi NhßÞng TØu Ðích sÑc s¯ng tiêu hao, Cái Bang ðµc hæu chính là cuµc s¯ng kÛ nång.	-1	Làn ði®u 'hoa sen røng'	0	-1	0	-1	-1
32	Thái Bång Thu§t	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_4	-1	Phø trþ Huy«n Bång Thu§t kÛ nång, r½i ch§m lÕi Huy«n Bång Thu§t Ðích sÑc s¯ng tiêu hao, Phái Thiên S½n ðµc hæu chính là cuµc s¯ng kÛ nång.	-1	Thái Bång Thu§t	0	-1	0	-1	-1
33	Kinh mÕch Bách Quyªt	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_9	-1	Phø trþ Chª C± kÛ nång, r½i ch§m lÕi Chª C± Ðích sÑc s¯ng tiêu hao, Thiên Long Phái ðµc hæu chính là cuµc s¯ng kÛ nång.	-1	Kinh mÕch Bách Quyªt	0	-1	0	-1	-1
34	Dçn Trùng Thu§t	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_5	-1	Phø trþ Chª Ðµc kÛ nång, r½i ch§m lÕi Chª Ðµc Ðích sÑc s¯ng tiêu hao, Tinh Tú Phái ðµc hæu chính là cuµc s¯ng kÛ nång.	-1	Dçn Trùng Thu§t	0	-1	0	-1	-1
35	Linh r¡p tâm	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_6	-1	Phø trþ Chª Phù kÛ nång, r½i ch§m lÕi Chª Phù Ðích sÑc s¯ng tiêu hao, Phái Nga Mi ðµc hæu chính là cuµc s¯ng kÛ nång.	-1	Linh r¡p tâm	0	-1	0	-1	-1
36	ÐÕo pháp	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_7	-1	Phø trþ luy®n ðan kÛ nång, r½i ch§m lÕi luy®n ðan Ðích sÑc s¯ng tiêu hao, Phái Võ Ðang ðµc hæu chính là cuµc s¯ng kÛ nång.	-1	ÐÕo pháp	0	-1	0	-1	-1
37	Løc ngh® khí khái	10	100	shenghuofuzhu.txt	5000	-1	-1	-1	-1	-1	MenpaiLiveSkill_8	-1	Phø trþ kÏ môn Thuçn Giáp kÛ nång, r½i ch§m lÕi kÏ môn ðµn giáp Ðích sÑc s¯ng tiêu hao, Tiêu Dao Phái ðµc hæu chính là cuµc s¯ng kÛ nång.	-1	Løc ngh® khí khái	0	-1	0	-1	-1
38	CßÞi ngña	30	1	assistant.txt	5000	-1	-1	-1	-1	-1	RideHeader1_1	-1	CßÞi ngña	-1	CßÞi ngña	0	-1	0	-1	-1
39	Chï Xích Thiên Nhai	10	3	dingweifu.txt	10000	-1	-1	-1	-1	118	Charm_4	-1	SØ døng ThØ kÛ nång có th¬ chª tÕo ra nhanh chóng tr· lÕi riêng ð¸a ði¬m Ðích phù chú.	1	Chï Xích Thiên Nhai	1	-1	0	-1	-1
40	HoÕt huyªt	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_12	-1	Gia tång Huyªt Thßþng HÕn	-2	HoÕt huyªt	0	-1	0	-1	-1
41	DßÞng khí	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_13	-1	Gia tång Khí hÕn mÑc cao nh¤t	-2	DßÞng khí	0	-1	0	-1	-1
42	Cß¶ng Thân	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_14	-1	Gia tång sÑc s¯ng hÕn mÑc cao nh¤t	-2	Cß¶ng Thân	0	-1	0	-1	-1
43	Ki®n th¬	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_15	-1	Gia tång tinh lñc hÕn mÑc cao nh¤t	-2	Ki®n th¬	0	-1	0	-1	-1
44	Tu thân	10	100	assistant.txt	0	-1	-1	-1	-1	-1	CommonLiveSkill_16	-1	Gia tång sÑc s¯ng tång trß·ng t¯c ðµ	-2	Tu thân	0	-1	0	-1	-1
45	T¯ th¬	10	100	assistant.txt	0	-1	-1	-1	-1	-1	MenpaiLiveSkill2_8	-1	Gia tång tinh lñc tång trß·ng t¯c ðµ	-2	T¯ th¬	0	-1	0	-1	-1
46	Tinh luy®n	10	1	assistant.txt	5000	-1	-1	-1	-1	118	TaskTools4_13	-1	Tinh luy®n Thiên Chú, th¥n binh Ðµt Thành, lþi khí †m Huyªt.	1	Tinh luy®n	0	253	1	-1	-1
47	Tinh chª	10	1	assistant.txt	5000	-1	-1	-1	-1	118	TaskTools4_14	-1	Tinh chª Tiên ChÑc, c¦m bào ng÷c ðái, hµ th¬ Th¥n Khäi.	1	Tinh chª	0	254	1	-1	-1
