INT	STRING	INT	INT	FLOAT	INT	INT
INT	STRING	INT	INT	FLOAT	INT	INT
1	Ð°ng mÕch khoáng	1	1	0	8	20003001
2	Tích Khoáng	2	10	0.2	8	20003002
3	Mö s¡t	4	15	0.4	8	20003003
4	Huy«n thiªt Khoáng	8	20	0.8	8	20003004
5	Ngân Khoáng	16	25	1.6	8	20003005
6	Huyªt Trích Ngân Khoáng	32	30	3.2	8	20003006
7	Mö Vàng	64	35	6.4	8	20003007
8	BÕch kim Khoáng	128	40	12.8	8	20003008
9	H¡c ThÕch Khoáng	256	45	25.6	8	20003009
10	Kim cß½ng Khoáng	512	50	51.2	8	20003010
11	Thäo Ngß	1	1	0	10	20002001
12	Cá mu¯i	2	10	0.2	10	20002002
13	Cá chép	4	15	0.4	10	20002003
14	T¥m Long Ngß	8	20	0.8	10	20002004
15	Quª Ngß	16	25	1.6	10	20002005
16	Con ba ba	32	30	3.2	10	20002006
17	Con cua	64	35	6.4	10	20002007
18	Võ Xß½ng Ngß	128	40	12.8	10	20002008
19	Cá nóc	256	45	25.6	10	20002009
20	Kim Long Ngß	512	50	51.2	10	20002010
