INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	Phø trþ(c¤p b§c 1)	114	38	0	0	0	1	Không	0	0
2	Phø trþ(c¤p b§c 2)	133	135	0	0	0	1	Không	0	0
3	Phø trþ(c¤p b§c 3)	152	263	0	0	0	1	Không	0	0
4	Phø trþ(c¤p b§c 4)	171	480	0	0	0	1	Không	0	0
5	Phø trþ(c¤p b§c 5)	190	743	0	0	0	1	Không	0	0
6	Phø trþ(c¤p b§c 6)	209	1088	0	0	0	1	Không	0	0
7	Phø trþ(c¤p b§c 7)	228	1528	0	0	0	1	Không	0	0
8	Phø trþ(c¤p b§c 8)	247	2070	0	0	0	1	Không	0	0
9	Phø trþ(c¤p b§c 9)	266	2340	0	0	0	1	Không	0	0
10	Phø trþ(c¤p b§c 10)	285	2625	0	0	0	1	Không	0	0
11	Phø trþ(c¤p b§c 11)	319	2925	0	0	0	1	Không	0	0
12	Phø trþ(c¤p b§c 12)	409	3240	0	0	0	1	Không	0	0
13	Phø trþ(c¤p b§c 13)	513	3698	0	0	0	1	Không	0	0
14	Phø trþ(c¤p b§c 14)	638	4185	0	0	0	1	Không	0	0
15	Phø trþ(c¤p b§c 15)	1087	4845	0	0	0	1	Không	0	0
16	Phø trþ(c¤p b§c 16)	1337	5550	0	0	0	1	Không	0	0
17	Phø trþ(c¤p b§c 17)	1631	6458	0	0	0	1	Không	0	0
18	Phø trþ(c¤p b§c 18)	1973	7590	0	0	0	1	Không	0	0
19	Phø trþ(c¤p b§c 19)	2370	8970	0	0	0	1	Không	0	0
20	Phø trþ(c¤p b§c 20)	2827	10620	0	0	0	1	Không	0	0
21	Phø trþ(c¤p b§c 21)	3348	12563	0	0	0	1	Không	0	0
22	Phø trþ(c¤p b§c 22)	3943	14820	0	0	0	1	Không	0	0
23	Phø trþ(c¤p b§c 23)	4612	17415	0	0	0	1	Không	0	0
24	Phø trþ(c¤p b§c 24)	5368	20370	0	0	0	1	Không	0	0
25	Phø trþ(c¤p b§c 25)	7185	23925	0	0	0	1	Không	0	0
26	Phø trþ(c¤p b§c 26)	8004	28125	0	0	0	1	Không	0	0
27	Phø trþ(c¤p b§c 27)	8888	32783	0	0	0	1	Không	0	0
28	Phø trþ(c¤p b§c 28)	9845	37920	0	0	0	1	Không	0	0
29	Phø trþ(c¤p b§c 29)	10878	43560	0	0	0	1	Không	0	0
30	Phø trþ(c¤p b§c 30)	11989	51510	0	0	0	1	Không	0	0
31	Phø trþ(c¤p b§c 31)	13184	60113	0	0	0	1	Không	0	0
32	Phø trþ(c¤p b§c 32)	14465	69390	0	0	0	1	Không	0	0
33	Phø trþ(c¤p b§c 33)	15836	79365	0	0	0	1	Không	0	0
34	Phø trþ(c¤p b§c 34)	17303	90060	0	0	0	1	Không	0	0
35	Phø trþ(c¤p b§c 35)	18870	101498	0	0	0	1	Không	0	0
36	Phø trþ(c¤p b§c 36)	20541	113700	0	0	0	1	Không	0	0
37	Phø trþ(c¤p b§c 37)	22318	126690	0	0	0	1	Không	0	0
38	Phø trþ(c¤p b§c 38)	24210	140490	0	0	0	1	Không	0	0
39	Phø trþ(c¤p b§c 39)	26217	155123	0	0	0	1	Không	0	0
40	Phø trþ(c¤p b§c 40)	28347	170775	0	0	0	1	Không	0	0
41	Phø trþ(c¤p b§c 41)	30604	187483	0	0	0	1	Không	0	0
42	Phø trþ(c¤p b§c 42)	32993	205275	0	0	0	1	Không	0	0
43	Phø trþ(c¤p b§c 43)	35517	224190	0	0	0	1	Không	0	0
44	Phø trþ(c¤p b§c 44)	38182	244260	0	0	0	1	Không	0	0
45	Phø trþ(c¤p b§c 45)	43223	265520	0	0	0	1	Không	0	0
46	Phø trþ(c¤p b§c 46)	46207	288000	0	0	0	1	Không	0	0
47	Phø trþ(c¤p b§c 47)	48557	311738	0	0	0	1	Không	0	0
48	Phø trþ(c¤p b§c 48)	51223	336765	0	0	0	1	Không	0	0
49	Phø trþ(c¤p b§c 49)	53254	363118	0	0	0	1	Không	0	0
50	Phø trþ(c¤p b§c 50)	55601	390825	0	0	0	1	Không	0	0
51	Phø trþ(c¤p b§c 51)	58263	419925	0	0	0	1	Không	0	0
52	Phø trþ(c¤p b§c 52)	61241	450450	0	0	0	1	Không	0	0
53	Phø trþ(c¤p b§c 53)	64535	482435	0	0	0	1	Không	0	0
54	Phø trþ(c¤p b§c 54)	68144	515910	0	0	0	1	Không	0	0
55	Phø trþ(c¤p b§c 55)	72069	550913	0	0	0	1	Không	0	0
56	Phø trþ(c¤p b§c 56)	76309	587475	0	0	0	1	Không	0	0
57	Phø trþ(c¤p b§c 57)	80866	625633	0	0	0	1	Không	0	0
58	Phø trþ(c¤p b§c 58)	85738	665415	0	0	0	1	Không	0	0
59	Phø trþ(c¤p b§c 59)	90925	706860	0	0	0	1	Không	0	0
60	Phø trþ(c¤p b§c 60)	96428	750000	0	0	0	1	Không	0	0
61	Phø trþ(c¤p b§c 61)	102247	794870	0	0	0	1	Không	0	0
62	Phø trþ(c¤p b§c 62)	108382	841500	0	0	0	1	Không	0	0
63	Phø trþ(c¤p b§c 63)	114832	889928	0	0	0	1	Không	0	0
64	Phø trþ(c¤p b§c 64)	121597	940185	0	0	0	1	Không	0	0
65	Phø trþ(c¤p b§c 65)	128679	992308	0	0	0	1	Không	0	0
66	Phø trþ(c¤p b§c 66)	136076	1048688	0	0	0	1	Không	0	0
67	Phø trþ(c¤p b§c 67)	143788	1111595	0	0	0	1	Không	0	0
68	Phø trþ(c¤p b§c 68)	151817	1181250	0	0	0	1	Không	0	0
69	Phø trþ(c¤p b§c 69)	160160	1257883	0	0	0	1	Không	0	0
70	Phø trþ(c¤p b§c 70)	168820	1341713	0	0	0	1	Không	0	0
71	Phø trþ(c¤p b§c 71)	177795	1432970	0	0	0	1	Không	0	0
72	Phø trþ(c¤p b§c 72)	187086	1531875	0	0	0	1	Không	0	0
73	Phø trþ(c¤p b§c 73)	196692	1638658	0	0	0	1	Không	0	0
74	Phø trþ(c¤p b§c 74)	206615	1753538	0	0	0	1	Không	0	0
75	Phø trþ(c¤p b§c 75)	216852	1882670	0	0	0	1	Không	0	0
76	Phø trþ(c¤p b§c 76)	227406	2026500	0	0	0	1	Không	0	0
77	Phø trþ(c¤p b§c 77)	238275	2185483	0	0	0	1	Không	0	0
78	Phø trþ(c¤p b§c 78)	249459	2360063	0	0	0	1	Không	0	0
79	Phø trþ(c¤p b§c 79)	260960	2550695	0	0	0	1	Không	0	0
80	Phø trþ(c¤p b§c 80)	272776	2808225	0	0	0	1	Không	0	0
81	Phø trþ(c¤p b§c 81)	284907	3198658	0	0	0	1	Không	0	0
82	Phø trþ(c¤p b§c 82)	297354	3790988	0	0	0	1	Không	0	0
83	Phø trþ(c¤p b§c 83)	310117	4657220	0	0	0	1	Không	0	0
84	Phø trþ(c¤p b§c 84)	323196	5872350	0	0	0	1	Không	0	0
85	Phø trþ(c¤p b§c 85)	336590	7514383	0	0	0	1	Không	0	0
86	Phø trþ(c¤p b§c 86)	350300	9664313	0	0	0	1	Không	0	0
87	Phø trþ(c¤p b§c 87)	364325	12406145	0	0	0	1	Không	0	0
88	Phø trþ(c¤p b§c 88)	378666	15826875	0	0	0	1	Không	0	0
89	Phø trþ(c¤p b§c 89)	393323	20016508	0	0	0	1	Không	0	0
90	Phø trþ(c¤p b§c 90)	408295	25068038	0	0	0	1	Không	0	0
91	Phø trþ(c¤p b§c 91)	423583	31077470	0	0	0	1	Không	0	0
92	Phø trþ(c¤p b§c 92)	439187	38143800	0	0	0	1	Không	0	0
93	Phø trþ(c¤p b§c 93)	455106	46369033	0	0	0	1	Không	0	0
94	Phø trþ(c¤p b§c 94)	471341	55858163	0	0	0	1	Không	0	0
95	Phø trþ(c¤p b§c 95)	487892	66719195	0	0	0	1	Không	0	0
96	Phø trþ(c¤p b§c 96)	504758	79063125	0	0	0	1	Không	0	0
97	Phø trþ(c¤p b§c 97)	521939	93003958	0	0	0	1	Không	0	0
98	Phø trþ(c¤p b§c 98)	539437	108658688	0	0	0	1	Không	0	0
99	Phø trþ(c¤p b§c 99)	557250	126147320	0	0	0	1	Không	0	0
