INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	Môn phái phø trþ(c¤p b§c 1)	114	29	0	0	0	1	Không	0	0
2	Môn phái phø trþ(c¤p b§c 2)	133	103	0	0	0	1	Không	0	0
3	Môn phái phø trþ(c¤p b§c 3)	152	200	0	0	0	1	Không	0	0
4	Môn phái phø trþ(c¤p b§c 4)	171	365	0	0	0	1	Không	0	0
5	Môn phái phø trþ(c¤p b§c 5)	190	564	0	0	0	1	Không	0	0
6	Môn phái phø trþ(c¤p b§c 6)	209	827	0	0	0	1	Không	0	0
7	Môn phái phø trþ(c¤p b§c 7)	228	1161	0	0	0	1	Không	0	0
8	Môn phái phø trþ(c¤p b§c 8)	247	1573	0	0	0	1	Không	0	0
9	Môn phái phø trþ(c¤p b§c 9)	266	1778	0	0	0	1	Không	0	0
10	Môn phái phø trþ(c¤p b§c 10)	285	1995	0	0	0	1	Không	0	0
11	Môn phái phø trþ(c¤p b§c 11)	319	2223	0	0	0	1	Không	0	0
12	Môn phái phø trþ(c¤p b§c 12)	409	2462	0	0	0	1	Không	0	0
13	Môn phái phø trþ(c¤p b§c 13)	513	2810	0	0	0	1	Không	0	0
14	Môn phái phø trþ(c¤p b§c 14)	638	3181	0	0	0	1	Không	0	0
15	Môn phái phø trþ(c¤p b§c 15)	1087	3682	0	0	0	1	Không	0	0
16	Môn phái phø trþ(c¤p b§c 16)	1337	4218	0	0	0	1	Không	0	0
17	Môn phái phø trþ(c¤p b§c 17)	1631	4908	0	0	0	1	Không	0	0
18	Môn phái phø trþ(c¤p b§c 18)	1973	5768	0	0	0	1	Không	0	0
19	Môn phái phø trþ(c¤p b§c 19)	2370	6817	0	0	0	1	Không	0	0
20	Môn phái phø trþ(c¤p b§c 20)	2827	8071	0	0	0	1	Không	0	0
21	Môn phái phø trþ(c¤p b§c 21)	3348	9548	0	0	0	1	Không	0	0
22	Môn phái phø trþ(c¤p b§c 22)	3943	11263	0	0	0	1	Không	0	0
23	Môn phái phø trþ(c¤p b§c 23)	4612	13235	0	0	0	1	Không	0	0
24	Môn phái phø trþ(c¤p b§c 24)	5368	15481	0	0	0	1	Không	0	0
25	Môn phái phø trþ(c¤p b§c 25)	7185	18183	0	0	0	1	Không	0	0
26	Môn phái phø trþ(c¤p b§c 26)	8004	21375	0	0	0	1	Không	0	0
27	Môn phái phø trþ(c¤p b§c 27)	8888	24915	0	0	0	1	Không	0	0
28	Môn phái phø trþ(c¤p b§c 28)	9845	28819	0	0	0	1	Không	0	0
29	Môn phái phø trþ(c¤p b§c 29)	10878	33106	0	0	0	1	Không	0	0
30	Môn phái phø trþ(c¤p b§c 30)	11989	39148	0	0	0	1	Không	0	0
31	Môn phái phø trþ(c¤p b§c 31)	13184	45686	0	0	0	1	Không	0	0
32	Môn phái phø trþ(c¤p b§c 32)	14465	52736	0	0	0	1	Không	0	0
33	Môn phái phø trþ(c¤p b§c 33)	15836	60317	0	0	0	1	Không	0	0
34	Môn phái phø trþ(c¤p b§c 34)	17303	68446	0	0	0	1	Không	0	0
35	Môn phái phø trþ(c¤p b§c 35)	18870	77138	0	0	0	1	Không	0	0
36	Môn phái phø trþ(c¤p b§c 36)	20541	86412	0	0	0	1	Không	0	0
37	Môn phái phø trþ(c¤p b§c 37)	22318	96284	0	0	0	1	Không	0	0
38	Môn phái phø trþ(c¤p b§c 38)	24210	106772	0	0	0	1	Không	0	0
39	Môn phái phø trþ(c¤p b§c 39)	26217	117893	0	0	0	1	Không	0	0
40	Môn phái phø trþ(c¤p b§c 40)	28347	129789	0	0	0	1	Không	0	0
41	Môn phái phø trþ(c¤p b§c 41)	30604	142487	0	0	0	1	Không	0	0
42	Môn phái phø trþ(c¤p b§c 42)	32993	156009	0	0	0	1	Không	0	0
43	Môn phái phø trþ(c¤p b§c 43)	35517	170384	0	0	0	1	Không	0	0
44	Môn phái phø trþ(c¤p b§c 44)	38182	185638	0	0	0	1	Không	0	0
45	Môn phái phø trþ(c¤p b§c 45)	43223	201795	0	0	0	1	Không	0	0
46	Môn phái phø trþ(c¤p b§c 46)	46207	218880	0	0	0	1	Không	0	0
47	Môn phái phø trþ(c¤p b§c 47)	48557	236921	0	0	0	1	Không	0	0
48	Môn phái phø trþ(c¤p b§c 48)	51223	255941	0	0	0	1	Không	0	0
49	Môn phái phø trþ(c¤p b§c 49)	53254	275969	0	0	0	1	Không	0	0
50	Môn phái phø trþ(c¤p b§c 50)	55601	297027	0	0	0	1	Không	0	0
51	Môn phái phø trþ(c¤p b§c 51)	58263	319143	0	0	0	1	Không	0	0
52	Môn phái phø trþ(c¤p b§c 52)	61241	342342	0	0	0	1	Không	0	0
53	Môn phái phø trþ(c¤p b§c 53)	64535	366651	0	0	0	1	Không	0	0
54	Môn phái phø trþ(c¤p b§c 54)	68144	392092	0	0	0	1	Không	0	0
