INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	Hái thu¯c(c¤p b§c 1)	2500	10000	0	0	7900	10	Không	0	0
2	Hái thu¯c(c¤p b§c 2)	5000	14739	7900	79	21800	10	Không	0	0
3	Hái thu¯c(c¤p b§c 3)	10000	21724	21800	218	42100	30	Không	0	0
4	Hái thu¯c(c¤p b§c 4)	20000	32021	42100	421	69700	30	Không	0	0
5	Hái thu¯c(c¤p b§c 5)	40000	47197	69700	697	105700	50	Không	0	0
6	Hái thu¯c(c¤p b§c 6)	80000	69565	105700	1057	152700	50	Không	0	0
7	Hái thu¯c(c¤p b§c 7)	160000	102535	152700	1527	215100	70	Không	0	0
8	Hái thu¯c(c¤p b§c 8)	320000	151130	215100	2151	304300	70	Không	0	0
9	Hái thu¯c(c¤p b§c 9)	640000	222757	304300	3043	500000	70	Không	0	0
10	Hái thu¯c(c¤p b§c 10)	1280000	328329	500000	5000	500000	70	Không	0	0
