INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	May(c¤p b§c 1)	1000	10000	0	0	500	25	Không	0	0
2	May(c¤p b§c 2)	1500	15000	500	5	1500	30	Không	0	0
3	May(c¤p b§c 3)	2250	20000	1500	15	3000	35	Không	0	0
4	May(c¤p b§c 4)	3375	25000	3000	30	5000	40	Không	0	0
5	May(c¤p b§c 5)	5062	30000	5000	50	7500	45	Không	0	0
6	May(c¤p b§c 6)	7593	35000	7500	75	10500	50	Không	0	0
7	May(c¤p b§c 7)	11390	40000	10500	105	14000	55	Không	0	0
8	May(c¤p b§c 8)	17085	45000	14000	140	18000	60	Không	0	0
9	May(c¤p b§c 9)	25628	50000	18000	180	22500	65	Không	0	0
10	May(c¤p b§c 10)	38443	55000	22500	225	22500	70	Không	0	0
