INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	Công trình(c¤p b§c 1)	2500	10000	0	0	3000	50	Không	0	0
2	Công trình(c¤p b§c 2)	5000	14739	3000	30	8000	50	Không	0	0
3	Công trình(c¤p b§c 3)	10000	21724	8000	80	16000	50	Không	0	0
4	Công trình(c¤p b§c 4)	20000	32021	16000	160	28000	50	Không	0	0
5	Công trình(c¤p b§c 5)	40000	47197	28000	280	45000	50	Không	0	0
6	Công trình(c¤p b§c 6)	80000	69565	45000	450	68000	50	Không	0	0
7	Công trình(c¤p b§c 7)	160000	102535	68000	680	98000	50	Không	0	0
8	Công trình(c¤p b§c 8)	320000	151130	98000	980	137000	50	Không	0	0
9	Công trình(c¤p b§c 9)	640000	222757	137000	1370	187000	50	Không	0	0
10	Công trình(c¤p b§c 10)	1280000	328329	187000	1870	187000	50	Không	0	0
