INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	Công Cø mÕch lÕc(c¤p b§c 1)	2500	10000	0	0	800	50	Không	0	0
2	Công Cø mÕch lÕc(c¤p b§c 2)	5000	14739	800	8	2000	50	Không	0	0
3	Công Cø mÕch lÕc(c¤p b§c 3)	10000	21724	2000	20	3600	50	Không	0	0
4	Công Cø mÕch lÕc(c¤p b§c 4)	20000	32021	3600	36	6000	50	Không	0	0
5	Công Cø mÕch lÕc(c¤p b§c 5)	40000	47197	6000	60	8800	50	Không	0	0
6	Công Cø mÕch lÕc(c¤p b§c 6)	80000	69565	8800	88	12000	50	Không	0	0
7	Công Cø mÕch lÕc(c¤p b§c 7)	160000	102535	12000	120	16000	50	Không	0	0
8	Công Cø mÕch lÕc(c¤p b§c 8)	320000	151130	16000	160	20800	50	Không	0	0
9	Công Cø mÕch lÕc(c¤p b§c 9)	640000	222757	20800	208	26400	50	Không	0	0
10	Công Cø mÕch lÕc(c¤p b§c 10)	1280000	328329	26400	264	26400	50	Không	0	0
