INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	May(c¤p b§c 1)	1000	10000	0	0	0	50	Nguy­n Tinh Trúc	1000	10000
2	May(c¤p b§c 2)	1500	15000	0	0	0	50	Nguy­n Tinh Trúc	1500	15000
3	May(c¤p b§c 3)	2250	20000	0	0	0	50	Nguy­n Tinh Trúc	2250	20000
4	May(c¤p b§c 4)	3375	25000	0	0	0	50	Nguy­n Tinh Trúc	3375	25000
5	May(c¤p b§c 5)	5062	30000	0	0	0	50	Nguy­n Tinh Trúc	5062	30000
6	May(c¤p b§c 6)	7593	35000	0	0	0	50	Nguy­n Tinh Trúc	100000	35000
7	May(c¤p b§c 7)	11390	40000	0	0	0	50	Nguy­n Tinh Trúc	120000	40000
8	May(c¤p b§c 8)	17085	45000	0	0	0	50	Nguy­n Tinh Trúc	140000	45000
9	May(c¤p b§c 9)	25628	50000	0	0	0	50	Nguy­n Tinh Trúc	160000	50000
10	May(c¤p b§c 10)	38443	55000	0	0	0	50	Nguy­n Tinh Trúc	180000	55000
