INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	Môn phái(c¤p b§c 1)	10000	1428	0	0	1000	10	Không	0	0
2	Môn phái(c¤p b§c 2)	1341	4503	1000	10	3000	15	Không	0	0
3	Môn phái(c¤p b§c 3)	2931	10728	3000	30	6000	20	Không	0	0
4	Môn phái(c¤p b§c 4)	5456	21228	6000	60	10000	25	Không	0	0
5	Môn phái(c¤p b§c 5)	9120	37128	10000	100	15000	30	Không	0	0
6	Môn phái(c¤p b§c 6)	14123	59553	15000	150	21000	35	Không	0	0
7	Môn phái(c¤p b§c 7)	20683	89694	21000	210	28000	40	Không	0	0
8	Môn phái(c¤p b§c 8)	40371	182574	28000	280	36000	45	Không	0	0
9	Môn phái(c¤p b§c 9)	71058	331104	36000	360	45000	50	Không	0	0
10	Môn phái(c¤p b§c 10)	115098	548451	45000	450	550000	55	Không	0	0
