INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	Phø trþ(c¤p b§c 1)	20	27	0	0	0	30	Không	0	0
2	Phø trþ(c¤p b§c 2)	40	97	0	0	0	30	Không	0	0
3	Phø trþ(c¤p b§c 3)	60	189	0	0	0	30	Không	0	0
4	Phø trþ(c¤p b§c 4)	80	346	0	0	0	30	Không	0	0
5	Phø trþ(c¤p b§c 5)	100	535	0	0	0	30	Không	0	0
6	Phø trþ(c¤p b§c 6)	120	783	0	0	0	30	Không	0	0
7	Phø trþ(c¤p b§c 7)	140	1099	0	0	0	30	Không	0	0
8	Phø trþ(c¤p b§c 8)	160	1490	0	0	0	30	Không	0	0
9	Phø trþ(c¤p b§c 9)	180	1685	0	0	0	30	Không	0	0
10	Phø trþ(c¤p b§c 10)	200	1890	0	0	0	30	Không	0	0
11	Phø trþ(c¤p b§c 11)	220	2106	0	0	0	30	Không	0	0
12	Phø trþ(c¤p b§c 12)	240	2333	0	0	0	30	Không	0	0
13	Phø trþ(c¤p b§c 13)	260	2662	0	0	0	30	Không	0	0
14	Phø trþ(c¤p b§c 14)	280	3013	0	0	0	30	Không	0	0
15	Phø trþ(c¤p b§c 15)	300	3488	0	0	0	30	Không	0	0
16	Phø trþ(c¤p b§c 16)	336	3996	0	0	0	30	Không	0	0
17	Phø trþ(c¤p b§c 17)	430	4649	0	0	0	30	Không	0	0
18	Phø trþ(c¤p b§c 18)	540	5465	0	0	0	30	Không	0	0
19	Phø trþ(c¤p b§c 19)	672	6458	0	0	0	30	Không	0	0
20	Phø trþ(c¤p b§c 20)	1144	7646	0	0	0	30	Không	0	0
21	Phø trþ(c¤p b§c 21)	1407	9045	0	0	0	30	Không	0	0
22	Phø trþ(c¤p b§c 22)	1716	10670	0	0	0	30	Không	0	0
23	Phø trþ(c¤p b§c 23)	2077	12539	0	0	0	30	Không	0	0
24	Phø trþ(c¤p b§c 24)	2494	14666	0	0	0	30	Không	0	0
25	Phø trþ(c¤p b§c 25)	2975	17226	0	0	0	30	Không	0	0
26	Phø trþ(c¤p b§c 26)	3524	20250	0	0	0	30	Không	0	0
27	Phø trþ(c¤p b§c 27)	4150	23603	0	0	0	30	Không	0	0
28	Phø trþ(c¤p b§c 28)	4854	27302	0	0	0	30	Không	0	0
29	Phø trþ(c¤p b§c 29)	5650	31363	0	0	0	30	Không	0	0
30	Phø trþ(c¤p b§c 30)	7563	37087	0	0	0	30	Không	0	0
31	Phø trþ(c¤p b§c 31)	8424	43281	0	0	0	30	Không	0	0
32	Phø trþ(c¤p b§c 32)	9355	49961	0	0	0	30	Không	0	0
33	Phø trþ(c¤p b§c 33)	10363	57143	0	0	0	30	Không	0	0
34	Phø trþ(c¤p b§c 34)	11450	64843	0	0	0	30	Không	0	0
35	Phø trþ(c¤p b§c 35)	12620	73078	0	0	0	30	Không	0	0
36	Phø trþ(c¤p b§c 36)	13877	81864	0	0	0	30	Không	0	0
37	Phø trþ(c¤p b§c 37)	15226	91217	0	0	0	30	Không	0	0
38	Phø trþ(c¤p b§c 38)	16669	101153	0	0	0	30	Không	0	0
39	Phø trþ(c¤p b§c 39)	18214	111688	0	0	0	30	Không	0	0
40	Phø trþ(c¤p b§c 40)	19863	122958	0	0	0	50	Không	0	0
41	Phø trþ(c¤p b§c 41)	21621	134987	0	0	0	50	Không	0	0
42	Phø trþ(c¤p b§c 42)	23492	147798	0	0	0	50	Không	0	0
43	Phø trþ(c¤p b§c 43)	25484	161417	0	0	0	50	Không	0	0
44	Phø trþ(c¤p b§c 44)	27597	175867	0	0	0	50	Không	0	0
45	Phø trþ(c¤p b§c 45)	29838	191174	0	0	0	50	Không	0	0
46	Phø trþ(c¤p b§c 46)	32214	207360	0	0	0	50	Không	0	0
47	Phø trþ(c¤p b§c 47)	34729	224451	0	0	0	50	Không	0	0
48	Phø trþ(c¤p b§c 48)	37386	242471	0	0	0	50	Không	0	0
49	Phø trþ(c¤p b§c 49)	40192	261444	0	0	0	50	Không	0	0
50	Phø trþ(c¤p b§c 50)	45498	281394	0	0	0	50	Không	0	0
51	Phø trþ(c¤p b§c 51)	46639	302346	0	0	0	50	Không	0	0
52	Phø trþ(c¤p b§c 52)	49112	324324	0	0	0	50	Không	0	0
53	Phø trþ(c¤p b§c 53)	51918	347352	0	0	0	50	Không	0	0
54	Phø trþ(c¤p b§c 54)	56000	371455	0	0	0	50	Không	0	0
55	Phø trþ(c¤p b§c 55)	58526	396657	0	0	0	50	Không	0	0
56	Phø trþ(c¤p b§c 56)	61329	422982	0	0	0	50	Không	0	0
57	Phø trþ(c¤p b§c 57)	64464	450455	0	0	0	50	Không	0	0
58	Phø trþ(c¤p b§c 58)	67931	479099	0	0	0	50	Không	0	0
59	Phø trþ(c¤p b§c 59)	71730	508939	0	0	0	50	Không	0	0
60	Phø trþ(c¤p b§c 60)	75862	540000	0	0	0	50	Không	0	0
