INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	Phø trþ(c¤p b§c 1)	2500	500	0	0	0	30	Không	0	0
2	Phø trþ(c¤p b§c 2)	5000	1000	0	0	0	30	Không	0	0
3	Phø trþ(c¤p b§c 3)	10000	3000	0	0	0	30	Không	0	0
4	Phø trþ(c¤p b§c 4)	20000	33000	0	0	6000	30	Không	0	0
5	Phø trþ(c¤p b§c 5)	40000	48639	6000	60	21000	50	Không	0	0
6	Phø trþ(c¤p b§c 6)	80000	71692	21000	210	51500	50	Không	0	0
7	Phø trþ(c¤p b§c 7)	160000	105669	51500	515	94500	50	Không	0	0
8	Phø trþ(c¤p b§c 8)	320000	155750	94500	945	155300	50	Không	0	0
9	Phø trþ(c¤p b§c 9)	640000	229566	155300	1553	255300	50	Không	0	0
10	Phø trþ(c¤p b§c 10)	1280000	338366	255300	2553	255300	50	Không	0	0
