INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	T滱 n工 n葞ng(c小 b呃 1)	2500	10000	0	0	3000	50	Kh獼g	0	0
2	T滱 n工 n葞ng(c小 b呃 2)	5000	14739	3000	30	8000	50	Kh獼g	0	0
3	T滱 n工 n葞ng(c小 b呃 3)	10000	21724	8000	80	16000	50	Kh獼g	0	0
4	T滱 n工 n葞ng(c小 b呃 4)	20000	32021	16000	160	28000	50	Kh獼g	0	0
5	T滱 n工 n葞ng(c小 b呃 5)	40000	47197	28000	280	45000	50	Kh獼g	0	0
6	T滱 n工 n葞ng(c小 b呃 6)	80000	69565	45000	450	68000	50	Kh獼g	0	0
7	T滱 n工 n葞ng(c小 b呃 7)	160000	102535	68000	680	98000	50	Kh獼g	0	0
8	T滱 n工 n葞ng(c小 b呃 8)	320000	151130	98000	980	137000	50	Kh獼g	0	0
9	T滱 n工 n葞ng(c小 b呃 9)	640000	222757	137000	1370	187000	50	Kh獼g	0	0
10	T滱 n工 n葞ng(c小 b呃 10)	1280000	328329	187000	1870	187000	50	Kh獼g	0	0
