INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	Ðßþc khäm(c¤p b§c 1)	10000	1428	0	0	0	20	Không	0	0
2	Ðßþc khäm(c¤p b§c 2)	1341	4503	0	0	0	25	Không	0	0
3	Ðßþc khäm(c¤p b§c 3)	2931	10728	0	0	0	30	Không	0	0
4	Ðßþc khäm(c¤p b§c 4)	5456	21228	0	0	0	35	Không	0	0
5	Ðßþc khäm(c¤p b§c 5)	9120	37128	0	0	0	40	Không	0	0
6	Ðßþc khäm(c¤p b§c 6)	14123	59553	0	0	0	45	Không	0	0
7	Ðßþc khäm(c¤p b§c 7)	20683	89694	0	0	0	50	Không	0	0
8	Ðßþc khäm(c¤p b§c 8)	40371	182574	0	0	0	55	Không	0	0
9	Ðßþc khäm(c¤p b§c 9)	71058	331104	0	0	0	60	Không	0	0
10	Ðßþc khäm(c¤p b§c 10)	115098	548451	0	0	0	65	Không	0	0
