INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	Phø trþ(c¤p b§c 1)	20	36	0	0	0	30	Không	0	0
2	Phø trþ(c¤p b§c 2)	40	130	0	0	0	30	Không	0	0
3	Phø trþ(c¤p b§c 3)	60	252	0	0	0	30	Không	0	0
4	Phø trþ(c¤p b§c 4)	80	461	0	0	0	30	Không	0	0
5	Phø trþ(c¤p b§c 5)	100	713	0	0	0	30	Không	0	0
6	Phø trþ(c¤p b§c 6)	120	1044	0	0	0	30	Không	0	0
7	Phø trþ(c¤p b§c 7)	140	1465	0	0	0	30	Không	0	0
8	Phø trþ(c¤p b§c 8)	160	1987	0	0	0	30	Không	0	0
9	Phø trþ(c¤p b§c 9)	180	2246	0	0	0	30	Không	0	0
10	Phø trþ(c¤p b§c 10)	200	2520	0	0	0	30	Không	0	0
11	Phø trþ(c¤p b§c 11)	220	2808	0	0	0	30	Không	0	0
12	Phø trþ(c¤p b§c 12)	240	3110	0	0	0	30	Không	0	0
13	Phø trþ(c¤p b§c 13)	260	3550	0	0	0	30	Không	0	0
14	Phø trþ(c¤p b§c 14)	280	4018	0	0	0	30	Không	0	0
15	Phø trþ(c¤p b§c 15)	300	4651	0	0	0	30	Không	0	0
16	Phø trþ(c¤p b§c 16)	336	5328	0	0	0	30	Không	0	0
17	Phø trþ(c¤p b§c 17)	430	6199	0	0	0	30	Không	0	0
18	Phø trþ(c¤p b§c 18)	540	7286	0	0	0	30	Không	0	0
19	Phø trþ(c¤p b§c 19)	672	8611	0	0	0	30	Không	0	0
20	Phø trþ(c¤p b§c 20)	1144	10195	0	0	0	30	Không	0	0
21	Phø trþ(c¤p b§c 21)	1407	12060	0	0	0	30	Không	0	0
22	Phø trþ(c¤p b§c 22)	1716	14227	0	0	0	30	Không	0	0
23	Phø trþ(c¤p b§c 23)	2077	16718	0	0	0	30	Không	0	0
24	Phø trþ(c¤p b§c 24)	2494	19555	0	0	0	30	Không	0	0
25	Phø trþ(c¤p b§c 25)	2975	22968	0	0	0	30	Không	0	0
26	Phø trþ(c¤p b§c 26)	3524	27000	0	0	0	30	Không	0	0
27	Phø trþ(c¤p b§c 27)	4150	31471	0	0	0	30	Không	0	0
28	Phø trþ(c¤p b§c 28)	4854	36403	0	0	0	30	Không	0	0
29	Phø trþ(c¤p b§c 29)	5650	41818	0	0	0	30	Không	0	0
30	Phø trþ(c¤p b§c 30)	7563	49450	0	0	0	30	Không	0	0
31	Phø trþ(c¤p b§c 31)	8424	57708	0	0	0	30	Không	0	0
32	Phø trþ(c¤p b§c 32)	9355	66614	0	0	0	30	Không	0	0
33	Phø trþ(c¤p b§c 33)	10363	76190	0	0	0	30	Không	0	0
34	Phø trþ(c¤p b§c 34)	11450	86458	0	0	0	30	Không	0	0
35	Phø trþ(c¤p b§c 35)	12620	97438	0	0	0	30	Không	0	0
36	Phø trþ(c¤p b§c 36)	13877	109152	0	0	0	30	Không	0	0
37	Phø trþ(c¤p b§c 37)	15226	121622	0	0	0	30	Không	0	0
38	Phø trþ(c¤p b§c 38)	16669	134870	0	0	0	30	Không	0	0
39	Phø trþ(c¤p b§c 39)	18214	148918	0	0	0	30	Không	0	0
40	Phø trþ(c¤p b§c 40)	19863	163944	0	0	0	50	Không	0	0
41	Phø trþ(c¤p b§c 41)	21621	179982	0	0	0	50	Không	0	0
42	Phø trþ(c¤p b§c 42)	23492	197064	0	0	0	50	Không	0	0
43	Phø trþ(c¤p b§c 43)	25484	215222	0	0	0	50	Không	0	0
