INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	Hái thu¯c(c¤p b§c 1)	2500	10000	0	0	1500	20	Không	0	0
2	Hái thu¯c(c¤p b§c 2)	5000	14739	1500	15	5800	20	Không	0	0
3	Hái thu¯c(c¤p b§c 3)	10000	21724	5800	58	14200	30	Không	0	0
4	Hái thu¯c(c¤p b§c 4)	20000	32021	14200	142	28100	30	Không	0	0
5	Hái thu¯c(c¤p b§c 5)	40000	47197	28100	281	49200	50	Không	0	0
6	Hái thu¯c(c¤p b§c 6)	80000	69565	49200	492	79700	50	Không	0	0
7	Hái thu¯c(c¤p b§c 7)	160000	102535	79700	797	122700	70	Không	0	0
8	Hái thu¯c(c¤p b§c 8)	320000	151130	122700	1227	183500	70	Không	0	0
9	Hái thu¯c(c¤p b§c 9)	640000	222757	183500	1835	283500	70	Không	0	0
10	Hái thu¯c(c¤p b§c 10)	1280000	328329	283500	2835	283500	70	Không	0	0
