INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
1	May(c§p bßc 1)	1000	10000	0	0	0	40	Gia Lußt –’i Th’ch	1000	10000
2	May(c§p bßc 2)	1500	15000	0	0	0	40	Gia Lußt –’i Th’ch	1500	15000
3	May(c§p bßc 3)	2250	20000	0	0	0	40	Gia Lußt –’i Th’ch	2250	20000
4	May(c§p bßc 4)	3375	25000	0	0	0	40	Gia Lußt –’i Th’ch	3375	25000
5	May(c§p bßc 5)	5062	30000	0	0	0	50	Gia Lußt –’i Th’ch	5062	30000
6	May(c§p bßc 6)	7593	35000	0	0	0	50	Gia Lußt –’i Th’ch	100000	35000
7	May(c§p bßc 7)	11390	40000	0	0	0	50	Gia Lußt –’i Th’ch	120000	40000
8	May(c§p bßc 8)	17085	45000	0	0	0	50	Gia Lußt –’i Th’ch	140000	45000
9	May(c§p bßc 9)	25628	50000	0	0	0	50	Gia Lußt –’i Th’ch	160000	50000
10	May(c§p bßc 10)	38443	55000	0	0	0	50	Gia Lußt –’i Th’ch	180000	55000
