INT	INT	INT	INT
INT	INT	INT	INT
0	0	0	0
1	0	1	1
2	0	2	1
3	0	3	2
4	0	4	3
5	0	5	4
6	0	6	4
7	0	7	4
8	0	14	5
9	0	15	2
10	0	16	6
11	0	23	7
12	0	24	8
13	0	25	9
14	0	51	5
15	0	52	10
16	0	53	11
17	0	65	10
18	0	99	12
19	0	125	13
20	0	126	14
21	0	127	15
22	0	128	16
23	0	129	17
24	0	130	18
25	0	131	19
26	0	132	20
27	0	133	21
28	0	134	22
29	0	135	23
30	0	136	24
31	0	137	25
32	0	138	26
33	0	139	27
34	0	140	28
35	0	141	29
36	0	142	30
37	0	143	31
38	0	144	32
39	0	145	33
40	0	146	34
41	0	147	35
42	0	148	36
43	0	149	37
44	0	150	38
45	0	151	39
46	0	152	40
47	0	153	41
48	0	154	42
49	0	155	43
50	0	156	44
51	0	157	45
52	0	158	46
53	0	159	47
54	0	160	48
55	0	161	49
56	0	162	50
57	0	163	51
58	0	164	52
59	0	165	53
60	0	166	54
61	0	167	55
62	0	168	56
63	0	169	57
64	0	170	58
65	0	171	59
66	0	172	60
67	0	173	61
68	0	174	62
69	0	175	63
70	0	176	64
71	0	177	65
72	0	178	66
73	0	179	67
74	0	180	68
75	0	181	69
76	0	182	70
77	0	183	71
78	0	184	72
79	0	185	73
80	0	186	74
81	0	187	75
82	0	188	76
83	0	189	77
84	0	190	78
85	0	191	79
86	0	192	80
87	0	193	81
88	0	194	82
89	0	195	83
90	0	196	84
91	0	197	85
92	0	198	86
93	0	199	87
94	0	200	88
95	0	201	89
96	0	202	90
97	0	203	91
98	0	204	53
99	0	205	54
100	0	206	55
101	0	450	92
102	0	451	93
103	0	452	94
104	0	453	95
105	0	454	96
106	0	455	97
107	0	456	98
108	0	457	99
109	0	458	100
110	0	459	101
111	0	460	102
112	0	461	103
113	0	462	102
114	0	463	104
115	0	464	105
116	0	465	105
117	0	466	105
118	0	467	105
119	0	468	105
120	0	469	105
121	0	470	105
122	0	471	105
123	0	472	105
124	0	473	105
125	0	474	105
126	0	475	105
127	0	476	105
128	0	477	105
129	0	478	105
130	0	479	105
131	0	480	95
132	0	481	97
133	0	482	106
134	0	483	107
135	0	484	108
136	0	485	107
137	0	486	109
138	0	487	97
139	0	488	110
140	0	489	102
141	0	490	106
142	0	491	111
143	0	492	109
144	0	493	112
145	0	494	97
146	0	495	102
147	0	496	106
148	0	497	97
149	0	498	113
150	0	499	94
151	0	500	105
152	0	501	112
153	0	502	114
154	0	503	112
155	0	504	115
156	0	505	116
157	0	506	111
158	0	507	115
159	0	508	117
160	0	509	118
161	0	510	102
162	0	511	119
163	0	512	105
164	0	513	105
165	0	514	110
166	0	515	120
167	0	516	121
168	0	517	122
169	0	518	122
170	0	519	122
171	0	520	122
172	0	521	123
173	0	522	124
174	0	523	105
175	0	524	95
176	0	525	97
177	0	526	115
178	0	527	125
179	0	528	108
180	0	529	108
181	0	530	108
182	0	531	108
183	0	532	108
184	0	533	108
185	0	534	108
186	0	535	108
187	0	536	108
188	0	537	108
189	0	538	108
190	0	539	108
191	0	540	108
192	0	541	108
193	0	542	108
194	0	543	108
195	0	544	108
196	0	545	108
197	0	546	108
198	0	547	108
199	0	548	126
200	0	549	127
201	0	550	128
202	0	551	129
203	0	552	119
204	0	553	119
205	0	554	117
206	0	555	117
207	0	556	98
208	0	557	98
209	0	558	107
210	0	559	107
211	0	560	108
212	0	561	108
213	0	562	130
214	0	563	130
215	0	564	106
216	0	565	106
217	0	566	130
218	0	567	130
219	0	568	108
220	0	569	108
221	0	570	108
222	0	571	108
223	0	572	131
224	0	573	131
225	0	574	108
226	0	575	108
227	0	576	125
228	0	577	125
229	0	578	126
230	0	579	127
231	0	580	128
232	0	581	129
233	0	582	132
234	0	583	132
235	0	584	133
236	0	585	133
237	0	586	134
238	0	587	134
239	0	588	135
240	0	589	135
241	0	590	136
242	0	591	136
243	0	592	137
244	0	593	137
245	0	594	138
246	0	595	138
247	0	596	108
248	0	597	108
249	0	598	110
250	0	599	110
251	0	600	108
252	0	601	108
253	0	602	139
254	0	603	139
255	0	604	114
256	0	605	114
257	0	606	105
258	0	607	105
259	0	608	105
260	0	609	105
261	0	610	105
262	0	611	105
263	0	612	107
264	0	613	107
265	0	614	107
266	0	615	107
267	0	616	107
268	0	617	107
269	1	0	0
270	1	1	1
271	1	2	1
272	1	3	2
273	1	4	3
274	1	5	140
275	1	6	141
276	1	7	142
277	1	14	5
278	1	15	2
279	1	16	6
280	1	23	7
281	1	24	143
282	1	25	9
283	1	99	144
284	1	125	13
285	1	126	14
286	1	127	15
287	1	128	16
288	1	129	17
289	1	130	18
290	1	131	19
291	1	132	20
292	1	133	21
293	1	134	22
294	1	135	23
295	1	136	24
296	1	137	25
297	1	138	26
298	1	139	27
299	1	140	28
300	1	141	29
301	1	142	30
302	1	143	31
303	1	144	32
304	1	145	33
305	1	146	34
306	1	147	35
307	1	148	36
308	1	149	37
309	1	150	38
310	1	151	39
311	1	152	40
312	1	153	41
313	1	154	42
314	1	155	43
315	1	156	44
316	1	157	45
317	1	158	46
318	1	159	47
319	1	160	48
320	1	161	49
321	1	162	145
322	1	163	146
323	1	164	147
324	1	165	53
325	1	166	54
326	1	167	55
327	1	168	56
328	1	169	57
329	1	170	58
330	1	171	59
331	1	172	60
332	1	173	61
333	1	174	62
334	1	175	63
335	1	176	64
336	1	177	65
337	1	178	66
338	1	179	67
339	1	180	68
340	1	181	69
341	1	182	70
342	1	183	71
343	1	184	72
344	1	185	73
345	1	186	74
346	1	187	75
347	1	188	76
348	1	189	77
349	1	190	78
350	1	191	79
351	1	192	80
352	1	193	81
353	1	194	82
354	1	195	83
355	1	196	84
356	1	197	85
357	1	198	86
358	1	199	87
359	1	200	88
360	1	201	89
361	1	202	90
362	1	203	91
363	1	204	53
364	1	205	54
365	1	206	55
366	1	450	92
367	1	451	122
368	1	452	94
369	1	453	95
370	1	454	96
371	1	455	97
372	1	456	98
373	1	457	99
374	1	458	100
375	1	459	101
376	1	460	102
377	1	461	103
378	1	462	102
379	1	463	148
380	1	464	105
381	1	465	105
382	1	466	105
383	1	467	105
384	1	468	105
385	1	469	105
386	1	470	105
387	1	471	105
388	1	472	105
389	1	473	105
390	1	474	105
391	1	475	105
392	1	476	105
393	1	477	105
394	1	478	105
395	1	479	105
396	1	480	95
397	1	481	97
398	1	482	106
399	1	483	107
400	1	484	108
401	1	485	107
402	1	486	109
403	1	487	97
404	1	488	110
405	1	489	102
406	1	490	106
407	1	491	111
408	1	492	109
409	1	493	112
410	1	494	97
411	1	495	102
412	1	496	106
413	1	497	97
414	1	498	101
415	1	499	94
416	1	500	105
417	1	501	112
418	1	502	114
419	1	503	112
420	1	504	115
421	1	505	116
422	1	506	111
423	1	507	115
424	1	508	117
425	1	509	118
426	1	510	102
427	1	511	119
428	1	512	105
429	1	513	105
430	1	514	110
431	1	515	120
432	1	516	121
433	1	517	122
434	1	518	122
435	1	519	122
436	1	520	122
437	1	521	123
438	1	522	124
439	1	523	105
440	1	524	95
441	1	525	97
442	1	526	115
443	1	527	125
444	1	528	108
445	1	529	108
446	1	530	108
447	1	531	108
448	1	532	108
449	1	533	108
450	1	534	108
451	1	535	108
452	1	536	108
453	1	537	108
454	1	538	108
455	1	539	108
456	1	540	108
457	1	541	108
458	1	542	108
459	1	543	108
460	1	544	108
461	1	545	108
462	1	546	108
463	1	547	108
464	1	548	126
465	1	549	127
466	1	550	128
467	1	551	129
468	1	552	119
469	1	553	119
