INT	STRING
INT	STRING
0	boos六爪.txt
1	boss20090812洞主.txt
2	boss搬山道人20090806.txt
3	boss日本武士090810.txt
4	boss棋局雪人.txt
5	boss玄镰刀怪.txt
6	boss生死擂台公孙胜.txt
7	boss生死擂台关胜.txt
8	boss生死擂台卢俊义.txt
9	boss生死擂台吴用.txt
10	boss生死擂台呼延灼.txt
11	boss生死擂台宋江.txt
12	boss生死擂台李逵.txt
13	boss生死擂台林冲.txt
14	boss生死擂台武松.txt
15	boss生死擂台秦明.txt
16	boss生死擂台花容.txt
17	boss生死擂台鲁智深.txt
18	boss秦皇地宫秦皇后100115.txt
19	boss缥缈峰普通侠士.txt
20	boss葛荣升级090801.txt
21	boss藏经阁蒙面番僧.txt
22	boss裂金明王.txt
23	boss飘渺峰不平道人.txt
24	boss飘渺峰乌老大.txt
25	boss飘渺峰卓不凡.txt
26	boss飘渺峰哈大霸.txt
27	boss飘渺峰哈大霸缩小版.txt
28	boss飘渺峰李秋水.txt
29	boss飘渺峰桑土公.txt
30	KVK台.txt
31	KVK塔.txt
32	KVK旗.txt
33	KVK白车.txt
34	KVK紫车.txt
35	KVK红车.txt
36	KVK蓝车.txt
37	KVK黄车.txt
38	npc20091111万劫灵台.txt
39	npc主城女20091010.txt
40	NPC云姗姗090603.txt
41	NPC云雪儿090603.txt
42	npc圣诞熊猫大盗091105.txt
43	npc圣诞熊猫老人01105.txt
44	npc女船长20090812.txt
45	npc宝箱童子.txt
46	npc怪凿船水鬼20090810.txt
47	npc怪古墓残破雕塑.txt
48	npc怪地宫护卫.txt
49	npc怪宝箱棋子1.txt
50	npc怪宝箱棋子2.txt
51	npc怪小贩20090810.txt
52	npc怪摸金090801校尉.txt
53	npc怪棋局雪人红.txt
54	npc怪棋局雪人黄.txt
55	npc怪棚民20090807.txt
56	npc怪皇后仕女100111.txt
57	npc怪秦皇地宫四层秦皇护卫20100204.txt
58	npc怪紫花蜘蛛20090807.txt
59	npc怪红衣马匪20090810.txt
60	npc怪蜀道黑猿20090807.txt
61	npc怪蟾蜍20090814.txt
62	NPC怪西域仙童.txt
63	NPC怪西域仙鹤.txt
64	NPC怪西域仙鹿.txt
65	npc怪西域匈奴战士2.txt
66	npc怪西域匈奴萨满2.txt
67	npc怪西域圣者.txt
68	npc怪西域巨蝎20090807.txt
69	NPC怪西域开明兽.txt
70	npc怪西域开明兽1.txt
71	NPC怪西域彩云仙.txt
72	npc怪西域拜火使者.txt
73	npc怪西域火焰武士.txt
74	npc怪西域火精灵.txt
75	NPC怪西域酒剑仙.txt
76	npc扫地僧090805.txt
77	npc无崖子090723.txt
78	npc束河古镇哈巴.txt
79	npc束河古镇徐霞客.txt
80	npc束河古镇沧澜.txt
81	npc束河古镇玉龙.txt
82	npc束河古镇跳舞者01.txt
83	npc束河古镇跳舞者02.txt
84	npc束河古镇跳舞者03.txt
85	npc束河古镇跳舞者04.txt
86	npc束河古镇跳舞者05.txt
87	npc束河古镇跳舞者06.txt
88	npc束河古镇跳舞者07.txt
89	npc束河古镇跳舞者08.txt
90	npc束河古镇跳舞者09.txt
91	npc束河古镇跳舞者10.txt
92	npc束河古镇金沙.txt
93	npc枯荣大师.txt
94	npc熊猫20090824.txt
95	npc燃烧弹.txt
96	npc爱情祈福气球20091231.txt
97	npc爱情祈福气球20091231无效果.txt
98	npc祈福接引人.txt
99	npc粉色真心祈福气球091231.txt
100	npc粉色真心祈福气球091231无效果.txt
101	npc紫色真心祈福气球091231.txt
102	npc紫色真心祈福气球091231无效果.txt
103	npc臭弹.txt
104	npc蓝色真心祈福气球091231.txt
105	npc蓝色真心祈福气球091231无效果.txt
106	npc西域三头犬.txt
107	npc许愿树.txt
108	npc高爆弹.txt
109	丁春秋.txt
110	万劫谷卫兵.txt
111	世界杯活动世界杯公示牌.txt
112	丛林蜂.txt
113	丛林野人.txt
114	东北虎.txt
115	东巴boss.txt
116	丫鬟.txt
117	丫鬟B.txt
118	中年乞丐.txt
119	中年书生.txt
120	中年女侠.txt
121	中年贵妇.txt
122	中年贵妇B.txt
123	九大门派骑乘凤凰.txt
124	九大门派骑乘牦牛.txt
125	九大门派骑乘狮子.txt
126	九大门派骑乘狼.txt
127	九大门派骑乘虎.txt
128	九大门派骑乘雕.txt
129	九大门派骑乘马.txt
130	九大门派骑乘鹤.txt
131	九大门派骑乘鹿.txt
132	乞丐.txt
133	书生.txt
134	云中鹤.txt
135	云母石人.txt
136	交通工具_鹰.txt
137	人类首领.txt
138	人类首领2.txt
139	仇道士.txt
140	任务.txt
141	企鹅王.txt
142	企鹅王1.txt
143	余婆.txt
144	余道安.txt
145	佛印.txt
146	俗家弟子.txt
147	俩人抬箱子.txt
148	修罗.txt
149	僵尸.txt
150	全冠清.txt
151	兰剑.txt
152	农妇1.txt
153	农妇2.txt
154	冯阿三.txt
155	冰boos.txt
156	冰boos猛将.txt
157	凤凰古城_水水晶.txt
158	凤凰古城_火水晶.txt
159	凤凰古城_雷水晶.txt
160	凤凰古城_风水晶.txt
161	凤凰古城水水晶_灰色.txt
162	凤凰古城火水晶_灰色.txt
163	凤凰古城雷水晶_灰色.txt
164	凤凰古城风水晶_灰色.txt
165	凤凰战旗.txt
166	出尘子.txt
167	出洞蛟.txt
168	凿船水鬼.txt
169	刀白凤.txt
170	副本9层蝙蝠.txt
171	副本9层鬼魂.txt
172	北方强盗.txt
173	北方猎户.txt
174	北方盗贼.txt
175	北方老年男性.txt
176	北方贵族.txt
177	北方青年女性.txt
178	北院辽兵.txt
179	单正.txt
180	南海海盗.txt
181	南海鳄神.txt
182	南海鳄鱼.txt
183	南院辽兵.txt
184	变身二踢脚.txt
185	变身兔爷.txt
186	变身冰人.txt
187	变身南瓜.txt
188	变身圣火传递女.txt
189	变身圣火传递男.txt
190	变身圣诞树.txt
191	变身大铃铛.txt
192	变身月饼.txt
193	变身灯笼1.txt
194	变身灯笼2.txt
195	变身灯笼3.txt
196	变身玫瑰花.txt
197	变身礼盒.txt
198	变身糖果盒.txt
199	变身老虎阿勇.txt
200	变身门神.txt
201	变身雪人.txt
202	古墓工匠.txt
