INT	STRING	INT
INT	STRING	INT
1	Trân Long KÏ Cuµc	40
2	Lâu Lan t¥m bäo	40
3	Ðánh Lén Môn Phái	40
4	T£c Binh Xâm Nh§p	40
5	Xúc Cúc ðÕi tái	80
6	Lão Tam Hoàn-biên cänh	40
7	Lão Tam Hoàn-Trúc Lâm	40
8	Lão Tam Hoàn-Phï T£c	40
9	Tân Tam Hoàn-Hoàng Kim Chi Li®m	40
10	Tân Tam Hoàn-Huy«n Ph§t Châu	40
11	Tân Tam Hoàn-Dung Nham Chi Ð¸a	40
12	Khiêu chiªn Phiêu Mi¬u Phong	40
13	Tr§n chiªn m· màn Phiêu Mi¬u Phong	40
14	Sát Tinh	40
15	Tàng Kinh Các	40
16	EntercopyScene 1	40
17	Dã Trß BÕo T¦u-cÑu v¾t linh thú	30
18	Dã Trß BÕo T¦u-ðu±i b¡t Dã Trß Vß½ng	30
19	Sß môn nhi®m vø-M²i Hoàn	1
20	Phßþng hoàng lång mµ	40
