INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	INT
0	0	1	66	0	808000	0	0	0	0	0	0	4	30	#{QJ_20080317_01}	230	3	#{QJ_20080317_02}	240	10	#{QJ_20080317_03}	320	3	#{QJ_20080317_04}	329	1	#{QJ_20080317_05}	330	0	Ván c¶	95	-1	-1
1	0	1	68	2	890037	4	-1	-1	-1	-1	2000	4	30	#{KJ_20080317_01}	110	3	#{KJ_20080317_02}	120	120	#{KJ_20080317_03}	230	3	#{KJ_20080317_04}	240	-1	-1	-1	-1	Khoa cØ s½ thí	95	-1	-1
2	0	1	76	2	890037	0	-1	-1	-1	-1	1000	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	S½ thí Loát Npc	95	-1	-1
3	0	1	84	2	801019	0	-1	-1	-1	-1	-1	4	-1	-1	15	10	#{KJ_20080317_05}	20	3	#{KJ_20080317_06}	30	20	#{KJ_20080317_07}	50	3	#{KJ_20080317_08}	60	-1	Khoa cØ thi vòng hai	95	-1	-1
4	0	1	86	2	801020	0	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi vòng hai b¡t ð¥u bßu ki®n thông cáo	95	-1	-1
5	0	1	88	2	801021	0	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi vòng hai kªt thúc Tam Giáp bßu ki®n thông cáo C§p TrÕng Nguyên C±n Bính	95	-1	-1
6	0	1	0	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Môn phái BOSS	95	-1	-1
7	0	1	32	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Môn phái BOSS	95	-1	-1
8	0	1	64	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Môn phái BOSS	95	-1	-1
9	0	1	10	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Môn phái BOSS	95	-1	-1
10	0	1	42	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Môn phái BOSS	95	-1	-1
11	0	1	74	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Môn phái BOSS	95	-1	-1
