INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
0	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	140	1	139	1	142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	140	1	139	1	142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	140	1	139	1	142	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	145	1	146	1	147	1	1284	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	145	1	146	1	147	1	1284	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	145	1	146	1	147	1	1284	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	141	1	144	1	143	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
16	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
17	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
18	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
19	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
20	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	1283	1
21	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	1283	1
26	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	1283	1
27	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	1283	1
28	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	1283	1
29	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	1283	1
41	3	1	4	1	5	1	6	1	7	1	8	1	-1	-1	-1	-1	-1	-1	-1	-1
42	9	1	11	1	10	1	12	1	15	1	13	1	16	1	17	1	14	1	1283	1
228	18	1	24	1	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
229	18	1	24	1	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
230	18	1	24	1	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
250	18	1	24	1	30	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
252	2	1	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
275	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
318	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
344	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
345	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
346	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
347	39	1	41	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
348	39	1	41	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
349	6	1	24	1	26	1	27	1	5	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
350	6	1	24	1	26	1	27	1	5	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
359	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
360	1292	1	1293	1	1294	1	1295	1	1296	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
361	1292	1	1293	1	1294	1	1295	1	1296	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
366	1292	1	1293	1	1294	1	1295	1	1296	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
368	1292	1	1293	1	1294	1	1295	1	1296	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
369	1292	1	1293	1	1294	1	1295	1	1296	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
370	1292	1	1293	1	1294	1	1295	1	1296	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
379	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
393	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
396	0	1	1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
415	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
419	1311	1	1312	1	1313	1	1314	1	1315	1	1316	1	-1	-1	-1	-1	-1	-1	-1	-1
423	17563	1	17564	1	17565	1	17566	1	17567	1	17568	1	17569	1	17570	1	17571	1	17572	1
424	17573	1	17574	1	17575	1	17576	1	17577	1	17578	1	17579	1	17580	1	17581	1	17582	1
425	17583	1	17584	1	17585	1	17586	1	17587	1	17588	1	17589	1	17590	1	17591	1	17592	1
426	17593	1	17594	1	17595	1	17596	1	17597	1	17598	1	17599	1	17600	1	17601	1	17602	1
427	17563	1	17564	1	17565	1	17566	1	17567	1	17568	1	17569	1	17570	1	17571	1	17572	1
428	17573	1	17574	1	17575	1	17576	1	17577	1	17578	1	17579	1	17580	1	17581	1	17582	1
429	17583	1	17584	1	17585	1	17586	1	17587	1	17588	1	17589	1	17590	1	17591	1	17592	1
