INT	STRING	STRING	INT	INT	INT	INT	INT	INT
INT	STRING	STRING	INT	INT	INT	INT	INT	INT
0	Thiªu Lâm		57500	15000	1000000	1000000	1500000	1000000
1	Minh Giáo		57500	15000	1000000	1500000	1000000	1000000
2	Cái Bang		57500	15000	1000000	1250000	1000000	1300000
3	Võ Ðang		3875	71250	1250000	1200000	1100000	1000000
4	?ëáÒ		3875	71250	1200000	1000000	1250000	1000000
5	Tinh Túc		3875	71250	1000000	1000000	1000000	1500000
6	ÐÕi Lý		43750	43750	1150000	1150000	1150000	1150000
7	Thiên S½n		57500	15000	1500000	1000000	1000000	1000000
8	Tiêu dao		3875	71250	1000000	1300000	1000000	1250000
9	Tiêu chu¦n		42500	42500	200000	200000	200000	200000
10	NPC		63750	63750	1000000	1000000	1000000	1000000
11	NgoÕi công công kích Hình Trân Thú: Thiªt C¯t boong boong, tráng ki®n uy mãnh, Dî kình lñc tång trß·ng	PetAttack_Type1	52900	13800	1000000	1000000	1000000	1000000
12	Nµi công công kích Hình Trân Thú: Suy nghî Ngñ Khí, ðÕo pháp tñ nhiên, trong vòng Lñc ðä thß½ng ð¸ch thü	PetAttack_Type2	3565	65550	1000000	1000000	1000000	1000000
13	Cân b¢ng công kích Hình Trân Thú: Cân b¢ng phát tri¬n, thu th§p rµng rãi Chúng Trß¶ng, Tuy Vô tinh thông cûng không Phá Ði®n	PetAttack_Type3	40250	40250	1000000	1000000	1000000	1000000
14	MÕn Ðà S½n Trang		3875	71250	1000000	1000000	1300000	1250000
15	Ác Nhân C¯c		3875	71250	1250000	1000000	1000000	1300000
16	QuÖ C¯c		3875	71250	1000000	1200000	1300000	1000000	
17	Ðào Hoa Ðäo		71250	3875	1300000	1000000	1000000	1200000	
18	Tuy®t Tình C¯c		71250	3875	1000000	1300000	1200000	1000000
