INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
1	0	33	130	Trß¶ng cänh: Ðµi Hoàng		V§n chuy¬n	99	2
2	0	159	287	Trß¶ng cänh: Tung S½n		V§n chuy¬n	99	2
3	0	286	129	Trß¶ng cänh: NhÕn Nam		V§n chuy¬n	99	2
4	0	59	83	A TØ	Nhi®m vø c¯t truy®n		7	5
5	0	160	134	Châu Thiên Sß	Ðào lý thiên hÕ	Nhi®m vø	7	5
6	0	234	140	Ngô ThØ Nhân	Bát phß½ng lai khách	Nhi®m vø	7	5
7	0	118	184	L§p Ph°n	HÕo Ng÷c næ hi®p	Nhi®m vø	7	5
8	0	252	62	B¯c H¯i KÏ		Nhi®m vø	7	5
9	0	113	75	Ba Thiên ThÕch			7	5
10	0	175	104	Th¥n Tình Yêu	Ái th¥n	Ái th¥n	7	5
11	0	136	164	BÕch Manh Sinh	Dßþc ðiªm lão bän	MÕi Dßþc	6	3
12	0	136	169	BÕch Dînh Minh	ÐÕi sß dßþc lý h÷c	Dßþc lý	5	4
13	0	133	164	BÕch Dînh Trung	Dßþc ðiªm lão bän	MÕi Dßþc	6	3
14	0	253	111	Bäo Châu			7	5
15	0	122	74	B¡c Ði«u Trung Th¡ng			7	5
16	0	90	208	T¤t Thång			7	5
17	0	158	32	Thái Bi®n	Bang hµi ð°ng minh	Ð°ng minh	5	4
18	0	125	97	Thái Bính Th¥n			7	5
19	0	126	96	Thái Kinh			7	5
20	0	144	68	Tr¥n Phu Chi	Kªt bái danh hi®u	Kªt bái	5	4
21	0	238	152	Tr¥n Th÷ Ðình			7	5
22	0	83	149	Tr¥n Tiên Sinh	Ti«n Trang phòng thu chi	Ti«n trang	5	4
23	0	172	90	Tr¥n Vînh Nhân	Lînh 2 l¥n kinh nghi®m	Lãnh Song	5	4
24	0	98	205	Trình An			7	5
25	0	88	205	Trình HÕo			7	5
26	0	85	208	Trình Di			7	5
27	0	83	155	ChØ Tiên Sinh	Ti«n Trang phòng thu chi	Ti«n trang	5	4
28	0	220	200	Xuân Nhi			7	5
29	0	230	176	Ð½n Chính			7	5
30	0	177	176	Ð±ng Xß½ng	Trang sÑc ðiªm ti¬u nh¸	Trang sÑc	6	3
31	0	158	181	Ðông Ðông	Kim T® nguyên bäo ký gØi	Ký gØi	5	4
32	0	255	134	Ð§u Ngô Ð°ng	Giang H° Du Y	Tr¸ li®u	5	4
33	0	140	95	PhÕm Thu¥n Nhân	Bang hµi quän lý	Bang hµi	5	2
34	0	138	140	PhÕm Th¯ng	Khách sÕn lão bän	Thñc ph¦m	6	3
35	0	142	113	PhÕm Di Thành	Cäi danh phøc vø SÑ	Cäi danh	5	4
36	0	209	152	Phong H° TØ	Vû khí trang b¸ tông sß	Cß¶ng hóa	5	4
37	0	87	155	Phùng Tiên Sinh	Ti«n Trang phòng thu chi	Ti«n trang	5	4
38	0	155	174	Phùng Chú Thiªt	Tài li®u gia công ðÕi sß	Gia công	5	4
39	0	193	172	Phù Mçn Chi	May ðÕi sß	May	5	4
40	0	84	116	Cái Thiên Minh			7	5
41	0	198	58	Cao C¥u			7	5
42	0	110	162	Cung Thái Li	Ám Kim Bäo Tß½ng ð±i sÑ giä	Ð±i	5	4
43	0	268	46	Quan Hán Th÷	Xóa bö vai di­n	San Hào	5	4
44	0	162	237	Quan Th¡ng			7	5
45	0	175	64	Quách Thiên Tín			7	5
46	0	161	244	Hàn Ngân Di®p	Giang H° Du Y	Tr¸ li®u	5	4
47	0	248	129	Hà Linh Chi	Nhuµm tóc sß phó	Nhuµm tóc	5	4
48	0	95	152	Hà Sinh Tài	Tài li®u thß½ng nhân	Tài li®u	6	3
49	0	255	106	Hà Sinh Phú	Tài li®u thß½ng nhân	Tài li®u	6	3
50	0	113	63	Hách Liên Thiªt Thø			7	5
51	0	40	60	Hoa Tiên			7	5
52	0	232	181	Hoài Bính			7	5
