INT	INT	INT
INT	INT	INT
1	16912	100
2	16913	101
3	16914	102
4	16915	103
5	16916	104
6	16917	105
7	16918	106
8	16919	107
9	16920	108
10	16921	109
11	16922	110
12	16923	111
13	16924	112
14	16925	113
15	16926	114
16	16927	115
17	16928	116
18	16929	117
19	16930	118
20	16931	119
21	16932	100
22	16933	101
23	16934	102
24	16935	103
25	16936	104
26	16937	105
27	16938	106
28	16939	107
29	16940	108
30	16941	109
31	16942	110
32	16943	111
33	16944	112
34	16945	113
35	16946	114
36	16947	115
37	16948	116
38	16949	117
39	16950	118
40	16951	119
41	16952	100
42	16953	101
43	16954	102
44	16955	103
45	16956	104
46	16957	105
47	16958	106
48	16959	107
49	16960	108
50	16961	109
51	16962	110
52	16963	111
53	16964	112
54	16965	113
55	16966	114
56	16967	115
57	16968	116
58	16969	117
59	16970	118
60	16971	119
61	16972	100
62	16973	101
63	16974	102
64	16975	103
65	16976	104
66	16977	105
67	16978	106
68	16979	107
69	16980	108
70	16981	109
71	16982	110
72	16983	111
73	16984	112
74	16985	113
75	16986	114
76	16987	115
77	16988	116
78	16989	117
79	16990	118
80	16991	119
81	16992	100
82	16993	101
83	16994	102
84	16995	103
85	16996	104
86	16997	105
87	16998	106
88	16999	107
89	17000	108
90	17001	109
91	17002	110
92	17003	111
93	17004	112
94	17005	113
95	17006	114
96	17007	115
97	17008	116
98	17009	117
99	17010	118
100	17011	119
