INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT
INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT
0	Ngß¶i ch½i B¸ Tr¸ Li®u	-10	70	72	-10	-120	30	1000	1000	FF009f3c	ffffff	FFfa1004	140302	1	1	4	2	200	400
1	Ngß¶i ch½i B¸ thß½ng t±n	-10	80	72	-10	-150	30	2000	200	ff00b4	f7bb04	FFfa1004	f7bb04	1	1	4	2	200	400
2	Ngß¶i ch½i Ðích tÑc gi§n gia tång	0	0	-100	0	200	0	0	0	FFFFFF00	FFFFFF	FFFFFF00	FFFFFF	1	1	4	2	200	400
3	Ngß¶i ch½i Ðích tÑc gi§n giäm b¾t	0	0	-100	0	200	0	0	0	FFFFFF00	FFFFFF	FFFFFF00	FFFFFF	1	1	4	2	200	400
4	Ngß¶i ch½i Ðích managia tång	-10	80	72	10	-120	0	1000	1000	FF0629ff	FFFFFF	FF0000FF	FFFFFF	1	1	4	2	200	400
5	Ngß¶i ch½i Ðích managiäm b¾t	-10	80	72	10	-120	0	0	0	FF0629ff	FFFFFF	FF0000FF	FFFFFF	1	1	4	2	200	400
6	Süng v§t Ð¯i objecttÕo thành Ðích Thß½ng	0	1	0	75	0	-150	800	1000	FFf8f400	0	FFf8f400	0	1	1	4	2	200	400
7	Ngß¶i ch½i Ð¯i objecttÕo thành Ðích thß½ng t±n	0	1	0	75	0	-150	800	1000	FFfa1004	f7bb04	FFfa1004	f7bb04	1	1	4	2	200	400
8	Ngß¶i ch½i công kích m£t khác ð¯i tßþng Th¶i mi­n d¸ch, Thi¬m T¸,	0	1	0	75	0	-150	0	1800	FFfefefd	0	FFfefefd	0	1	1	4	2	200	400
9	Ngß¶i ch½i B¸ m£t khác ð¯i tßþng khi t¤n công mi­n d¸ch, Thi¬m T¸,	-10	60	60	15	-115	0	500	1500	FFFFFFFF	0	FFFFFFFF	0	1	1	4	2	200	400
10	KÛ nång tên	0	1	0	75	0	-150	800	1000	FFfa1004	f7bb04	FFfa1004	f7bb04	1	1	4	2	200	400
11	Ngß¶i ch½i Ðích chiªn xa nång lßþng gia tång	-10	80	72	10	-120	0	1000	1000	c6ff00	FFFFFF	c6ff00	FFFFFF	1	1	4	2	200	400
12	Ngß¶i ch½i Ðích chiªn xa nång lßþng giäm b¾t	-10	80	72	10	-120	0	0	0	c6ff00	FFFFFF	c6ff00	FFFFFF	1	1	4	2	200	400
13	Châm cÑu thß½ng t±n tách ra bi¬u hi®n(công kích)	0	1	-120	-25	200	-50	800	1000	b400ff	ffb400	b400ff	ffb400	1	1	4	2	200	400
14	Châm cÑu thß½ng t±n tách ra bi¬u hi®n(b¸ ðánh)	-10	80	72	-4	-150	10	2000	200	b400ff	ffb400	b400ff	ffb400	1	1	4	2	200	400
15	Ð° ð¢ng Ð¯i objecttÕo thành Ðích thß½ng t±n	0	1	0	75	0	-150	800	1000	FFfa1004	f7bb04	FFfa1004	f7bb04	1	1	4	2	200	400
16	Ð° ð¢ng châm cÑu thß½ng t±n tách ra bi¬u hi®n(công kích)	0	1	-120	-25	200	-50	800	1000	b400ff	ffb400	b400ff	ffb400	1	1	4	2	200	400
17	C¡t thß½ng t±n tách ra bi¬u hi®n(công kích)	0	1	120	25	-200	-100	800	1000	00e5ff	00ffcc	00e5ff	00ffcc	1	1	4	2	200	400
18	C¡t thß½ng t±n tách ra bi¬u hi®n(b¸ ðánh)	0	1	120	-25	-200	50	800	1000	00cfff	00e5ff	00cfff	00e5ff	1	1	4	2	200	400
100	Ngß¶i ch½i B¸ Tr¸ Li®u 2	-10	60	72	0	-120	0	1000	1000	FF009f3c	ffffff	FFfa1004	140302	1	1	4	2	200	400
