INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
10200001	1	2	0	1	0	411	1	-1	-1	Ngân B¯i Khän S½n Ðao	10	ÐÕi ðao thông thß¶ng, thân ðao dài, thích hþp cho ngß¶i m¾i gia nh§p giang h° sØ døng.	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_2	Ðao Búa	2000	2002	0
10200002	1	2	0	2	0	414	1	-1	-1	Phi Liên ÐÕi Khän Ðao	20	LßÞi ðao u¯n cong, có hình lßÞi li«m, thân ðao có ð° án phi nguy®t, có th¬ ch£t, sØ døng thu§n ti®n.	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_7	Ðao Búa	2001	2002	0
10200003	1	2	0	3	0	424	1	-1	-1	Song Sí Khai S½n Vi®n	30	Cán vi®t dài nhßng mänh, lßÞi s¡c, gi¯ng nhß chim bay v² cánh, loÕi binh khí xßa có tiªng.	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_10	Ðao Búa	2002	2002	0
10200004	1	2	0	4	0	415	1	-1	-1	Bát Quái Tuyên Hoa Phü	40	Búa dài 9 t¤c 5 th¯n, n£ng 82 cân, thân búa có s½ ð° Bát quái, vì v§y nó r¤t n±i tiªng, truy«n r¢ng do danh tß¾ng th¶i Tam Qu¯c sØ døng, ngß¶i sØ døng c¥n có sÑc lñc phi thß¶ng.	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_14	Ðao Búa	2003	2002	0
10200005	1	2	0	5	0	430	1	-1	-1	CØu Long Phß½ng Ti®n Sän	50	Ðßþc ðúc t× kim loÕi nghìn nåm trên núi CØu Long, sØ døng ð½n giän nhßng r¤t thu§n ti®n, có th¬ xúc có th¬ ð§p, uy lñc r¤t l¾n.	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_3	Ðao Búa	2004	2002	0
10200006	1	2	0	6	0	432	1	-1	-1	Kim Ðïnh Lang Nha Sóc	60	Do chân nhân phái Hoa S½n ðúc nên, huy«n thiªt nghìn nåm hàn bång vÕn nåm, tích tø sÑc mÕnh m£t trång, g£p trång thì uy lñc tång mÕnh.	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_7	Ðao Búa	2005	2002	0
10200007	1	2	0	7	0	435	1	-1	-1	Th¥n Long Khai Thiên Vi®t	70	ThÑ nh¤t Chª binh khí danh gia S· Chª, Tß¾ng thiên ð¸a Càn Khôn tiªp nh§n tÕi ðây dài ng¡n hai trßþng Bán trong lúc ðó, Phong BÕc Nhß Thi«n Dñc, Xuy Mao ÐoÕn Phát.	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_11	Ðao Búa	2006	2002	0
10200008	1	2	0	8	0	444	1	-1	-1	Hßng Vong	80	Thiên hÕ hßng vong, th¤t phu hæu trách.	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_16	Ðao Búa	2007	2002	0
10200009	1	2	0	9	0	450	1	-1	-1	Tr¥n Duyên	90	Tr¥n duyên hæu kh·i, ai ðäm ðß½ng?	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_5	Ðao Búa	2008	2002	0
