INT	STRING	INT	INT	INT	INT	FLOAT	INT	FLOAT	INT	INT	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	??	??ID	??	????(??)	????ID	????	????	????	?????0	?????1	?????0	?????1	?????2	?????1	?????2	?????3	?????4	?????5	?????6	?????7
0	Mµt chuyªn Xa	-1	0	0	1018	3	1	6	265	532	attach1	-1	-1							
1	Ði t¾i ði lui Xa	-1	1	30000	1018	3	4	6	265	532	attach1	265	532	attach1	attach1	attach1				
2	Phß½ng ti®n giao thông_¿ng	-1	1	20000	1021	3	2	12	264	531	KÜ Th×a Ði¬m 01	264	531	KÜ Th×a Ði¬m 02						
3	S½ C¤p xe hoa	800200	0	0	1022	4	2	2	286	553	KÜ Th×a Ði¬m 01	286	553	KÜ Th×a Ði¬m 02						
4	Trung C¤p xe hoa	800201	0	0	1023	4	2	2	286	553	KÜ Th×a Ði¬m 01	286	553	KÜ Th×a Ði¬m 02						
5	Cao c¤p xe hoa	800202	0	0	1024	4	2	2	286	553	attach1	286	553	attach2						
6	ÐÕi Ðiêu(th¬ nghi®m Bän)	-1	0	0	7394	3	1	12	265	532	attach1	-1	-1							
7	Trßþt tuyªt	-1	0	0	7698	3	6	9	1180	1180	attach1	1179	1179	attach2	attach3	attach4	attach5	attach6		
8	Vân Ðoan Tuyªt	791095	0	0	7891	3	2	9	292	559	attach1	292	559	attach2						
9	Du thuy«n bus	998293	0	0	7869	4	2	9	1210	1210	attach1	1210	1210	attach2						
10	DÕ M£c Phong	791095	0	0	7892	3	2	9	292	559	attach1	292	559	attach2						
11	Xích Linh Câu	791095	0	0	7893	3	2	9	292	559	attach1	292	559	attach2						
12	S½ C¤p xe hoa	800200	0	0	7870	4	2	2	1211	1211	attach1	1211	1211	attach2						
13	Trung C¤p xe hoa	800201	0	0	7871	4	2	2	1211	1211	attach1	1211	1211	attach2						
14	Cao c¤p xe hoa	800202	0	0	7872	4	2	2	1211	1211	attach1	1211	1211	attach2						
15	DÕo ph¯	792110	0	0	7928	4	1	2	267	534	attach1	267	534	attach2						
16	ÐÕi Ðiêu(th¬ nghi®m Bän)	-1	0	0	7394	3	1	12	265	532	attach1	-1	-1							
17	DÕo ph¯ cao c¤p	792110	0	0	8497	4	1	2	267	534	attach1	267	534	attach2						
18	DÕo ph¯(Næ)	792110	0	0	8533	4	1	2	292	559	attach1	292	559							
19	DÕo ph¯ cao c¤p(Næ)	792110	0	0	8534	4	1	2	292	559	attach1	292	559							
20	DÕo ph¯ kèn Xô-na Ðµi	-1	0	0	8564	3	2	2	267	534	attach1	267	534							
21	DÕo ph¯ Tát Hoa Ðµi	-1	0	0	8561	4	2	2	267	534	attach1	267	534							
22	DÕo ph¯ th¸ v® Ðµi	-1	0	0	8563	3	2	2	267	534	attach1	267	534							
23	DÕo ph¯ CØ Bài Ðµi	-1	0	0	8562	3	2	2	267	534	attach1	267	534							
24	NhÕn Môn Quan ¿ng	-1	0	0	8600	3	1	12	1210	1210	attach1	1210	1210							
25	Th¦m Nguy®t Ðäo häi mã	-1	0	0	8857	3	1	12	292	559	attach1	1210	1210							
26	Thái Linh xe ð¦y	890362	0	0	8920	3	6	9	1329	1329	attach1	1329	1329	attach2	attach3	attach4	attach5	attach6		
27	Ác Nhân C¯c Thi«n Nhân	999385	0	0	9155	3	1	12	1388	1388	attach1	-1	-1							
28	Ác Nhân C¯c Song Nhân	999385	0	0	9155	4	2	9	1388	1388	attach1	1388	1388	attach2						
29	Bång tuyªt thª gi¾i trßþt tuyªt	999500	0	0	9162	3	6	6	272	539	attach1	272	539	attach2	attach3	attach4	attach5	attach6		
30	Bång tuyªt thª gi¾i phi hành trßþt tuyªt	999541	0	0	9306	3	6	6	1211	559	attach1	1211	559	attach2	attach3	attach4	attach5	attach6		
31	TØ Ði®n hành hß½ng	999828	0	0	9610	3	1	12	269	536	attach1	-1	-1							
