INT	STRING	STRING	STRING	STRING	INT	STRING
INT	STRING	STRING	STRING	STRING	INT	STRING
1	斗转星移（打一人名）	时迁	孔明	赵云	1	词语意思为：时间发生变动，即时迁
2	结婚费用（打一花卉）	梅花	合欢花	节节花	2	合欢常用来描述新婚，花为：花销，即为合欢花
3	盈盈在紫微（打一花卉）	一品红	凌霄花	满天星	3	紫薇为夜星，盈盈为光亮，即为：满天星
4	帝子乘风下翠微（打一花卉）	步步高	仙客来	棣棠	2	帝子为仙客，乘风即乘风前来之意
5	花香扑鼻（打一人名）	迎春	袭人	香菱	2	花香对应：花香袭人，即为袭人
6	展翅凌空（猜人名）	关羽	孟达	张飞	3	张开翅膀飞起来，即张飞
7	月上柳稍花自芳（打一花卉）	夜来香	梅花	美人蕉	1	月上为夜，自芳，为夜中唯一绽放的花，即夜来香
8	一朝选在君王侧（打一花卉）	牡丹	贵妃红	长寿菊	2	词句表现此宫中女眷位高且极受宠爱，即贵妃红
9	一封朝奏九重天（打一花卉）	报君知	除虫菊	凌霄花	1	将朝事报给君王，即为：报君知
10	愿借明驼千里足，送儿还故乡。（打一药材）	松音	当归	川连	2	还故乡：还回故乡，即：当归
11	五指山（打一药材）	乌韭	苦参	佛手	3	如来的手掌，即为佛手
12	慈母之心（打一药材）	忘忧	莲子	杏仁	2	慈母之心最是怜子
13	蜜饯黄连(打一成语)	同甘共苦	求同存异	大同小异	1	蜜饯为甘，黄连味苦，连在一起即为：同甘共苦
14	快刀斩乱麻(打一成语)	迎刃而解	将错就错	横七竖八	1	快刀为刃，斩开乱麻为解
15	兔子请老虎(打一成语)	不知死活	寅吃卯粮	胆大包天	2	十二生肖中，虎为寅，兔为卯，请，意为：请吃饭，即为粮
16	不考虑中间(打一成语)	左右为难	瞻前顾后	美中不足	2	只有前后，没有中间
17	熙熙攘攘(打一字)	从	众	侈	3	熙熙攘攘就是人多
18	四个傍晚(打一 字)	晚	罗	加	2	夕为傍晚，四个傍晚，即为夕
19	两点天上来(打一字)	关	益	卡	1	两个点，落在天字上
20	仙乐(打一成语）	天籁之音	不同凡响	朱弦三叹	2	仙乐非凡间之物，自然不同凡响
21	皇(打一成语)	白玉无暇	奇珍异宝	不可多得	1	斑点为瑕，白玉无暇，即为皇
22	苦闷只为财与味（打一花卉）	花烛	郁金香	芍药	2	郁闷金子和香味
23	远上寒山石径斜（打一花卉）	风信子	石榴花	步步高	3	攀寒山，步步登高
24	气色不佳（打一中药）	贵妃红	小苍兰	人中白	3	人中发白，气色当然不佳
25	飘香未及十里（打一中药）	广白	九里香	米仁	2	十里退一里，当为九里香
26	水中尘仙（打一花卉）	凤仙	水仙	睡莲	2	取头字与尾字，即为水仙
27	内里有人（打一字）	肉	内	丛	1	门外门内都有“人”即为肉
28	入门无犬吠(打一字)	闫	问	间	2	门中无口叫，即为问
29	进水行不成(打一字)	滩	衍	淋	2	行字中间进了水，即为衍
30	早不说晚不说(打一字)	语	许	诰	2	言在中午，即为许
31	总把新桃换旧符（打一人名）	迎春	探春	惜春	1	诗句是迎接春节的意思，即迎春
32	为人正直（打一字）	值	个	位	1	人直，即为值
33	说话不转弯抹角(打一气象)	火烧云	直展云	滚轴云	2	不转弯便为直展
34	情深义重，尽瘁终生（打一名句）	蜡炬成灰泪始干	直教生死相许	鞠躬尽瘁死而后已	3	鞠躬尽瘁见义重，死而后已望终生
