INT	INT	STRING	STRING	STRING	INT	STRING	INT	INT	INT	INT	INT
INT	INT	STRING	STRING	STRING	INT	STRING	INT	INT	INT	INT	INT
39920000	3	Merchandise4_16	50Ği¬m Nguyên Bäo Phiªu	#Y50Ği¬m#GNguyên Bäo Phiªu#r#Wmua lúc sau s¨ tñ ğµng biªn thành trên ngß¶i mang theo Ğích nguyên bäo.	1	Phiªu Kim Nguyên Bäo	1	1	0	0	0
39920001	3	Merchandise4_16	200Ği¬m Nguyên Bäo Phiªu	#Y200Ği¬m#GNguyên Bäo Phiªu#r#Wmua lúc sau s¨ tñ ğµng biªn thành trên ngß¶i mang theo Ğích nguyên bäo.	1	Phiªu Kim Nguyên Bäo	2	1	0	0	0
39920002	3	Merchandise4_16	500 Ği¬m Nguyên Bäo Phiªu	#Y900Ği¬m#GNguyên Bäo Phiªu#r#Wmua lúc sau s¨ tñ ğµng biªn thành trên ngß¶i mang theo Ğích nguyên bäo.	1	Phiªu Kim Nguyên Bäo	3	1	0	0	0
39920003	3	Merchandise4_16	10 Ği¬m Kim Phiªu	#Y10Ği¬m#GKim Phiªu#r#Wmua lúc sau s¨ tñ ğµng biªn thành trên ngß¶i S· mang theo Ğích ti«n tài, Mãi phía trß¾c Thïnh xác nh§n chính mình trên ngß¶i Ğích ti«n tài hay không vßşt qua mang theo hÕn mÑc cao nh¤t.	1	Kim phiªu	1	1	0	0	0
39920004	3	Merchandise4_16	50 Ği¬m Kim Phiªu	#Y50Ği¬m#GKim Phiªu#r#Wmua lúc sau s¨ tñ ğµng biªn thành trên ngß¶i S· mang theo Ğích ti«n tài, Mãi phía trß¾c Thïnh xác nh§n chính mình trên ngß¶i Ğích ti«n tài hay không vßşt qua mang theo hÕn mÑc cao nh¤t.	1	Kim phiªu	2	1	0	0	0
39920005	3	Merchandise4_16	150 Ği¬m Kim Phiªu	#Y150Ği¬m#GKim Phiªu#r#Wmua lúc sau s¨ tñ ğµng biªn thành trên ngß¶i S· mang theo Ğích ti«n tài, Mãi phía trß¾c Thïnh xác nh§n chính mình trên ngß¶i Ğích ti«n tài hay không vßşt qua mang theo hÕn mÑc cao nh¤t.	1	Kim phiªu	3	1	0	0	0
39920006	3	RideHeader2_8	ToÕ KÜ: Nhß İ Hùng	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung mua Th¶i b¡t ğ¥u th¶i trß¾c. )#r#Wg?i v« nhß ı Hùng KÜ Th×a. #r#cFFCC00KÜ Th×a lui v« phía sau Ğµng t¯c ğµ +80%#r#W.	10	CßŞi	1	1	0	0	0
39920007	3	Cloth3_3	Thiên Canh Cß¶ng Hóa Tinh Hoa	Thiên Canh tinh hoa cß¶ng hóa, tinh hoa cß¶ng hóa cao c¤p, ğªn #GL?c Dß½ng (306,288) #YPhong H° TØ#W, #G Tô Châu (355,234) #YÂu Dã TØ #Wğ¬ dùng, có th¬ cß¶ng hoa trang b¸ >	1	Ng.Li®u ğ£c thù	2	1	0	0	0
39920008	3	Cloth2_12	Biªn d¸ TrÑng Trân Thú: Ng½ ngác Ngßu	Hi hæu Ğích TrÑng Trân Thú, có th¬ ¤p trÑng Xu¤t#G45C¤p#WKhä mang theo Ğích#Gc¯ ğ¸nh lñc lßşng tß ch¤t#YngoÕi công công kích Hình#Wbiªn d¸ Trân Thú: Ng½ ngác Ngßu. #r#c00FF00(Hæu Ki®n Ği¬m Kích có th¬ sØ døng)	45	TrÑng Trân Thú	2	1	0	0	0
39920009	3	Cloth4_6	S½ C¤p Cån C¯t Ğan	Khi Ngµ tính cüa Trân Thú là #G0, 1, 2#W, cÓ th¬ sØ døng#R S½ C¤p Cån C¯t Ğan#W ğ¬ gia tång Ngµ tính.	10	TÕp V§t	1	1	0	0	0
39920010	3	NewCloth4_15	Thanh Phong Di Giang	#c33ff99(th¶i hÕn có hi®u lñc 15Thiên, Thung nh§n ğßşc Th¶i b¡t ğ¥u th¶i trß¾c. )#r#WgIó mát hæu tình Quân İ Thi®p, #rMµng Hôi Di Giang Ğãi Tâm Duyên.	1	Th¶i Trang	1	1	0	0	0
39920011	3	Treasure_13	Kim Cß½ng Sa	Ğá vô cùng cÑng, dùng ğ¬ mài lÕi tß ch¤t trang b¸. #rCó th¬ t¾i #GL?c Dß½ng (307,294) #RVß½ng ĞÑc Quı, #GLÕc Dß½ng (306,288) #RPhong H° TØ#W ho£c #GTô Châu (355,234) #RÂu Dã TØ#W ch÷n chÑc nång giám ğ¸nh lÕi tß ch¤t trang b¸ ğ¬ sØ døng. #r#b#PTrang b¸ cß¶ng hóa càng cao, tß ch¤t trang b¸ cµng thêm càng nhi«u.	10	Ğ£c bi®t	10	1	0	0	0
39920012	3	Gem3_2_2	H°ng Bäo ThÕch(C¤p 3)	Màu ğö Ğích bäo thÕch, có th¬ ğßşc khäm TÕi phòng ngñ Tính trang b¸(Y Phøc, cái bao tay, mû, Hµ Kiên, Hài, ğai lßng, vòng c±, ám khí, Võ H°n)Thßşng, sØ døng H§u không th¬ Tái ğßşc khäm ğ°ng loÕi bäo thÕch. #r#GM?nh V§n bäo thÕch	1	Bäo thÕch	1	1	0	0	0
39920013	3	FabaoDaoju_6	Bách Th¯i Th¥n Ng÷c	Có th¬ ğªn #GL?c Dß½ng (208,343) #RYªn Thanh #W t¦y lÕi c¤p b§c cüa ám khí.	1	Ğ£c bi®t	1	1	0	0	0
39920014	3	Treasure_16	Thiên Canh Cß¶ng Hóa Lµ	Thiên Canh Cß¶ng Hoá Lµ, TÕi#GL?c Dß½ng(209, 152)#YPhong H° TØ#W, #GTô Châu(266, 140)#YÂu Dã TØ#WXØ sØ døng, Khä nhi«u l¥n cß¶ng hóa C¤p 40 ğã ngoài trang b¸. #r#c00FF00(nhi«u nh¤t có th¬ làm cho Døng 11ThÑ)	1	Ng.Li®u ğ£c thù	2	1	0	0	0
39920015	3	CircularTaskTool8_9	Xoay chuy¬n tr¶i ğ¤t Th¥n ThÕch	Khä TÕi#GĞ?i Lı(141, 180)#YVõ Ğ°ng#WXØ Trùng Ti¬n Võ H°n l¾n d¥n Su¤t, Hæu Giäo kÖ trà cao Su¤t SÑ Võ H°n nh§n ğßşc Cao l¾n d¥n Su¤t.	1	Ğ£c bi®t	1	1	0	0	0
39920016	3	Tattoo_1	Kim Tàm Ti	Hi hæu Ğích sşi t½, TÕi#GL?c Dß½ng(220, 170)#RTrß½ng Giáng Long#WXØ sØ døng có th¬ cß¶ng hóa Ğiêu Vån, tång lên Ki cß¶ng ğµ.	1	Ng.Li®u ğ£c thù	1	1	0	0	0
39920017	3	Ore_14	Miên B¯ C¤p 3	Nguyên li®u ğ£c bi®t, dùng ğ¬ tinh chª phòng cø.#rCó th¬ ğªn Tô Châu g£p Chª TÕo Tông Sß #RCHâu Phong (367,249)#W h÷c kÛ nång Tinh chª kÛ nång.#r#GSau khi tÕo có th¬ nh§n trang b¸ th¤p nh¤t 4 sao.#r#GThu th§p 5 món có th¬ ğªn LÕc Dß½ng (280,322) Bäo ThÕch Công Tßşng Bành Hoài Ng÷c ghép Miên B¯ c¤p 4.#r#GCó th¬ dùng Ği¬m Kim Ng÷c ğªn LÕc Dß½ng (280,322) Bành Hoài Ng÷c, Thúc Hà C± Tr¤n (134,85) Kinh Khäm Thñc ho£c Lâu Lan (279,198) Kh¡c Lı Mµc Ği¬m Kim thành Chí Tôn Miên B¯.	3	Ng.Li®u ğ£c thù	4	1	0	0	0
39920018	3	Ore_13	Bí Ngân C¤p 3	Nguyên li®u ğ£c bi®t, dùng ğ¬ tinh công trang sÑc.#rCó th¬ ğªn Tô Châu g£p Chª TÕo Tông Sß #RCHâu Phong (367,249)#W h÷c kÛ nång tinh công kÛ nång.#r#GSau khi tÕo có th¬ nh§n trang b¸ th¤p nh¤t 4 sao.#r#GThu th§p 5 món có th¬ ğªn LÕc Dß½ng (280,322) Bäo ThÕch Công Tßşng Bành Hoài Ng÷c ghép Bí Ngân c¤p 4.#r#GCó th¬ dùng Ği¬m Kim Ng÷c ğªn LÕc Dß½ng (280,322) Bành Hoài Ng÷c, Thúc Hà C± Tr¤n (134,85) Kinh Khäm Thñc ho£c Lâu Lan (279,198) Kh¡c Lı Mµc Ği¬m Kim thành Chí Tôn Bí Ngân.	3	Ng.Li®u ğ£c thù	4	1	0	0	0
39920019	3	CircularTaskTool64_16	100Bäng Ğ¸nh nguyên bäo	SØ døng H§u Khä nh§n ğßşc#G100Bäng Ğ¸nh nguyên bäo#W. #r#c00FF00(Hæu Ki®n Ği¬m Kích sØ døng)	15	Bäng Ğ¸nh Nguyên Bäo Phiªu	1	1	0	0	0
39920020	3	Gem3_2_2	H°ng Bäo ThÕch(C¤p 4)	Màu ğö Ğích bäo thÕch, có th¬ ğßşc khäm TÕi phòng ngñ Tính trang b¸(Y Phøc, cái bao tay, mû, Hµ Kiên, Hài, ğai lßng, vòng c±, ám khí, Võ H°n)Thßşng, sØ døng H§u không th¬ Tái ğßşc khäm ğ°ng loÕi bäo thÕch. #r#GM?nh V§n bäo thÕch	1	Bäo thÕch	1	1	0	0	0
