INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT
INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT
0	0	0107-1900	0107-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
1	0	0204-1900	0204-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
2	0	0303-1900	0303-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
3	0	0407-1900	0407-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
4	0	0505-1900	0505-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
5	0	0602-1900	0602-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
6	0	0707-1900	0707-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
7	0	0804-1900	0804-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
8	0	0901-1900	0901-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
9	0	1006-1900	1006-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
10	0	1103-1900	1103-2300	0	0	横扫牡丹碗	洛阳童贯、大理夏青青、苏州于倩倩		Huodong_6	    所有#G等级≥30级#W、#G心法等级都≥30级#W的玩家只要组成#G3人以上#W的队伍就可前往#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W处参与#Y蹴鞠大赛#W活动，最终挑战蹴鞠十三妹#Y孙美美#W。击败#Y孙美美#W后可获得#Y活跃值#W。	1	去#G洛阳#R童贯#{_INFOAIM204,57,0,童贯}#W、#G大理#R夏青青#{_INFOAIM282,95,2,夏青青}#W、#G苏州#R于倩倩#{_INFOAIM187,148,1,于倩倩}#W参与蹴鞠	30
