INT	INT	INT	STRING	STRING
INT	INT	INT	STRING	STRING
1	0	1	Thiên Long 666Tài Phú Ca	17173Tài Phú Ca
2	0	2	Thiên Long 666Tài Phú Ca	Ða NgoÕn Tài Phú Ca
3	0	3	Thiên Long 666Tài Phú Ca	Rång nanh Tài Phú Ca
4	0	4	Thiên Long 666Tài Phú Ca	Nghi®p ðoàn Tài Phú Ca
5	0	5	Thiên Long 666Tài Phú Ca	WeGameTài Phú Ca
6	1	0	17173Tài Phú Ca	Thiên Long 666Tài Phú Ca
7	1	2	17173Tài Phú Ca	Ða NgoÕn Tài Phú Ca
8	1	3	17173Tài Phú Ca	Rång nanh Tài Phú Ca
9	1	4	17173Tài Phú Ca	Nghi®p ðoàn Tài Phú Ca
10	1	5	17173Tài Phú Ca	WeGameTài Phú Ca
11	2	0	Ða NgoÕn Tài Phú Ca	Thiên Long 666Tài Phú Ca
12	2	1	Ða NgoÕn Tài Phú Ca	17173Tài Phú Ca
13	2	3	Ða NgoÕn Tài Phú Ca	Rång nanh Tài Phú Ca
14	2	4	Ða NgoÕn Tài Phú Ca	Nghi®p ðoàn Tài Phú Ca
15	2	5	Ða NgoÕn Tài Phú Ca	WeGameTài Phú Ca
16	3	0	Rång nanh Tài Phú Ca	Thiên Long 666Tài Phú Ca
17	3	1	Rång nanh Tài Phú Ca	17173Tài Phú Ca
18	3	2	Rång nanh Tài Phú Ca	Ða NgoÕn Tài Phú Ca
19	3	4	Rång nanh Tài Phú Ca	Nghi®p ðoàn Tài Phú Ca
20	3	5	Rång nanh Tài Phú Ca	WeGameTài Phú Ca
21	4	0	Nghi®p ðoàn Tài Phú Ca	Thiên Long 666Tài Phú Ca
22	4	1	Nghi®p ðoàn Tài Phú Ca	17173Tài Phú Ca
23	4	2	Nghi®p ðoàn Tài Phú Ca	Ða NgoÕn Tài Phú Ca
24	4	3	Nghi®p ðoàn Tài Phú Ca	Rång nanh Tài Phú Ca
25	4	5	Nghi®p ðoàn Tài Phú Ca	WeGameTài Phú Ca
26	5	0	WeGameTài Phú Ca	Thiên Long 666Tài Phú Ca
27	5	1	WeGameTài Phú Ca	17173Tài Phú Ca
28	5	2	WeGameTài Phú Ca	Ða NgoÕn Tài Phú Ca
29	5	3	WeGameTài Phú Ca	Rång nanh Tài Phú Ca
30	5	4	WeGameTài Phú Ca	Nghi®p ðoàn Tài Phú Ca
