INT	INT	INT	INT	STRING	STRING
INT	INT	INT	INT	STRING	STRING
0	0	0	0		
1	4	5	-1	Hæu vû khí Bäng xác ð¸nh ð¸a ði¬m	
2	8	9	18	Hæu vû khí Bäng xác ð¸nh ð¸a ði¬m	
3	6	7	-1	Ðïnh ð¥u trÕng thái Ði¬m	
4	10	11	-1	Hæu vû khí Bäng xác ð¸nh ð¸a ði¬m	
5	3	0	-1	Thân th¬ Thø Kích Ði¬m	
6	13	14	-1	Dß¾i chân l² ¯ng kính Ði¬m	
7	15	16	-1	Dß¾i chân l² ¯ng kính Ði¬m	
8	23	24	-1	Hæu vû khí Bäng xác ð¸nh ð¸a ði¬m	
9	21	22	13	Dß¾i chân l² ¯ng kính Ði¬m	
10	27	0	-1	Dß¾i chân l² ¯ng kính Ði¬m	
11	25	26	-1	Dß¾i chân l² ¯ng kính Ði¬m	
12	28	0	-1	Thân th¬ Thø Kích Ði¬m	
13	17	18	14	Dß¾i chân l² ¯ng kính Ði¬m	
14	19	0	15	Dß¾i chân l² ¯ng kính Ði¬m	
15	29	30	16	Dß¾i chân l² ¯ng kính Ði¬m	
16	31	0	-1	Hæu vû khí Bäng xác ð¸nh ð¸a ði¬m	
17	34	35	-1	Hæu vû khí Bäng xác ð¸nh ð¸a ði¬m	
18	32	33	17	Hæu vû khí Bäng xác ð¸nh ð¸a ði¬m	
19	36	37	-1		
20	3	0	-1		
21	39	0	-1		
22	38	0	-1		
23	40	0	-1		
24	15	0	-1		
25	41	0	13		
26	42	0	-1		
