INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT
ID	RaceID	ModelFile	ShowName$1$	MaterialName	ÏûºÄÎïÆ·ID	ÏûºÄÎïÆ·ÊýÁ¿	ÊÇ·ñÔÚ³õÊ¼Ê±¿ÉÑ¡(0±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼²»¿ÉÑ¡£¬1±íÊ¾Ö»ÓÐ³õÊ¼Ê±¿ÉÑ¡£¬2±íÊ¾Ö»ÓÐÔÚÓÎÏ·ÖÐ¿ÉÑ¡£¬3±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼¿ÉÑ¡)	Í·ÏñµÄÍ¼±ê	ÏûºÄ½ðÇ®	¶ÔÓ¦ÒìÐÔID
1	0	Å®Ö÷½ÇÁ³01.mesh	Xinh ð©p	Å®Ö÷½ÇÁ³01	30008020	1	3	Cloth8_8	50000	100
2	0	Å®Ö÷½ÇÁ³02.mesh	Trí tu®	Å®Ö÷½ÇÁ³02	30008020	1	3	Cloth8_8	50000	101
3	0	Å®Ö÷½ÇÁ³03.mesh	Sáng süa	Å®Ö÷½ÇÁ³03	30008020	1	3	Cloth8_8	50000	102
4	0	Å®Ö÷½ÇÁ³04.mesh	Cao quý	Å®Ö÷½ÇÁ³04	30008020	1	3	Cloth8_8	50000	103
5	0	Å®Ö÷½ÇÁ³05.mesh	Thøc næ	Å®Ö÷½ÇÁ³05	30008020	1	3	Cloth8_8	50000	104
6	0	Å®Ö÷½ÇÁ³06.mesh	M¸ ho£c	Å®Ö÷½ÇÁ³06	30008035	1	2	Cloth8_8	50000	105
7	0	Å®Ö÷½ÇÁ³07.mesh	Vë m£t	Å®Ö÷½ÇÁ³07	30008036	1	2	Cloth8_8	50000	106
8	0	Å®Ö÷½ÇÁ³08.mesh	Tang thß½ng	Å®Ö÷½ÇÁ³08	30008040	1	2	Cloth8_8	50000	107
9	0	Å®Ö÷½ÇÁ³09.mesh	Mông lung	Å®Ö÷½ÇÁ³09	30008041	1	2	Cloth8_8	50000	108
10	0	Å®Ö÷½ÇÁ³10.mesh	Cu°ng dã	Å®Ö÷½ÇÁ³10	30008042	1	2	Cloth8_8	50000	109
11	0	Å®Ö÷½ÇÁ³11.mesh	Th¸ NgÕo	Å®Ö÷½ÇÁ³11	30008043	1	2	Cloth8_8	50000	110
12	0	Å®Ö÷½ÇÁ³16.mesh	Thâm thúy	Å®Ö÷½ÇÁ³16	30008068	1	2	Cloth8_8	50000	111
13	0	Å®Ö÷½ÇÁ³12.mesh	Linh Mi	Å®Ö÷½ÇÁ³12	30008095	1	2	Cloth8_8	50000	112
14	0	Å®Ö÷½ÇÁ³20.mesh	Thanh nhã	Å®Ö÷½ÇÁ³20	30008104	1	2	Cloth8_8	50000	113
15	0	Å®Ö÷½ÇÁ³100.mesh	Thi«u Dung	Å®Ö÷½ÇÁ³100	30008164	1	2	Cloth8_8	50000	114
16	0	Å®Ö÷½ÇÁ³ÐÍ´º¼¾×°.mesh	LÕc Anh	Å®Ö÷½ÇÁ³ÐÍ´º¼¾×°	30008180	1	2	Cloth8_8	50000	115
17	0	Å®Ö÷½ÇÁ³ÐÍÌìÏÂ»áÎäÊ±×°.mesh	Y Th¥n	Å®Ö÷½ÇÁ³ÐÍÌìÏÂ»áÎäÊ±×°	30008181	1	2	Cloth8_8	50000	116
18	0	Å®Ö÷½ÇÁ³ÐÍÇØ³¯¿ø¼×Ê±×°.mesh	T¥n Phong	Å®Ö÷½ÇÁ³ÐÍÇØ³¯¿ø¼×Ê±×°	30008182	1	2	Cloth8_8	50000	117
19	0	Å®Ö÷½ÇÁ³ÐÍ°×ËØÕêÊ±×°.mesh	Lßu luyªn	Å®Ö÷½ÇÁ³ÐÍ°×ËØÕêÊ±×°	30008183	1	2	Cloth8_8	50000	118
20	0	Å®Ö÷½ÇÁ³ÐÍÖÜÄêÇìÊ±×°.mesh	Träm Phong	Å®Ö÷½ÇÁ³ÐÍÖÜÄêÇìÊ±×°	30008184	1	2	Cloth8_8	50000	119
22	0	Å®Ö÷½ÇÁ³ÐÍ»Æº×Â¥Ê±×°.mesh	Phong th¥n	Å®Ö÷½ÇÁ³ÐÍ»Æº×Â¥Ê±×°	30008186	1	2	Cloth8_8	50000	121
23	0	Å®Ö÷½ÇÁ³ÐÍÊ¥µ®Ê±×°.mesh	Hân hoan	Å®Ö÷½ÇÁ³ÐÍÊ¥µ®Ê±×°	30008187	1	2	Cloth8_8	50000	122
24	0	Å®Ö÷½ÇÁ³ÐÍÐÂÇå·çâù½­.mesh	Màu lÕnh	Å®Ö÷½ÇÁ³ÐÍÐÂÇå·çâù½­	30008190	1	2	Cloth8_8	50000	123
25	0	Å®Ö÷½ÇÁ³ÐÍ´º½ÚÊ±×°.mesh	Hiªn Phß½ng	Å®Ö÷½ÇÁ³ÐÍ´º½ÚÊ±×°	30008191	1	2	Cloth8_8	50000	124
26	0	Å®Ö÷½ÇÁ³ÐÍÇéÈË½ÚÐÇ¿ÕÊ±×°.mesh	Giäo Nguy®t	Å®Ö÷½ÇÁ³ÐÍÇéÈË½ÚÐÇ¿ÕÊ±×°	30008192	1	2	Cloth8_8	50000	125
27	0	Å®Ö÷½ÇÁ³ÐÍ¿×È¸Ê±×°.mesh	V¤n Thi«n	Å®Ö÷½ÇÁ³ÐÍ¿×È¸Ê±×°	30008193	1	2	Cloth8_8	50000	126
28	0	Å®Ö÷½ÇÁ³ÐÍÑãÃÅ¹ØÊ±×°.mesh	B¤t khu¤t	Å®Ö÷½ÇÁ³ÐÍÑãÃÅ¹ØÊ±×°	30008194	1	2	Cloth8_8	50000	127
29	0	Å®Ö÷½ÇÁ³ÐÍÖ¯Å®Ê±×°.mesh	Ngßng m¡t	Å®Ö÷½ÇÁ³ÐÍÖ¯Å®Ê±×°	30008195	1	2	Cloth8_8	50000	128
30	0	Å®Ö÷½ÇÁ³ÐÍÀðÓãÌ××°.mesh	Phi Thành	Å®Ö÷½ÇÁ³ÐÍÀðÓãÌ××°	30008197	1	2	Cloth8_8	50000	129
31	0	Å®Ö÷½ÇÁ³ÐÍÐÇ¿ÕÕ½¼×Éý¼¶.mesh	Ngân hà	Å®Ö÷½ÇÁ³ÐÍÐÇ¿ÕÕ½¼×Éý¼¶	30008198	1	2	Cloth8_8	50000	130
32	0	Å®Ö÷½ÇÁ³ÐÍ¼ÎÄê»ªÊ±×°.mesh	Thu thüy	Å®Ö÷½ÇÁ³ÐÍ¼ÎÄê»ªÊ±×°	30008199	1	2	Cloth8_8	50000	131
