INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT
ID	RaceID	ModelFile	·¢ÊÎMesh	ShowName$1$	MaterialName	·¢ÊÎ²ÄÖÊ	ÏûºÄÎïÆ·ID	ÏûºÄÎïÆ·ÊıÁ¿	ÊÇ·ñÔÚ³õÊ¼Ê±¿ÉÑ¡(0±íÊ¾ÓÎÏ·ÖĞ£¬³õÊ¼Ê±¶¼²»¿ÉÑ¡£¬1±íÊ¾Ö»ÓĞ³õÊ¼Ê±¿ÉÑ¡£¬2±íÊ¾Ö»ÓĞÔÚÓÎÏ·ÖĞ¿ÉÑ¡£¬3±íÊ¾ÓÎÏ·ÖĞ£¬³õÊ¼Ê±¶¼¿ÉÑ¡)	Í·ÏñµÄÍ¼±ê	ÏûºÄ½ğÇ®	ÒìĞÔID
0	0	Å®Ö÷½ÇÍ··¢01.mesh		Lßu Vân Phát	Å®Ö÷½ÇÍ··¢01		20307101	1	2	PeiFang_5	50000	5
1	0	Å®Ö÷½ÇÍ··¢02.mesh		Du Tiên Phát	Å®Ö÷½ÇÍ··¢02		20307102	1	3	PeiFang_5	50000	6
2	0	Å®Ö÷½ÇÍ··¢03.mesh		Lßu Tß Phát	Å®Ö÷½ÇÍ··¢03		20307103	1	2	PeiFang_5	50000	7
3	0	Å®Ö÷½ÇÍ··¢04.mesh		Cänh Dao Phát	Å®Ö÷½ÇÍ··¢04		20307104	1	2	PeiFang_5	50000	8
4	0	Å®Ö÷½ÇÍ··¢05.mesh		Ği®p Vû Phát	Å®Ö÷½ÇÍ··¢05		20307105	1	2	PeiFang_5	50000	9
5	1	ÄĞÖ÷½ÇÍ··¢01.mesh		Lßu Vân Phát	ÄĞÖ÷½ÇÍ··¢01		20307101	1	3	PeiFang_5	50000	0
6	1	ÄĞÖ÷½ÇÍ··¢02.mesh		Du Tiên Phát	ÄĞÖ÷½ÇÍ··¢02		20307102	1	2	PeiFang_5	50000	1
7	1	ÄĞÖ÷½ÇÍ··¢03.mesh		Lßu Tß Phát	ÄĞÖ÷½ÇÍ··¢03		20307103	1	2	PeiFang_5	50000	2
8	1	ÄĞÖ÷½ÇÍ··¢04.mesh		Cänh Dao Phát	ÄĞÖ÷½ÇÍ··¢04		20307104	1	2	PeiFang_5	50000	3
9	1	ÄĞÖ÷½ÇÍ··¢05.mesh		Ği®p Vû Phát	ÄĞÖ÷½ÇÍ··¢05		20307105	1	2	PeiFang_5	50000	4
10	1	ÄĞÖ÷½ÇÍ··¢06.mesh		Trß¶ng ºc Phát	ÄĞÖ÷½ÇÍ··¢06		20307106	1	2	PeiFang_5	50000	15
11	1	ÄĞÖ÷½ÇÍ··¢07.mesh		Hoàn Häi Phát	ÄĞÖ÷½ÇÍ··¢07		20307107	1	2	PeiFang_5	50000	16
12	1	ÄĞÖ÷½ÇÍ··¢08.mesh		M¤n tóc bÕc	ÄĞÖ÷½ÇÍ··¢08		20307108	1	3	PeiFang_5	50000	17
13	1	ÄĞÖ÷½ÇÍ··¢09.mesh		LÕc Huy«n Phát	ÄĞÖ÷½ÇÍ··¢09		20307109	1	2	PeiFang_5	50000	18
14	1	ÄĞÖ÷½ÇÍ··¢14.mesh		Bäo C¦m Phát	ÄĞÖ÷½ÇÍ··¢14		20307110	1	3	PeiFang_5	50000	19
15	0	Å®Ö÷½ÇÍ··¢06.mesh		Trß¶ng ºc Phát	Å®Ö÷½ÇÍ··¢06		20307106	1	2	PeiFang_5	50000	10
16	0	Å®Ö÷½ÇÍ··¢07.mesh		Hoàn Häi Phát	Å®Ö÷½ÇÍ··¢07		20307107	1	2	PeiFang_5	50000	11
17	0	Å®Ö÷½ÇÍ··¢08.mesh		M¤n tóc bÕc	Å®Ö÷½ÇÍ··¢08		20307108	1	3	PeiFang_5	50000	12
18	0	Å®Ö÷½ÇÍ··¢09.mesh		LÕc Huy«n Phát	Å®Ö÷½ÇÍ··¢09		20307109	1	2	PeiFang_5	50000	13
19	0	Å®Ö÷½ÇÍ··¢17.mesh		Bäo C¦m Phát	Å®Ö÷½ÇÍ··¢17		20307110	1	3	PeiFang_5	50000	14
20	0	Å®Ö÷½ÇÍ··¢10.mesh		Di®u ph¤n ch¤n	Å®Ö÷½ÇÍ··¢10		20307111	1	2	PeiFang_5	50000	30
21	0	W_hair_2025»³¾ÉÖÜÄêÇì01.mesh	W_hair01_2025»³¾ÉÖÜÄêÇì01.mesh	Ğ°ng Huy·Vãn Vân	W_hair_2025»³¾ÉÖÜÄêÇì01	W_hair01_2025»³¾ÉÖÜÄêÇì01	20307287	1	2	PeiFang_5	50000	263
22	0	Å®Ö÷½ÇÍ··¢12.mesh		Thiên Kª Phát	Å®Ö÷½ÇÍ··¢12		20307113	1	2	PeiFang_5	50000	32
