INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING	INT
ID	RaceID	ShowName$1$	????ID	??????	????????(0?????,???????,1?????????,2??????????,3?????,??????)	?????	????	GroupID	TitleInfo$1$	????ID
1	0	Ði®p Mµng	30008039	1	3	GirlProtagonist_1	50000	1	Ði®p Mµng	13
2	0	Nhßþc ThuÖ	30008039	1	3	GirlProtagonist_2	50000	2	Nhßþc ThuÖ	14
3	0	Vân Mi­u	30008039	1	3	GirlProtagonist_3	50000	3	Vân Mi­u	15
4	0	Mê ho£c	30008039	1	3	GirlProtagonist_4	50000	4	Mê ho£c	16
5	0	U Ðàm	30008039	1	3	GirlProtagonist_5	50000	5	U Ðàm	17
6	0	Ngßng Quang	30008039	1	3	GirlProtagonist_6	50000	6	Ngßng Quang	18
7	0	Lan Chï	30008039	1	3	GirlProtagonist_7	50000	7	Lan Chï	19
8	0	H°ng Liên	30008039	1	3	GirlProtagonist_8	50000	8	H°ng Liên	20
9	0	Lßu Ly	30008039	1	3	GirlProtagonist_9	50000	9	Lßu Ly	21
10	0	Dß½ng Vû	30008039	1	3	GirlProtagonist_10	50000	10	Dß½ng Vû	22
11	0	Tiên Linh	30008039	1	3	GirlProtagonist_11	50000	11	Tiên Linh	23
12	0	C¦m S¡t	30008039	1	3	GirlProtagonist_12	50000	12	C¦m S¡t	24
13	1	Vân Hoang	30008039	1	3	ManProtagonist_1	50000	13	Vân Hoang	1
14	1	Thanh Phong	30008039	1	3	ManProtagonist_2	50000	14	Thanh Phong	2
15	1	CØu Tiêu	30008039	1	3	ManProtagonist_3	50000	15	CØu Tiêu	3
16	1	Lßu Änh	30008039	1	3	ManProtagonist_4	50000	16	Lßu Änh	4
17	1	Tinh H°n	30008039	1	3	ManProtagonist_5	50000	17	Tinh H°n	5
18	1	Thanh Sß½ng	30008039	1	3	ManProtagonist_6	50000	18	Thanh Sß½ng	6
19	1	Phong nhã	30008039	1	3	ManProtagonist_7	50000	19	Phong nhã	7
20	1	Sóc Phong	30008039	1	3	ManProtagonist_8	50000	20	Sóc Phong	8
21	1	LßÞi mác	30008039	1	3	ManProtagonist_9	50000	21	LßÞi mác	9
22	1	TØ Khâm	30008039	1	3	ManProtagonist_10	50000	22	TØ Khâm	10
23	1	Quy Tà	30008039	1	3	ManProtagonist_11	50000	23	Quy Tà	11
24	1	Li®t Dß½ng	30008039	1	3	ManProtagonist_12	50000	24	Li®t Dß½ng	12
25	0	Tâm Liên	30008039	1	2	GirlProtagonist_13	50000	25	Tâm Liên	29
26	0	Huy«n Nguy®t	30008039	1	2	GirlProtagonist_14	50000	26	Huy«n Nguy®t	30
27	0	Vong ¿u	30008039	1	2	GirlProtagonist_15	50000	27	Vong ¿u	31
28	0	Tuyªt HuÏnh	30008039	1	2	GirlProtagonist_16	50000	28	Tuyªt HuÏnh	32
29	1	HÕo Thiên	30008039	1	2	ManProtagonist_13	50000	29	HÕo Thiên	25
30	1	HÕc Mµng	30008039	1	2	ManProtagonist_14	50000	30	HÕc Mµng	26
31	1	Hành Ca	30008039	1	2	ManProtagonist_15	50000	31	Hành Ca	27
32	1	Thß½ng Lãng	30008039	1	2	ManProtagonist_16	50000	32	Thß½ng Lãng	28
33	0	Nhß Ng÷c	30008039	1	2	GirlProtagonist_17	50000	33	Nhß Ng÷c	37
34	0	Tr¥m Phï	30008039	1	2	GirlProtagonist_18	50000	34	Tr¥m Phï	38
35	0	Vân Änh	30008039	1	2	GirlProtagonist_19	50000	35	Vân Änh	39
36	0	LÕc Du	30008039	1	2	GirlProtagonist_20	50000	36	LÕc Du	40
37	1	Hàn Ðß¶ng	30008039	1	2	ManProtagonist_17	50000	37	Hàn Ðß¶ng	33
38	1	MÕc Ngôn	30008039	1	2	ManProtagonist_18	50000	38	MÕc Ngôn	34
39	1	Thß½ng DÕ	30008039	1	2	ManProtagonist_19	50000	39	Thß½ng DÕ	35
40	1	Truy Vân	30008039	1	2	ManProtagonist_20	50000	40	Truy Vân	36
41	0	Ngßng Lam	30008039	1	2	GirlProtagonist_21	50000	41	Ngßng Lam	43
42	0	Nhßþc ¿u	30008039	1	2	GirlProtagonist_22	50000	42	Nhßþc ¿u	44
43	1	M£c Hàn	30008039	1	2	ManProtagonist_21	50000	43	M£c Hàn	41
44	1	Cây cäi cü	30008039	1	2	ManProtagonist_22	50000	44	Cây cäi cü	42
