INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT
INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT
0	男主角.obj	1	2	1	0.15	182	183	184	530
1	女主角.obj	1	2	1	0.15	185	186	187	263
2	巴天石.obj	1	2	1	0.15	182	183	184	373
3	白堤柳鬼.obj	1	2	1	0.15	182	183	184	577
5	毕昇.obj	1	2	1	0.15	182	183	184	453
7	蔡京.obj	1	2	1	0.15	182	183	184	691
8	残破兵俑.obj	1	2	1	0.15	182	183	184	444
9	单正.obj	1	2	1	0.15	182	183	184	179
10	稻草人.obj	1	2	1	0.15	182	183	184	620
11	丁春秋.obj	1	2	1	0.15	182	183	184	109
12	段誉.obj	1	2	1	0.15	182	183	184	448
13	断桥花妖.obj	1	2	1	0.15	182	183	184	399
15	方百花.obj	1	2	1	0.15	182	183	184	404
16	鬼面人.obj	1	2	1	0.15	182	183	184	875
17	韩印雪.obj	1	2	1	0.15	182	183	184	828
19	黑蜂.obj	1	2	1	0.15	182	183	184	911
20	金左焕.obj	1	2	1	0.15	182	183	184	794
21	酒徒.obj	1	2	1	0.15	182	183	184	786
22	郎中.obj	1	2	1	0.15	182	183	184	779
25	李师师.obj	1	2	1	0.15	182	183	184	419
26	李十二娘.obj	1	2	1	0.15	182	183	184	418
27	辽兵.obj	1	2	1	0.15	182	183	184	388
32	米芾.obj	1	2	1	0.15	182	183	184	625
33	白苗卫兵.obj	1	2	1	0.15	182	183	184	388
34	木人.obj	1	2	1	0.15	182	183	184	412
35	欧阳修.obj	1	2	1	0.15	182	183	184	440
37	秦红棉.obj	1	2	1	0.15	182	183	184	616
38	秦家寨探子.obj	1	2	1	0.15	182	183	184	612
39	山鬼.obj	1	2	1	0.15	182	183	184	369
40	山蛛.obj	1	2	1	0.15	182	183	184	362
42	石人.obj	1	2	1	0.15	182	183	184	605
44	书生.obj	1	2	1	0.15	182	183	184	133
45	蜀道黑猿.obj	1	2	1	0.15	182	183	184	703
50	宋兵.obj	1	2	1	0.15	182	183	184	318
51	宋将士.obj	1	2	1	0.15	182	183	184	322
52	苏辙.obj	1	2	1	0.15	182	183	184	668
53	藤甲贼.obj	1	2	1	0.15	182	183	184	698
54	藤员佐为.obj	1	2	1	0.15	182	183	184	696
56	吴长风.obj	1	2	1	0.15	182	183	184	214
57	萧峰.obj	1	2	1	0.15	182	183	184	678
58	萧奉先.obj	1	2	1	0.15	182	183	184	677
59	萧远山.obj	1	2	1	0.15	182	183	184	679
60	邪剑仙.obj	1	2	1	0.15	182	183	184	778
61	熊.obj	1	2	1	0.15	182	183	184	486
63	薛慕华.obj	1	2	1	0.15	182	183	184	692
64	雪人.obj	1	2	1	0.15	182	183	184	816
65	丫鬟.obj	1	2	1	0.15	182	183	184	116
67	杨文广.obj	1	2	1	0.15	182	183	184	423
68	药篓.obj	1	2	1	0.15	182	183	184	674
70	叶二娘.obj	1	2	1	0.15	182	183	184	209
71	银川公主.obj	1	2	1	0.15	182	183	184	803
72	游坦之.obj	1	2	1	0.15	182	183	184	474
73	云中鹤.obj	1	2	1	0.15	182	183	184	134
74	摘星子.obj	1	2	1	0.15	182	183	184	398
75	张耒.obj	1	2	1	0.15	182	183	184	379
76	张玄素.obj	1	2	1	0.15	182	183	184	378
78	宗赞王子.obj	1	2	1	0.15	182	183	184	329
79	商人.obj	1	2	1	0.15	182	183	184	218
80	老道士.obj	1	2	1	0.15	182	183	184	654
82	刀白凤.obj	1	2	1	0.15	182	183	184	169
83	完颜阿骨达.obj	1	2	1	0.15	182	183	184	328
84	康广陵.obj	1	2	1	0.15	182	183	184	376
85	小男孩.obj	1	2	1	0.15	182	183	184	347
86	天山中年女弟子.obj	1	2	1	0.15	182	183	184	249
87	高俅.obj	1	2	1	0.15	182	183	184	872
88	林和靖.obj	1	2	1	0.15	182	183	184	427
89	小道士.obj	1	2	1	0.15	182	183	184	355
90	程景.obj	1	2	1	0.15	182	183	184	618
91	客栈老板.obj	1	2	1	0.15	182	183	184	339
93	沈括.obj	1	2	1	0.15	182	183	184	460
94	佛印.obj	1	2	1	0.15	182	183	184	145
95	阿紫.obj	1	2	1	0.15	182	183	184	814
96	康敏.obj	1	2	1	0.15	182	183	184	377
97	钟万仇.obj	1	2	1	0.15	182	183	184	797
98	本因.obj	1	2	1	0.15	182	183	184	415
99	奚长老.obj	1	2	1	0.15	182	183	184	262
100	苏星河.obj	1	2	1	0.15	182	183	184	666
101	鸠摩智.obj	1	2	1	0.15	182	183	184	883
102	胖妇.obj	1	2	1	0.15	182	183	184	660
104	黄裳.obj	1	2	1	0.15	182	183	184	894
105	铁匠.obj	1	2	1	0.15	182	183	184	800
106	裁缝.obj	1	2	1	0.15	182	183	184	705
107	奸商.obj	1	2	1	0.15	182	183	184	388
108	酒店老板.obj	1	2	1	0.15	182	183	184	782
109	钱庄老板.obj	1	2	1	0.15	182	183	184	799
110	玄慈.obj	1	2	1	0.15	182	183	184	506
111	慧伦.obj	1	2	1	0.15	182	183	184	387
112	小和尚.obj	1	2	1	0.15	182	183	184	343
113	镖头.obj	1	2	1	0.15	182	183	184	388
114	捕快.obj	1	2	1	0.15	182	183	184	395
115	少妇.obj	1	2	1	0.15	182	183	184	356
116	王安石.obj	1	2	1	0.15	182	183	184	508
117	苏轼.obj	1	2	1	0.15	182	183	184	667
118	慕容复.obj	1	2	1	0.15	182	183	184	386
119	风波恶.obj	1	2	1	0.15	182	183	184	830
120	阿碧.obj	1	2	1	0.15	182	183	184	813
121	阿珠.obj	1	2	1	0.15	182	183	184	812
122	仇道士.obj	1	2	1	0.15	182	183	184	139
123	段延庆.obj	1	2	1	0.15	182	183	184	445
124	段正淳.obj	1	2	1	0.15	182	183	184	447
125	段正明.obj	1	2	1	0.15	182	183	184	446
126	方腊.obj	1	2	1	0.15	182	183	184	405
127	方七佛.obj	1	2	1	0.15	182	183	184	402
128	方七佛.obj	1	2	1	0.15	182	183	184	402
129	玛拉.obj	1	2	1	0.15	182	183	184	511
130	冯阿三.obj	1	2	1	0.15	182	183	184	154
131	韩世忠.obj	1	2	1	0.15	182	183	184	827
134	红玉.obj	1	2	1	0.15	182	183	184	635
135	天山女弟子.obj	1	2	1	0.15	182	183	184	250
136	朱丹臣.obj	1	2	1	0.15	182	183	184	416
141	城市飞人.obj	1	2	1	0.15	182	183	184	239
142	鸽子01.obj	1	2	1	0.15	182	183	184	886
143	鸽子02.obj	1	2	1	0.15	182	183	184	887
144	鸽子03.obj	1	2	1	0.15	182	183	184	888
145	怪兽.obj	1	2	1	0.15	182	183	184	382
151	狗.obj	1	2	1	0.15	182	183	184	489
152	羊.obj	1	2	1	0.15	182	183	184	648
153	高山白猿.obj	1	2	1	0.15	182	183	184	873
154	黑衣马匪.obj	1	2	1	0.15	182	183	184	912
155	东北虎.obj	1	2	1	0.15	182	183	184	114
157	巴伦莽盖.obj	1	2	1	0.15	182	183	184	372
158	棕熊.obj	1	2	1	0.15	182	183	184	435
159	红枫蜘蛛.obj	1	2	1	0.15	182	183	184	633
160	轻甲莽盖.obj	1	2	1	0.15	182	183	184	756
161	重甲莽盖.obj	1	2	1	0.15	182	183	184	788
162	沼泽鳄鱼.obj	1	2	1	0.15	182	183	184	463
163	金钱豹.obj	1	2	1	0.15	182	183	184	796
164	雪山莽盖.obj	1	2	1	0.15	182	183	184	818
165	大黄蜂.obj	1	2	1	0.15	182	183	184	246
166	蒙古黑蜂.obj	1	2	1	0.15	182	183	184	686
167	丛林蜂.obj	1	2	1	0.15	182	183	184	112
168	白狼王.obj	1	2	1	0.15	182	183	184	585
169	草原狼.obj	1	2	1	0.15	182	183	184	671
170	西北狼.obj	1	2	1	0.15	182	183	184	709
171	红衣马匪.obj	1	2	1	0.15	182	183	184	640
172	马匪探子.obj	1	2	1	0.15	182	183	184	833
173	闪电马匪.obj	1	2	1	0.15	182	183	184	809
174	追风马匪.obj	1	2	1	0.15	182	183	184	773
175	秦家寨兵.obj	1	2	1	0.15	182	183	184	612
176	秦家寨教头.obj	1	2	1	0.15	182	183	184	612
177	秦家寨喽啰.obj	1	2	1	0.15	182	183	184	612
178	弯刀马匪.obj	1	2	1	0.15	182	183	184	380
179	秦观.obj	1	2	1	0.15	182	183	184	617
180	全冠清.obj	1	2	1	0.15	182	183	184	150
200	赫连铁树.obj	1	2	1	0.15	182	183	184	740
201	宋大官员1.obj	1	2	1	0.15	182	183	184	319
202	宋大官员2.obj	1	2	1	0.15	182	183	184	320
203	宋大官员3.obj	1	2	1	0.15	182	183	184	321
204	宋将士1.obj	1	2	1	0.15	182	183	184	388
205	宋将士2.obj	1	2	1	0.15	182	183	184	388
206	宋将士3.obj	1	2	1	0.15	182	183	184	388
207	宋将士4.obj	1	2	1	0.15	182	183	184	388
208	捕快B.obj	1	2	1	0.15	182	183	184	396
209	白苗贵族女.obj	1	2	1	0.15	182	183	184	595
210	黑苗卫兵.obj	1	2	1	0.15	182	183	184	388
211	苏辙A.obj	1	2	1	0.15	182	183	184	669
212	苏辙B.obj	1	2	1	0.15	182	183	184	670
213	峨嵋中年女侠.obj	1	2	1	0.15	182	183	184	370
214	小茗.obj	1	2	1	0.15	182	183	184	350
215	小诗.obj	1	2	1	0.15	182	183	184	351
216	峨嵋男弟子.obj	1	2	1	0.15	182	183	184	371
217	孟青青.obj	1	2	1	0.15	182	183	184	314
218	符敏仪.obj	1	2	1	0.15	182	183	184	624
219	菊剑.obj	1	2	1	0.15	182	183	184	676
220	兰剑.obj	1	2	1	0.15	182	183	184	151
221	梅剑.obj	1	2	1	0.15	182	183	184	431
222	竹剑.obj	1	2	1	0.15	182	183	184	623
223	余婆.obj	1	2	1	0.15	182	183	184	143
224	天山男弟子.obj	1	2	1	0.15	182	183	184	251
225	天山童姥.obj	1	2	1	0.15	182	183	184	252
226	虚竹.obj	1	2	1	0.15	182	183	184	700
227	蒙古牧民1.obj	1	2	1	0.15	182	183	184	682
228	蒙古牧民2.obj	1	2	1	0.15	182	183	184	683
229	蒙古男1.obj	1	2	1	0.15	182	183	184	388
230	蒙古男2.obj	1	2	1	0.15	182	183	184	388
231	西夏步兵.obj	1	2	1	0.15	182	183	184	388
232	西夏将军1.obj	1	2	1	0.15	182	183	184	388
233	西夏将军2.obj	1	2	1	0.15	182	183	184	388
234	小男孩.obj	1	2	1	0.15	182	183	184	347
235	小男孩2.obj	1	2	1	0.15	182	183	184	348
236	小男孩3.obj	1	2	1	0.15	182	183	184	349
237	小女孩.obj	1	2	1	0.15	182	183	184	344
238	小女孩2.obj	1	2	1	0.15	182	183	184	345
239	小女孩3.obj	1	2	1	0.15	182	183	184	346
240	杨文广A.obj	1	2	1	0.15	182	183	184	424
241	杨文广B.obj	1	2	1	0.15	182	183	184	425
242	杨文广C.obj	1	2	1	0.15	182	183	184	426
244	阿拉伯人B.obj	1	2	1	0.15	182	183	184	810
245	阿拉伯人C.obj	1	2	1	0.15	182	183	184	811
246	白苗族小男孩.obj	1	2	1	0.15	182	183	184	594
247	北方贵族.obj	1	2	1	0.15	182	183	184	176
248	北方老年男性.obj	1	2	1	0.15	182	183	184	175
249	北方猎户.obj	1	2	1	0.15	182	183	184	173
250	北方青年女性.obj	1	2	1	0.15	182	183	184	177
251	唱戏的.obj	1	2	1	0.15	182	183	184	217
252	大理士兵.obj	1	2	1	0.15	182	183	184	242
253	德国人.obj	1	2	1	0.15	182	183	184	381
254	犯人.obj	1	2	1	0.15	182	183	184	488
255	富书生A.obj	1	2	1	0.15	182	183	184	340
256	富书生B.obj	1	2	1	0.15	182	183	184	341
257	黑苗贵族女.obj	1	2	1	0.15	182	183	184	910
258	黑苗男.obj	1	2	1	0.15	182	183	184	909
259	黑苗女.obj	1	2	1	0.15	182	183	184	907
260	黑苗族小男孩.obj	1	2	1	0.15	182	183	184	908
261	轿夫.obj	1	2	1	0.15	182	183	184	757
262	酒店老板1.obj	1	2	1	0.15	182	183	184	783
263	酒店老板2.obj	1	2	1	0.15	182	183	184	784
264	酒店老板3.obj	1	2	1	0.15	182	183	184	785
265	郎中1.obj	1	2	1	0.15	182	183	184	780
266	郎中2.obj	1	2	1	0.15	182	183	184	781
267	老道士1.obj	1	2	1	0.15	182	183	184	655
268	老年员外.obj	1	2	1	0.15	182	183	184	652
269	辽国老年武官2.obj	1	2	1	0.15	182	183	184	766
270	辽国老年武官.obj	1	2	1	0.15	182	183	184	765
271	辽国骑兵1.obj	1	2	1	0.15	182	183	184	767
272	辽国骑兵2.obj	1	2	1	0.15	182	183	184	768
273	辽国骑兵3.obj	1	2	1	0.15	182	183	184	769
274	辽国中年武官2.obj	1	2	1	0.15	182	183	184	760
275	辽国中年武官.obj	1	2	1	0.15	182	183	184	759
276	辽文官.obj	1	2	1	0.15	182	183	184	771
277	蒙古女1.obj	1	2	1	0.15	182	183	184	680
278	蒙古女2.obj	1	2	1	0.15	182	183	184	681
279	名医1.obj	1	2	1	0.15	182	183	184	211
280	名医2.obj	1	2	1	0.15	182	183	184	212
281	农妇1.obj	1	2	1	0.15	182	183	184	152
282	农妇2.obj	1	2	1	0.15	182	183	184	153
283	女真武士.obj	1	2	1	0.15	182	183	184	388
284	欧阳修B.obj	1	2	1	0.15	182	183	184	441
285	欧阳修C.obj	1	2	1	0.15	182	183	184	442
286	胖大商人.obj	1	2	1	0.15	182	183	184	659
287	普通侠士1.obj	1	2	1	0.15	182	183	184	388
288	普通侠士2.obj	1	2	1	0.15	182	183	184	388
289	普通侠士3.obj	1	2	1	0.15	182	183	184	388
290	乞丐.obj	1	2	1	0.15	182	183	184	132
291	青年道姑.obj	1	2	1	0.15	182	183	184	822
292	穷书生A.obj	1	2	1	0.15	182	183	184	621
293	穷书生B.obj	1	2	1	0.15	182	183	184	622
294	少妇2.obj	1	2	1	0.15	182	183	184	357
295	少妇3.obj	1	2	1	0.15	182	183	184	358
296	少妇4.obj	1	2	1	0.15	182	183	184	359
297	少妇4.obj	1	2	1	0.15	182	183	184	359
298	宋朝小官吏.obj	1	2	1	0.15	182	183	184	327
299	西藏喇嘛.obj	1	2	1	0.15	182	183	184	735
300	小贩.obj	1	2	1	0.15	182	183	184	352
301	小贩B.obj	1	2	1	0.15	182	183	184	353
302	小贩C.obj	1	2	1	0.15	182	183	184	354
303	新手指导男.obj	1	2	1	0.15	182	183	184	401
304	新手指导女.obj	1	2	1	0.15	182	183	184	400
305	丫鬟B.obj	1	2	1	0.15	182	183	184	117
306	渔夫.obj	1	2	1	0.15	182	183	184	473
307	月老.obj	1	2	1	0.15	182	183	184	411
308	中年贵妇.obj	1	2	1	0.15	182	183	184	121
309	中年贵妇B.obj	1	2	1	0.15	182	183	184	122
310	钟灵.obj	1	2	1	0.15	182	183	184	798
312	王语嫣.obj	1	2	1	0.15	182	183	184	509
313	大理俗家女弟子.obj	1	2	1	0.15	182	183	184	241
314	大理小沙弥.obj	1	2	1	0.15	182	183	184	243
316	本参.obj	1	2	1	0.15	182	183	184	608
317	本观.obj	1	2	1	0.15	182	183	184	608
319	破痴.obj	1	2	1	0.15	182	183	184	608
330	白世镜.obj	1	2	1	0.15	182	183	184	575
331	吕师襄.obj	1	2	1	0.15	182	183	184	213
332	余道安.obj	1	2	1	0.15	182	183	184	144
333	慕容博.obj	1	2	1	0.15	182	183	184	385
334	少林女弟子.obj	1	2	1	0.15	182	183	184	360
335	俗家弟子.obj	1	2	1	0.15	182	183	184	146
336	程若清.obj	1	2	1	0.15	182	183	184	619
337	鹤云道人.obj	1	2	1	0.15	182	183	184	890
338	林灵素.obj	1	2	1	0.15	182	183	184	428
339	宁虚散人.obj	1	2	1	0.15	182	183	184	315
340	李傀儡.obj	1	2	1	0.15	182	183	184	417
341	吴领军.obj	1	2	1	0.15	182	183	184	215
342	出尘子.obj	1	2	1	0.15	182	183	184	166
343	狮吼子.obj	1	2	1	0.15	182	183	184	490
344	天狼子.obj	1	2	1	0.15	182	183	184	255
345	赵天师.obj	1	2	1	0.15	182	183	184	608
346	破痴.obj	1	2	1	0.15	182	183	184	608
347	张函芝.obj	1	2	1	0.15	182	183	184	608
348	南海鳄神.obj	1	2	1	0.15	182	183	184	181
349	黑苗老头.obj	1	2	1	0.15	182	183	184	608
