INT	STRING	INT	INT	FLOAT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	FLOAT
ID	名称	准乘人数	ModelID	AddHeight	RideRecipe	未知	主坐动作组索引	主绑定点	未知	副坐动作组索引	副绑定点	坐骑的移动声音ID	是否能跳跃	特殊高度修正
0	虎	1	1010	0.5	447	282	549	attach1	282	549	attach1	-1	1	0
1	黄骠马	1	1011	0.6	448	291	558	attach1	291	558	attach1	-1	1	0
2	灰狼	1	1012	0.5	455	271	538	attach1	271	538	attach1	-1	1	0
3	雕	1	1007	0.5	454	289	556	attach1	289	556	attach1	-1	-1	0
4	鹿	1	1014	0.6	453	295	562	attach1	295	562	attach1	-1	1	0
5	鹤	1	1008	0.9	450	294	561	attach1	294	561	attach1	-1	-1	0
6	青凤	1	1018	0.5	451	265	532	attach1	265	532	attach1	-1	-1	0
7	骆驼	1	1015	0.6	449	293	560	attach1	293	560	attach1	-1	1	0
8	牦牛	1	1016	0.6	452	268	535	attach1	268	535	attach1	-1	1	0
9	白虎	1	1002	0.5	456	276	543	attach1	276	543	attach1	-1	1	0
10	青白骢马	1	1017	0.6	457	290	557	attach1	290	557	attach1	-1	1	0
11	白狼	1	1003	0.5	464	275	542	attach1	275	542	attach1	-1	1	0
12	白雕	1	1001	0.5	463	278	545	attach1	278	545	attach1	-1	-1	0
13	白鹿	1	1004	0.6	462	280	547	attach1	280	547	attach1	-1	1	0
14	金翼鹤	1	1013	0.9	459	287	554	attach1	287	554	attach1	-1	-1	0
15	红白凤	1	1009	0.5	460	281	548	attach1	281	548	attach1	-1	-1	0
16	白骆驼	1	1005	0.6	458	279	546	attach1	279	546	attach1	-1	1	0
17	白牦牛	1	1006	0.6	461	273	540	attach1	273	540	attach1	-1	1	0
18	狮子	1	1019	0.6	561	270	537	attach1	270	537	attach1	-1	1	0
19	白狮	1	1020	0.6	562	274	541	attach1	274	541	attach1	-1	1	0
20		1	-1	0.6	20	980	979	attach1	980	979	attach1	-1	1	0
21	走雕	1	1025	0.5	446	285	552	attach1	285	552	attach1	-1	1	0
22	走白雕	1	1026	0.5	445	284	551	attach1	284	551	attach1	-1	1	0
23	象	2	1027	0.7	443	269	536	attach1	269	536	attach2	-1	1	0
24	白象	2	1028	0.7	444	269	536	attach1	269	536	attach2	-1	1	0
25	双人雕	2	1021	1.3	-1	264	531	骑乘点01	264	531	骑乘点02	-1	-1	0
26	骑乘陆吾	1	1029	0.6	440	288	555	attach1	288	555	attach1	-1	1	0
27	骑乘木牛流马	1	1030	0.6	439	267	534	attach1	267	534	attach1	-1	1	0
28	骑乘鸵鸟	1	1031	0.6	436	269	536	attach1	269	536	attach1	-1	1	0
29	骑乘犀牛	2	1032	0.7	442	269	536	attach1	269	536	attach2	-1	1	0
30	骑乘熊	1	1033	0.6	438	267	534	attach1	267	534	attach1	-1	1	0
31	骑乘玄龟	2	1034	0.5	441	272	539	attach1	272	539	attach2	-1	1	0
32	骑乘蜘蛛	1	1035	0.6	437	288	555	attach1	288	555	attach1	-1	1	0
33	骑乘河马	2	1036	0.7	430	269	536	attach1	269	536	attach2	-1	1	0
34	骑乘马车	1	1037	0.7	431	292	559	attach1	292	559	attach1	-1	-1	0
35	骑乘天马	1	1038	0.7	432	267	534	attach1	267	534	attach1	-1	1	0
36	骑乘兔子	1	1039	0.7	433	272	539	attach1	272	539	attach1	-1	1	0
37	骑乘舞狮	1	1040	0.7	434	269	536	attach1	269	536	attach1	-1	1	0
38	骑乘驯鹿	1	1041	0.7	435	267	534	attach1	267	534	attach1	-1	1	0
39	天使翅膀	1	1042	0.7	429	266	533	attach1	266	533	attach1	-1	-1	0
40	骑乘巨人	1	1043	0.7	427	272	539	attach1	272	539	attach1	-1	1	0
41	骑乘大绿龙	2	1044	0.7	428	269	536	attach2	269	536	attach1	-1	-1	0
42	骑乘麋鹿雪橇	2	1045	0.7	425	292	559	attach1	292	559	attach2	-1	-1	0
43	潘神骑乘	2	1046	0.7	426	269	536	attach1	269	536	attach2	-1	1	0
44	天使翅膀	1	1061	0.7	424	266	533	attach1	266	533	attach1	-1	-1	0
45	骑乘春节白熊	1	2051	0.6	438	267	534	attach1	267	534	attach1	-1	1	0
46	骑乘碧水金睛兽	1	2172	0.7	532	269	536	attach1	269	536	attach1	-1	1	0
47	骑乘旋转木马	2	2244	0.7	1079	269	536	attach1	269	536	attach2	-1	-1	0
48	骑乘春节年兽	1	2253	0.7	1077	269	536	attach1	269	536	attach1	-1	1	0
49	骑乘情人节花车1	2	2254	0.6	1078	272	539	attach1	272	539	attach2	-1	-1	0
50	骑乘白豹	1	2293	0.7	1080	269	536	attach1	269	536	attach1	-1	1	0
51	骑乘黑豹	1	2294	0.7	1081	269	536	attach1	269	536	attach1	-1	1	0
52	骑乘巨猿	1	5023	0.7	1083	272	539	attach1	272	539	attach1	-1	1	0
53	骑乘鹜影雕	1	2365	0.5	1089	269	536	attach1	278	545	attach1	-1	-1	0
54	骑乘琉璃凤	1	2366	0.5	1084	269	536	attach1	281	548	attach1	-1	-1	0
55	骑乘瑞莲鹤	1	2367	0.9	1090	272	539	attach1	287	554	attach1	-1	-1	0
56	骑乘如意虎	1	2368	0.5	1087	269	536	attach1	276	543	attach1	-1	1	0
57	骑乘银月狼	1	2369	0.5	1085	269	536	attach1	275	542	attach1	-1	1	0
58	骑乘七彩鹿	1	2370	0.6	1091	269	536	attach1	280	547	attach1	-1	1	0
59	骑乘龙血马	1	2371	0.6	1088	269	536	attach1	290	557	attach1	-1	1	0
