INT	INT	STRING	STRING	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	STRING	STRING	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
0	1	H® th¯ng chiªm døng	Thiªt trí c¤p b§c danh hi®u Vi 0, TÑc rõ ràng c¤p b§c danh hi®u	1	1	-1	Thiªt trí c¤p b§c danh hi®u Vi 0, TÑc rõ ràng c¤p b§c danh hi®u	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
91	2	$NÐích phu quân	TÕi Thiên Nguy®n T¯ chim li«n cánh, trên m£t ð¤t Nguy®n T¯ tình vþ ch°ng.	22	1	-1	Vþ ch°ng	1	Dß M®nh Ð¸nh ngß¶i kªt hôn H§u nh§n ðßþc Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
92	2	$NÐích nß½ng tØ	TÕi Thiên Nguy®n T¯ chim li«n cánh, trên m£t ð¤t Nguy®n T¯ tình vþ ch°ng.	22	1	-1	Vþ ch°ng	1	Dß M®nh Ð¸nh ngß¶i kªt hôn H§u nh§n ðßþc Ðích danh hi®u.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
93	3	Chiêu Võ Hi®u Uý	S½ C¤p binh lính, S½ Kiªn công huân, tiªp tøc c¯ g¡ng.	3	1	-1	Nh§p ngû(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
94	3	Chiêu Võ Hi®u Uý	S½ C¤p binh lính, S½ Kiªn công huân, tiªp tøc c¯ g¡ng.	3	2	-1	Nh§p ngû(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
95	3	Ch¤n Uy Trung Lang Tß¾ng	S½ C¤p tß¾ng lãnh, Lû Kiªn công huân, không ng×ng c¯ g¡ng.	3	3	-1	Nh§p ngû(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
96	3	Phiêu KÜ tß¾ng quân	Trung C¤p tß¾ng lãnh, công huân l¾n lao, không ng×ng c¯ g¡ng.	3	4	-1	Nh§p ngû(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
97	3	Th¥n võ ÐÕi tß¾ng quân	Th¥n võ ðÕi tß¾ng, anh minh th¥n võ, uy ch¤n hoàn vû.	3	5	-1	Nh§p ngû(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
98	4	Hµ Ðàn Ð°ng Nhi	S½ C¤p Khu QuÖ Sß, S½ Kiªn công huân, tiªp tøc c¯ g¡ng.	4	1	-1	Khu QuÖ(Dî Phª Khí)	0	Vô.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
