INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT
INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT
0		64	68	74	78		10	68	74	78
1	nihongleft	64	68	74	78	nihongright	10	68	74	78
2	wuqizuo	64	68	74	78	wuqiyou	10	68	74	78
3	SongLiao1	40	42	36	40		10	68	74	78
4	SongLiao2	45	40	45	44	SongLiao2	0	40	44	44
5	SongLiao3	57	45	60	50	SongLiao3	0	45	60	50
6	ZLHeroMeetingLevel1_Left	41	31	45	24	ZLHeroMeetingLevel1_Right	0	31	45	24
7	ZLHeroMeetingLevel2_Left	57	36	59	33	ZLHeroMeetingLevel2_Right	0	36	59	33
8	ZLHeroMeetingLevel3_Left	66	45	70	46	ZLHeroMeetingLevel3_Right	0	45	70	46
9	ZLHeroMeetingLevel4_Left	89	45	90	50	ZLHeroMeetingLevel4_Right	0	45	90	50
10	JiaRenYing_L	44	40	48	42	JiaRenYing_R	0	40	48	42
11	WanFangZhu_L	90	50	94	56	WanFangZhu_R	0	50	94	56
12	XingMouGu_L	57	45	68	44	XingMouGu_R	0	45	68	44
13	QXHBL_L	63	45	60	48	QXHBL_R	0	45	60	48
14	QXHBM_L	64	55	74	60	QXHBM_R	10	55	74	60
15	QXHBH_L	64	56	74	60	QXHBH_R	10	56	74	60
16	TLNS_GuardKnight_L	54	38	60	33	TLNS_GuardKnight_R	4	38	60	33
17	GHJH_L	60	42	64	46	GHJH_R	2	42	64	46
18	ZXZD_L	46	39	54	50	ZXZD_R	6	39	54	50
19	ZhuJian_L	66	36	76	36	ZhuJian_R	4	36	76	36
20	JMXTB_L	50	36	55	43	JMXTB_R	4	36	55	43
21	NXXTB_L	49	33	54	33	NXXTB_R	0	33	54	33
22	TigerGold_L	46	39	58	50	TigerGold_R	6	39	58	48
23	TigerSilver_L	44	40	52	40	TigerSilver_R	0	40	52	40
24	TigerCopper_L	44	40	52	38	TigerCopper_R	0	40	52	38
25	DragonGold_L	66	45	74	52	DragonGold_R	0	45	74	52
26	DragonSilver_L	46	39	58	42	DragonSilver_R	6	39	58	42
27	DragonCopper_L	44	40	54	40	DragonCopper_R	0	40	54	40
28	HawkGold_L	50	36	56	46	HawkGold_R	4	36	56	46
29	HawkSilver_L	44	40	54	40	HawkSilver_R	0	40	54	40
30	HawkCopper_L	44	40	50	38	HawkCopper_R	0	40	50	38
31	LoverTime_GeL	66	36	76	46	LoverTime_GeR	4	36	76	46
