INT	INT	STRING	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
TitleID	??	??	??	??ID	Level	????	??	??2	???? 1:? 2:????? 3:?? 4:??????	??ID	BoardIndex	????	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	????	???	??Animate	AnimateID	??	??	??	??
1000	1000	Mê Chi truy ðu±i Giä	Hoa ðång ¦n ngæ hoÕt ðµng Trung tìm ra l¶i giäi ngß¶i phóng khoáng lÕc quan Ðích tßþng trßng.	100	1	-1	Hoa ðång ¦n ngæ	Hoa ðång ¦n ngæ hoÕt ðµng Trung, hoàn thành hoÕt ðµng nhi®m vø 6Thiên lînh Ðích danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1001	1000	Mê l¤y mµt Ðích Nhân	Hoa ðång ¦n ngæ hoÕt ðµng Trung tìm ra l¶i giäi chuyên gia Ðích tßþng trßng.	100	2	-1	Hoa ðång ¦n ngæ	Hoa ðång ¦n ngæ hoÕt ðµng Trung, hoàn thành hoÕt ðµng nhi®m vø 10Thiên lînh Ðích danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1002	1000	Siêu vi®t Mê Ðích Nhân	Hoa ðång ¦n ngæ hoÕt ðµng Trung tìm ra l¶i giäi siêu nhân Ðích tßþng trßng.	100	3	-1	Hoa ðång ¦n ngæ	Hoa ðång ¦n ngæ hoÕt ðµng Trung, hoàn thành hoÕt ðµng nhi®m vø 12Thiên lînh Ðích danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1003	1001	Ð¦u TØu h÷c sî	Tài trí h½n ngß¶i, mùi rßþu Hoành Thiên.	101	1	-1	Thiên Bôi không say	Thiên Bôi không say hoÕt ðµng Trung liên tøc †m HÕ 8Bôi TØu H§u TÕi ÐÕi Lý(110, 159) Ð² TØ Ð¢ng XØ lînh Ðích danh hi®u thß·ng cho.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1004	1002	Có mµt không hai nh¤t th¶i	Cao nhã Ðích thß·ng thÑc làm mµt Th¶i Chi Quan.	102	1	-1	Tü qu¥n áo h® th¯ng	Træ Y Gian có ðßþc 5Ki®n trang phøc m¯t lînh nh§n ðßþc Ðích danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1005	1002	Sáng m¶ Th§p S¡c	Phát ra Ðích m¸ lñc gi¯ng nhß sáng m¶ bình thß¶ng, chiªu r÷i toàn trß¶ng.	102	2	-1	Tü qu¥n áo h® th¯ng	Træ Y Gian có ðßþc 10Ki®n trang phøc m¯t lînh nh§n ðßþc Ðích danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1006	1002	Lång La Bách NÕp	T½ løa Lång La, c¦m y Bách NÕp, cao quý Nhi không m¤t phong nhã.	102	3	-1	Tü qu¥n áo h® th¯ng	Træ Y Gian có ðßþc 15Ki®n trang phøc m¯t lînh nh§n ðßþc Ðích danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1007	1002	C¦m HuÖ Thiên Ba	Gi¯ng nhß ngàn vÕn l¥n Ðoá kÏ hoa ð°ng th¶i Thành Phóng, Cánh tranh ch¤p Di®m, hoa mÛ qu¥n áo siêu thoát phàm tøc, phäng ph¤t thiên tiên hÕ phàm.	102	4	-1	Tü qu¥n áo h® th¯ng	Træ Y Gian có ðßþc 15Ki®n khác nhau loÕi hình Ðích trang phøc m¯t lînh nh§n ðßþc Ðích danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1008	1002	Kh·i La M£c Hoa	Kh·i La Gia Thân, phong hoa tuy®t ðÕi.	102	5	-1	Tü qu¥n áo h® th¯ng	Træ Y Gian có ðßþc 20Ki®n trang phøc m¯t m¾i có th¬ nh§n ðßþc ThØ danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
