INT	INT	STRING	INT	INT	STRING
INT	INT	STRING	INT	INT	STRING
1	0	set:GirlProtagonist image:GirlProtagonist_1	3	2	set:GirlProtagonist image:GirlProtagonist_1
2	0	set:GirlProtagonist image:GirlProtagonist_2	3	2	set:GirlProtagonist image:GirlProtagonist_2
3	0	set:GirlProtagonist image:GirlProtagonist_3	3	2	set:GirlProtagonist image:GirlProtagonist_3
4	0	set:GirlProtagonist image:GirlProtagonist_4	3	2	set:GirlProtagonist image:GirlProtagonist_4
5	0	set:GirlProtagonist image:GirlProtagonist_5	3	2	set:GirlProtagonist image:GirlProtagonist_5
6	0	set:GirlProtagonist image:GirlProtagonist_6	3	2	set:GirlProtagonist image:GirlProtagonist_6
7	0	set:GirlProtagonist image:GirlProtagonist_7	3	2	set:GirlProtagonist image:GirlProtagonist_7
8	0	set:GirlProtagonist image:GirlProtagonist_8	3	2	set:GirlProtagonist image:GirlProtagonist_8
9	0	set:GirlProtagonist image:GirlProtagonist_9	3	2	set:GirlProtagonist image:GirlProtagonist_9
10	0	set:GirlProtagonist image:GirlProtagonist_10	3	2	set:GirlProtagonist image:GirlProtagonist_10
11	0	set:GirlProtagonist image:GirlProtagonist_11	3	2	set:GirlProtagonist image:GirlProtagonist_11
12	0	set:GirlProtagonist image:GirlProtagonist_12	3	2	set:GirlProtagonist image:GirlProtagonist_12
13	1	set:ManProtagonist image:ManProtagonist_1	3	2	set:ManProtagonist image:ManProtagonist_1
14	1	set:ManProtagonist image:ManProtagonist_2	3	2	set:ManProtagonist image:ManProtagonist_2
15	1	set:ManProtagonist image:ManProtagonist_3	3	2	set:ManProtagonist image:ManProtagonist_3
16	1	set:ManProtagonist image:ManProtagonist_4	3	2	set:ManProtagonist image:ManProtagonist_4
17	1	set:ManProtagonist image:ManProtagonist_5	3	2	set:ManProtagonist image:ManProtagonist_5
18	1	set:ManProtagonist image:ManProtagonist_6	3	2	set:ManProtagonist image:ManProtagonist_6
19	1	set:ManProtagonist image:ManProtagonist_7	3	2	set:ManProtagonist image:ManProtagonist_7
20	1	set:ManProtagonist image:ManProtagonist_8	3	2	set:ManProtagonist image:ManProtagonist_8
21	1	set:ManProtagonist image:ManProtagonist_9	3	2	set:ManProtagonist image:ManProtagonist_9
22	1	set:ManProtagonist image:ManProtagonist_10	3	2	set:ManProtagonist image:ManProtagonist_10
23	1	set:ManProtagonist image:ManProtagonist_11	3	2	set:ManProtagonist image:ManProtagonist_11
24	1	set:ManProtagonist image:ManProtagonist_12	3	2	set:ManProtagonist image:ManProtagonist_12
25	0	set:GirlProtagonist image:GirlProtagonist_13	2	3	set:GirlProtagonist image:GirlProtagonist_13
26	0	set:GirlProtagonist image:GirlProtagonist_14	2	3	set:GirlProtagonist image:GirlProtagonist_14
27	0	set:GirlProtagonist image:GirlProtagonist_15	2	3	set:GirlProtagonist image:GirlProtagonist_15
28	0	set:GirlProtagonist image:GirlProtagonist_16	2	3	set:GirlProtagonist image:GirlProtagonist_16
29	1	set:ManProtagonist image:ManProtagonist_13	2	3	set:ManProtagonist image:ManProtagonist_13
30	1	set:ManProtagonist image:ManProtagonist_14	2	3	set:ManProtagonist image:ManProtagonist_14
31	1	set:ManProtagonist image:ManProtagonist_15	2	3	set:ManProtagonist image:ManProtagonist_15
32	1	set:ManProtagonist image:ManProtagonist_16	2	3	set:ManProtagonist image:ManProtagonist_16
