INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
0	G¥n ðây kênh	G¥n ðây	3000	-1	0	-1	0	-1	0	0
1	Ðµi ngû kênh	Ðµi ngû	1000	-1	0	-1	0	-1	0	0
2	Thª gi¾i kênh	Thª gi¾i	180000	1	2	2	2	-1	0	15
3	M§t Liêu kênh	Tß Liêu	1000	-1	0	-1	0	-1	0	6
4	H® th¯ng kênh	#-09	15000	-1	0	-1	0	-1	0	0
5	Tñ Kiªn kênh	Tñ Kiªn	3000	-1	0	-1	0	-1	0	0
6	Bang phái kênh	Bang phái	500	-1	0	-1	0	-1	0	0
7	Môn phái kênh	Môn phái	3000	-1	0	-1	0	-1	0	0
8	Tñ cho là ðúng kênh	Tñ cho là ðúng	3000	-1	0	-1	0	-1	0	0
9	Trþ giúp kênh	Trþ giúp	3000	-1	0	-1	0	-1	0	0
10	Loa kênh	Loa	0	-1	0	-1	0	-1	0	0
11	Ð°ng Thành kênh	Ð°ng Thành	1000	-1	0	-1	0	-1	0	0
12	Ð°ng minh kênh	Ð°ng minh	1000	-1	0	-1	0	-1	0	0
13	T¯ng Liêu kênh		1000	-1	0	-1	0	-1	0	35
14	Ðoàn ðµi kênh	Ðoàn ðµi	1000	-1	0	-1	0	-1	0	0
15	Ti¬u ðµi kênh	Ti¬u ðµi	1000	-1	0	-1	0	-1	0	0
16	KÏ vån kênh	KÏ vån Ti¬u LÕt Bát	1000	-1	0	-1	0	-1	0	0
