INT	INT	INT	INT	STRING
INT	INT	INT	INT	STRING
1	0	9	180	#Y如果您是#G非正常#Y退出游戏，再次进入游戏时，会有#G3~5分钟#Y登录不进来，请稍安勿躁，略等等即可。
2	0	9	180	#Y小窍门：#G右键#Y点击物品可以#G直接使用#Y，也可以#G按住鼠标左键#Y将物品拖到#G快捷栏#Y当中，然后#G按快捷键#Y进行使用。
3	10	19	300	#Y如果您是#G非正常#Y退出游戏，再次进入游戏时，会有#G3~5分钟#Y登录不进来，请稍安勿躁，略等等即可。
4	10	19	300	#Y珍兽死亡后，快乐度会相应减少。如果快乐度#G大于等于60#Y，那么珍兽可以继续出战，但是如果#G快乐度小于60#Y，珍兽就不能参加战斗了，这时需要到#G各大主城#Y内的#G珍兽店#Y处购买#G宠物玩具#Y来提高珍兽的快乐度。
5	10	19	300	#G组队练级#Y会有#G更多#Y的经验收获。组队之后可以根据不同的需要由#G队长#Y选择不同的#G经验分配模式#Y。
6	10	19	300	#G敦煌#Y（10级就能过啦~）和#G嵩山#Y（15级以上才能去哦~），有很多NPC提供的#G任务#Y，完成之后可以获得比较多的#G经验#Y和#G金钱#Y。
7	10	19	300	#G10级#Y之后就可以找#G洛阳（140，95）#R范纯仁#Y、#G大理（182，118）#R范纯礼#Y、#G苏州（224，184）#R范纯粹#Y（场景地图“帮”字所在位置）加入#G帮会#Y。
8	10	19	300	#Y每周都可以找#G洛阳#Y的#G（150，91）#R刘健明#Y、#G（172，90）#R陈永仁#Y，#G苏州#Y的#G（164，80）#R沈澄#Y，#G大理#Y的#G（182，141）#R洪大贵,#G楼兰#Y的#G（154，121）#R格鲁尔#Y或#G束河古镇#Y的#G（146，119）#R高笑#Y领取#G五个小时双倍#Y经验。
9	10	19	300	#G10级#Y开始就#G可以学习钓鱼#Y，可以找#G洛阳（207，184）#R姜渔#Y，#G苏州（238，77）#R蒋平#Y，#G大理（103，157）#R穆子陵#Y，#G楼兰（90，92）#R叶航#Y，#G束河古镇（216，154）#R孙仿庄#Y学习，钓到的鱼和伴生材料可以作为#G烹饪的原料#Y。
10	20	29	480	#Y如果您是#G非正常#Y退出游戏，再次进入游戏时，会有#G3~5分钟#Y登录不进来，请稍安勿躁，略等等即可
11	20	29	480	#Y可以找#G大于#Y自己等级#G10级#Y的玩家到#G大理#Y的中心#G（140，132）#R聂政#Y处拜师，拜师之后杀怪获得的经验值将会#G增加10%#Y，#G和师傅在一起#Y可以#G增加20%#Y。
12	20	29	480	#Y珍兽死亡后，快乐度会相应减少。如果快乐度#G大于等于60#Y，那么珍兽可以继续出战，但是如果#G快乐度小于60#Y，珍兽就不能参加战斗了，这时需要到#G各大主城#Y内的#G珍兽店#Y处购买#G宠物玩具#Y来提高珍兽的快乐度。
13	20	29	480	#G组队练级#Y会有#G更多#Y的经验收获。组队之后可以根据不同的需要由#G队长#Y选择不同的#G经验分配模式#Y。
14	20	29	480	#Y怎样组队练级能够获得#G更多#Y的经验？与#G好友组队#Y所获得的经验，会比普通组队获得#G更多#Y，另外与#G同帮会#Y、#G同门派#Y的朋友一起组队战斗也会获得#G更多#Y的经验。
15	20	29	480	#Y找#G苏州#Y的#G（88，141）#R云霏霏#Y可以#G鉴定#Y珍兽的#G成长率#Y，同等级成长越高的珍兽能力越高。碰到成长率高的极品珍兽，可以卖个好价钱哦~
16	20	29	480	#Y找#G苏州#Y的#G（87，140）#R艾虎#Y可以#G评定珍兽的称号#Y，称号的等级与珍兽的资质、成长、悟性都有很大的关系哦~
17	20	29	480	#G20级#Y开始可以在#G洛阳#Y学习种植、采矿、采药3种生活技能#Y，#G种植#Y可以找#G（219，262）#R刘亦农#Y，#G采矿#Y可以找#G（212，151）#R薛铜锤#Y，#G采药#Y可以找#G（120，169）#R严百草#Y。
18	20	29	480	#Y在江湖上，有种叫定位符的物品，#G使用定位符#Y可以快捷的在各个#G城市之间进行传送#Y，传送的位置由您自己确定。
19	30	39	600	#Y如果您是#G非正常#Y退出游戏，再次进入游戏时，会有#G3~5分钟#Y登录不进来，请稍安勿躁，略等等即可。
20	30	39	600	#Y与爱侣相伴行走江湖，#G男性35级#Y，#G女性20级#Y以上就可以去#G洛阳#Y的#G（46，62）#R月老#Y处#G结婚#Y了，不过结婚之前要求双方的#G友好度均超过1000#Y。
21	30	39	600	#Y从#G30级#Y开始可以在#G洛阳#Y学习#G制药#Y、#G养生#Y、#G药理#Y以及#G本门派生活技能#Y，#G制药#Y可以找#G（138，164）#R张明景#Y，#G养生#Y可以找#G（132，154）#R蔷薇#Y，#G药理#Y可以找#G（136，169）#R白颖明#Y，不过很难，建议三思而后行。
22	30	39	600	#Y从#G30级#Y开始可以到#G大理#Y五斗米道天师#G（55，211）#R张灵均#Y处学习#G制作定位符#Y，使用这种神奇的符可以在城市中定位，使您迅速的返回#G定位的地点#Y哦。
23	30	39	600	#Y千里师门一跃回，#G使用门派召集令#Y可以迅速的回到自己的门派。
24	30	39	600	#Y想要开一间属于自己的商店吗？可以到#G洛阳#Y的#G（230，156）#R乔复盛#Y那里申请，财源从此滚滚而来。
