INT	INT	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	INT	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	205	Huy®n nha	0	1	0	400 1200 -5600	1 0 0 0	72	73	74	75	-1	-1	-1	-1	-1	-1	20000	40000	80000	160000	320000
2	205	ÐÕi kÏ	17	2	0	400 1200 -3600	1 0 0 0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
3	205	Võ Phß¶ng	11	4	0	3900 800 -5700	1 0 0 0	2	3	4	5	-1	6	7	8	9	10	9000	15300	26000	44200	75200
4	205	Phòng Cø	4	5	0	5900 800 -5900	1 0 0 0	6	7	8	-1	-1	-1	-1	-1	-1	-1	0	0	15000	18000	21600
5	205	Ti«n trang	3	6	0	5900 800 -4200	1 0 0 0	10	11	12	13	-1	89	17	35	53	71	10000	18000	32400	58300	105000
6	205	Trß¶ng võ	15	7	0	5500 400 -200	1 0 0 0	14	15	16	17	-1	-1	-1	-1	-1	-1	9000	15300	26000	44200	75200
7	205	M­ Thß½ng	7	8	0	3300 0 -1200	1 0 0 0	18	19	20	21	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
8	205	Thß vi®n	13	9	0	-2100 0 -1800	1 0 0 0	22	23	24	25	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
9	205	Y Xä	10	11	0	-4800 400 600	1 0 0 0	26	27	28	-1	-1	-1	11	12	13	-1	0	0	20000	26000	33800
10	205	T§p Phß¶ng	9	12	0	-5700 400 -700	1 0 0 0	30	31	32	33	-1	-1	-1	-1	-1	-1	9000	11700	15200	19800	25700
11	205	TØu quán	2	13	0	-5900 800 -2400	1 0 0 0	34	35	36	-1	-1	-1	14	15	16	-1	0	0	20000	26000	33800
12	205	Sß½ng phòng	1	14	0	-5900 800 -3900	1 0 0 0	38	39	40	41	-1	-1	-1	-1	-1	-1	9000	9900	10900	12000	13200
