INT	INT	STRING	STRING	INT
INT	INT	STRING	STRING	INT
1	10	B¡c Kinh	B¡c Kinh	0
2	21	Thßþng Häi	Thßþng Häi	0
3	22	Thiên Tân	Thiên Tân	0
4	23	Trùng Khánh	Trùng Khánh	0
5	551	Hþp Phì	An Huy	1
6	556	An Khánh	An Huy	1
7	552	Các\u0020hÕg Phø	An Huy	1
8	1558	B£c Châu	An Huy	1
9	565	Sào H°	An Huy	1
10	566	Trì Châu	An Huy	1
11	550	Tr× Châu	An Huy	1
12	558	Phø Dß½ng	An Huy	1
13	561	Hoài B¡c	An Huy	1
14	554	Hoài Nam	An Huy	1
15	559	Hoàng S½n	An Huy	1
16	564	Løc An	An Huy	1
17	555	Mã An S½n	An Huy	1
18	557	Túc Châu	An Huy	1
19	562	Ð°ng Lång	An Huy	1
20	553	Vu H°	An Huy	1
21	563	Tuyên Thành	An Huy	1
22	591	Phúc Châu	Phúc Kiªn	1
23	597	Long Nham	Phúc Kiªn	1
24	599	Nam Bình	Phúc Kiªn	1
25	593	Ninh ÐÑc	Phúc Kiªn	1
26	594	Phü Ði«n	Phúc Kiªn	1
27	595	Tuy«n Châu	Phúc Kiªn	1
28	598	Tam Minh	Phúc Kiªn	1
29	592	HÕ Môn	Phúc Kiªn	1
30	596	Chß½ng Châu	Phúc Kiªn	1
31	931	Lan Châu	Cam Túc	1
32	943	BÕch Ngân	Cam Túc	1
33	932	Ð¸nh Tây	Cam Túc	1
34	941	Cam Nam	Cam Túc	1
35	1937	Gia Dñ Quan	Cam Túc	1
36	1935	Kim Xß½ng	Cam Túc	1
37	937	TØu Tuy«n	Cam Túc	1
38	930	Lâm HÕ	Cam Túc	1
39	939	Lûng Nam	Cam Túc	1
40	933	Bình Lß½ng	Cam Túc	1
41	934	Khánh Dß½ng	Cam Túc	1
42	938	Thiên ThuÖ	Cam Túc	1
43	935	Võ Uy	Cam Túc	1
44	936	Trß½ng D¸ch	Cam Túc	1
45	20	Qua?ng Châu	Quäng Ðông	1
46	768	Tri«u Châu	Quäng Ðông	1
47	769	Ðông Hoan	Quäng Ðông	1
48	757	Ph§t S½n	Quäng Ðông	1
49	762	Hà Nguyên	Quäng Ðông	1
50	752	Hu® Châu	Quäng Ðông	1
51	750	Giang Môn	Quäng Ðông	1
52	663	Kiªt Dß½ng	Quäng Ðông	1
53	668	M§u Danh	Quäng Ðông	1
54	753	Mai Châu	Quäng Ðông	1
55	763	Thanh Vi­n	Quäng Ðông	1
56	754	Sán Ð¥u	Quäng Ðông	1
57	660	Sán Vî	Quäng Ðông	1
58	751	Thi«u Quan	Quäng Ðông	1
59	755	Thâm Quyªn	Quäng Ðông	1
60	662	Dß½ng Giang	Quäng Ðông	1
61	766	Vân Phù	Quäng Ðông	1
62	759	TrÕm Giang	Quäng Ðông	1
63	758	Tri®u Khánh	Quäng Ðông	1
64	760	Trung S½n	Quäng Ðông	1
65	756	Châu Häi	Quäng Ðông	1
66	771	Nam Ninh	Quäng Tây	1
67	776	Bách S¡c	Quäng Tây	1
68	779	B¡c Häi	Quäng Tây	1
69	1771	Sùng Tä	Quäng Tây	1
70	770	Phòng Thành Cäng	Quäng Tây	1
71	1775	Quý Cäng	Quäng Tây	1
72	773	Quª Lâm	Quäng Tây	1
73	778	Hà Trì	Quäng Tây	1
74	1774	HÕ Châu	Quäng Tây	1
75	1772	Khách	Quäng Tây	1
76	772	Li­u Châu	Quäng Tây	1
77	777	Khâm Châu	Quäng Tây	1
78	774	Ngô Châu	Quäng Tây	1
79	775	Ng÷c Lâm	Quäng Tây	1
80	851	Quý Dß½ng	Quý Châu	1
81	853	An Thu§n	Quý Châu	1
82	857	T¤t Tiªt	Quý Châu	1
83	858	Løc Bàn ThuÖ	Quý Châu	1
84	855	Ki«m Ðông Nam	Quý Châu	1
85	854	Ki«m Nam	Quý Châu	1
86	859	Ki«m tây nam	Quý Châu	1
87	856	Ð°ng Nhân	Quý Châu	1
88	852	Tuân Nghîa	Quý Châu	1
89	898	CØa bi¬n	Häi Nam	1
90	899	Tam Á	Häi Nam	1
91	311	ThÕch gia Trang	Hà B¡c	1
92	312	Bäo Ð¸nh	Hà B¡c	1
93	317	Thß½ng Châu	Hà B¡c	1
94	314	Th×a ÐÑc	Hà B¡c	1
95	310	Hàm Ðan	Hà B¡c	1
96	318	Hành ThuÖ	Hà B¡c	1
97	316	Lang Phß¶ng	Hà B¡c	1
98	335	T¥n Hoàng Ðäo	Hà B¡c	1
99	315	Ðß¶ng S½n	Hà B¡c	1
100	319	Hình Ðài	Hà B¡c	1
101	313	Trß½ng gia Kh¦u	Hà B¡c	1
102	371	Tr¸nh Châu	Hà Nam	1
103	372	An Dß½ng	Hà Nam	1
104	392	HÕc Bích	Hà Nam	1
105	391	Tiêu Tác	Hà Nam	1
106	378	M· ra	Hà Nam	1
107	379	LÕc Dß½ng	Hà Nam	1
108	395	Loa Hà	Hà Nam	1
109	377	Nam Dß½ng	Hà Nam	1
110	375	Ðïnh b¢ng S½n	Hà Nam	1
111	393	Bµc Dß½ng	Hà Nam	1
112	398	Tam Môn Hi®p	Hà Nam	1
113	370	Thß½ng Khâu	Hà Nam	1
114	373	Tân Hß½ng	Hà Nam	1
115	376	Tín Dß½ng	Hà Nam	1
116	374	HÑa Xß½ng	Hà Nam	1
117	394	Chu Kh¦u	Hà Nam	1
118	396	Trú nhà tr÷	Hà Nam	1
119	451	Cáp Nhî Tân	H¡c Long Giang	1
120	459	Qu¯c khánh	H¡c Long Giang	1
121	468	HÕc Cß½ng	H¡c Long Giang	1
122	456	H¡c Hà	H¡c Long Giang	1
123	467	Kê Tây	H¡c Long Giang	1
124	454	Giai Mµc Tß	H¡c Long Giang	1
125	453	Mçu Ðan Giang	H¡c Long Giang	1
126	464	Th¤t Ðài Hà	H¡c Long Giang	1
127	452	Nh¤t t« Hall	H¡c Long Giang	1
128	469	Song Áp S½n	H¡c Long Giang	1
129	455	Tuy Hoá	H¡c Long Giang	1
130	458	Y Xuân	H¡c Long Giang	1
131	27	Vû Hán	H° B¡c	1
132	711	NgÕc Châu	H° B¡c	1
133	718	Ân Thi	H° B¡c	1
134	713	Hoàng Cß½ng	H° B¡c	1
135	714	Hoàng ThÕch	H° B¡c	1
136	724	Kinh Môn	H° B¡c	1
137	716	Kinh Châu	H° B¡c	1
138	719	Th§p Yªn	H° B¡c	1
139	722	Tùy Châu	H° B¡c	1
140	715	Hàm Ninh	H° B¡c	1
141	710	Tß½ng Phàn	H° B¡c	1
142	712	Hiªu Cäm	H° B¡c	1
143	717	Nghi Xß½ng	H° B¡c	1
144	731	Trß¶ng Sa	H° Nam	1
145	736	Thß¶ng ÐÑc	H° Nam	1
146	735	Sâm Châu	H° Nam	1
147	734	Hành Dß½ng	H° Nam	1
148	745	Hoài Hoá	H° Nam	1
149	738	Lâu Ð¬	H° Nam	1
150	739	Thi®u Dß½ng	H° Nam	1
151	732	Tß½ng Ðàm	H° Nam	1
152	743	Tß½ng Tây	H° Nam	1
153	737	Ích Dß½ng	H° Nam	1
154	746	Vînh Châu	H° Nam	1
155	730	NhÕc Dß½ng	H° Nam	1
156	744	Trß½ng gia Gi¾i	H° Nam	1
157	733	Chu Châu	H° Nam	1
158	431	Trß¶ng Xuân	Cát Lâm	1
159	436	BÕch Thành	Cát Lâm	1
160	440	H°n Xuân	Cát Lâm	1
161	439	H°n Giang	Cát Lâm	1
162	432	Cát Lâm	Cát Lâm	1
163	437	Liêu Nguyên	Cát Lâm	1
