INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
1	205	18	541	542	543	544	545	0	NhÕn Nam Chính Nam	NhÕn Môn	20400009	20400012	20400018	20102004	20102005	72	282
2	206	19	541	542	543	544	545	1	NhÕn B¡c Chính Tây	NhÕn Môn	20400006	20400010	20400020	20102004	20102005	32	127
3	207	30	511	512	513	514	515	2	Tây H° Chính Tây	Hàng Châu	20400009	20400012	20400017	20102004	20102005	39	139
4	208	31	511	512	513	514	515	3	Long Tuy«n Chính B¡c	Hàng Châu	20400006	20400010	20400025	20102004	20102005	63	33
5	209	25	521	522	523	524	525	4	Thß½ng S½n Chính Tây	Ði«n Vñc	20400009	20400012	20400021	20102004	20102005	37	172
6	210	24	521	522	523	524	525	5	Nh¸ Häi Chính Tây	Ði«n Vñc	20400006	20400010	20400019	20102004	20102005	34	100
7	211	20	536	537	538	539	540	6	Thäo Nguyên Chính Tây	Liêu Ð¸a	20400009	20400015	20400016	20102004	20102005	66	202
8	212	21	536	537	538	539	540	7	Liêu Tây Tây B¡c	Liêu Ð¸a	20400006	20400011	20400020	20102004	20102005	75	35
9	213	32	506	507	508	509	510	8	Võ Di Chính Tây	Lînh Nam	20400009	20400015	20400023	20102004	20102005	92	171
10	214	33	506	507	508	509	510	9	Mai Lînh Tây B¡c	Lînh Nam	20400006	20400011	20400025	20102004	20102005	31	90
11	215	26	526	527	528	529	530	10	ThÕch Lâm Chính Nam	ThÕch Thành	20400009	20400015	20400017	20102004	20102005	278	281
12	216	27	526	527	528	529	530	11	Ng÷c Khê Tây Nam	ThÕch Thành	20400006	20400011	20400019	20102004	20102005	33	251
13	217	22	501	502	503	504	505	12	Trß¶ng BÕch S½n Tây B¡c	Tái ngoÕi	20400004	20400013	20400020	20102004	20102005	39	63
14	218	23	501	502	503	504	505	13	Hoàng Long Phü Tây B¡c	Tái ngoÕi	20400009	20400014	20400022	20102004	20102005	28	54
15	219	34	516	517	518	519	520	14	Nam Häi Chính B¡c	CØa bi¬n	20400009	20400014	20400024	20102004	20102005	134	40
16	220	35	516	517	518	519	520	15	QuÏnh Châu Chính Tây	CØa bi¬n	20400004	20400013	20400027	20102004	20102005	80	139
17	221	28	531	532	533	534	535	16	Nam Chiªu Tây Nam	Miêu Vñc	20400009	20400014	20400026	20102004	20102005	39	254
18	222	29	531	532	533	534	535	17	Miêu Cß½ng Chính Ðông	Miêu Vñc	20400004	20400013	20400019	20102004	20102005	281	160
