INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
index	class	quality	type	Medindex	??	name$1$	????$1$	??	????	????	????	????	????	????	????	????	??????	??????	??????	????$1$	????	??id	??	SubClass	????
20005020	2	0	5	20	OtherTools2_14	V§t ph¦m chßa ğßşc biªt	V§t ph¦m chßa ğßşc biªt	1	10	2	4	20	-1	-1	1	8	1	-1	-1	V§t ph¦m chßa ğßşc biªt	1	0	2000	-1	0
20101000	2	1	1	0	XinFa1_7	Tàng Bäo Ğ° (VÑt Bö)	Tàng Bäo Ğ°	1	0	0	4	1	-1	-1	1	8	1	-1	-1	Ngân Phiªu	1	0	2000	-1	0
20101001	2	1	1	1	Herbal1_1	BÕch Anh	Gia Khoa thñc v§t. V¸ Kh±, Tân, Vi Hàn, Nh§p Can, Ğäm Kinh. Hæu Thanh Nhi®t, Lşi Th¤p, Khß Phong, giäi ğµc, Tiêu Thûng Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	1	375	10	4	250	-1	-1	1	8	1	-1	-1	Dßşc Li®u S½ C¤p	1	0	2000	-1	0
20101002	2	1	1	2	Herbal1_2	B° Hoàng	Cây hß½ng b° Khoa thñc v§t. V¸ Cam Bình, Nh§p Can, Tâm Kinh. Hæu thu li­m c¥m máu, lßu thông máu Khß º Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	1	625	10	4	250	-1	-1	1	8	1	-1	-1	Dßşc Li®u S½ C¤p	1	0	2000	-1	0
20101003	2	1	1	3	Herbal2_2	Xuyên B¯i	Bách hşp Khoa thñc v§t. Thân cü khô ráo, V¸ Cam Nhi B±. Hæu khöi ho, Bình Can, dùng thu¯c lßu thông khí huyªt Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	2	625	20	4	250	-1	-1	1	8	2	-1	-1	Dßşc Li®u S½ C¤p	2	0	2000	-1	0
20101004	2	1	1	4	Herbal1_6	Nguyên H°	Cây thu¯c phi®n Khoa thñc v§t, bi®t danh cây diên h° sách. Thân cü Cung Dßşc Døng, Hæu lßu thông máu Hoá º, dùng thu¯c lßu thông khí huyªt giäm ğau Chi công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	2	875	20	4	250	-1	-1	1	8	2	-1	-1	Dßşc Li®u S½ C¤p	2	0	2000	-1	0
20101005	2	1	1	5	Herbal1_8	TÏ Bà	Tß¶ng Vi Khoa thñc v§t. Hi®p Khä làm thu¯c, Tính Bình, V¸ Kh±, Hæu Thanh Phª HÕ Khí, Hoà V¸ Giáng Ngh¸ch, Tr¸ Li®u Phª Nhi®t ho khan, nôn mØa Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	3	875	30	4	250	-1	-1	1	8	3	-1	-1	Dßşc Li®u S½ C¤p	3	0	2000	-1	0
20101006	2	1	1	6	Herbal2_4	Cam Thäo	H÷ ğ§u thñc v§t. Tính Bình, V¸ Cam, Hæu giäi ğµc, Khß Ğàm, giäm ğau, Giäi Kinh cÑ thª Kháng Nham Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	3	875	30	4	250	-1	-1	1	8	3	-1	-1	Dßşc Li®u S½ C¤p	3	0	2000	-1	0
20101007	2	1	1	7	Herbal1_10	Kim Ngân Hoa	Nhçn Khoa thñc v§t. V¸ Cam, Hàn, Nh§p Phª, Tâm, V¸ Kinh. Hæu Thanh Nhi®t giäi ğµc, Lß½ng Tän Phong Nhi®t Ğích công hi®u. Có sÇn Vu Chª Dßşc ĞÆng. #r#WT?i#GĞÕi Lı(99, 128)#RPhó Ğang Quy#W, #GLÕc Dß½ng(136, 165)#RTrß½ng Minh Cänh#W, #GLâu Lan(30, 186)#RLancelot#W, #GThúc Hà C± Tr¤n(189, 146)#RTß·ng Minh Hiên#WXØ Ğô có th¬ H÷c T§p#GChª Dßşc kÛ nång#W. Ngß¶i ch½i Ğích c¤p b§c ğÕt t¾i#G30#WC¤p có th¬ H÷c T§p.	3	1125	30	4	250	-1	-1	1	8	3	-1	-1	Dßşc Li®u S½ C¤p	3	0	2000	-1	0
