INT	INT	INT	INT	INT	INT	INT	INT	STRING
INT	INT	INT	INT	INT	INT	INT	INT	STRING
1	1	0	195	-1	-1	-1	-1	Chiªm ðßþc Hoan S¡c trñc tiªp mua
2	2	0	248	-1	-1	-1	-1	Trang phøc m¯t nhuµm màu
3	3	0	182	-1	-1	-1	-1	Ð±i m¾i Li¬m Hình
4	4	0	145	-1	-1	-1	-1	Ð±i m¾i ki¬u tóc
5	5	0	182	-1	-1	-1	-1	Ð±i m¾i hình cái ð¥u
6	6	0	145	-1	-1	-1	-1	Ð±i m¾i Phát S¡c
7	7	0	182	-1	-1	-1	-1	Ph¯i SÑc d¶i ði Phù
8	8	0	137	-1	-1	-1	-1	Hoan Thª vû khí
9	9	0	193	-1	-1	-1	-1	Bäo thÕch trang b¸ tß½ng quan
10	10	0	248	-1	-1	-1	-1	Càn quét Nguy®t Ca
11	11	0	248	-1	-1	-1	-1	Càn quét Nh§t Ca
12	12	0	248	-1	-1	-1	-1	Phiªu Hôn L­ Cao C¤p
13	13	0	248	-1	-1	-1	-1	Thiên Bäo chú giäi và chú thích
14	14	0	248	-1	-1	-1	-1	Ð¸a Trân chú giäi và chú thích
15	15	0	195	-1	-1	-1	-1	Thú H°n nhuµm màu trñc tiªp mua
16	16	0	195	-1	-1	-1	-1	Thú Linh xem xét ðÕo cø
17	17	0	195	-1	-1	-1	-1	Thú Linh Bäo C¤p Phù
