INT	INT	INT	INT	INT	INT
INT	INT	INT	INT	INT	INT
1	17012	100	45861	1	3
2	17013	101	45862	1	3
3	17014	102	45863	1	3
4	17015	103	45864	1	3
5	17016	104	45865	1	3
6	17017	105	45871	1	2
7	17018	106	45872	1	2
8	17019	107	45873	1	2
9	17020	108	45874	1	2
10	17021	109	45875	1	2
11	17022	110	45866	1	3
12	17023	111	45867	1	3
13	17024	112	45868	1	3
14	17025	113	45869	1	3
15	17026	114	45870	1	3
16	17027	115	45876	1	3
17	17028	116	45877	1	3
18	17029	117	45878	1	3
19	17030	118	45879	1	3
20	17031	119	45880	1	3
21	17137	115	46416	1	1
22	17138	116	46417	1	1
23	17139	117	46418	1	1
24	17140	118	46419	1	1
25	17141	119	46420	1	1
26	17112	100	-1	2	3
27	17113	101	-1	2	3
28	17114	102	-1	2	3
29	17115	103	-1	2	3
30	17116	104	-1	2	3
31	17117	105	-1	2	2
32	17118	106	-1	2	2
33	17119	107	-1	2	2
34	17120	108	-1	2	2
35	17121	109	-1	2	2
36	17122	110	-1	2	3
37	17123	111	-1	2	3
38	17124	112	-1	2	3
39	17125	113	-1	2	3
40	17126	114	-1	2	3
41	17127	115	-1	2	3
42	17128	116	-1	2	3
43	17129	117	-1	2	3
44	17130	118	-1	2	3
45	17131	119	-1	2	3
46	17132	115	-1	2	1
47	17133	116	-1	2	1
48	17134	117	-1	2	1
49	17135	118	-1	2	1
50	17136	119	-1	2	1
