INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1	Hüy bö	#{DWJJ_240329_212}	Hüy bö	Hüy bö	DWJinJie01_13	DWJinJie01_13	DWJinJie01_13	DWJinJie01_14	DWJinJie01_14	DWJinJie01_14	DWJinJie01_15	DWJinJie01_15	DWJinJie01_15	DWJinJie01_16	10	20	30	40	50	60	70	80	90	100	200	-1	10	0
2	Bång Ti­n	#{DWJJ_240329_213}	SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång Ð¯i møc tiêu tÕo thành thß½ng t±n Th¶i, Hæu 2%%xác su¤t thêm vào Ð¯i công kích møc tiêu chung quanh 5M­ trong phÕm vi nhi«u nh¤t 6Cá møc tiêu tÕo thành tñ thân cao nh¤t thuµc tính Công%s%%Ðích thß½ng t±n#r#GTHi«n Cá Vån kh¡c ð¥y C¤p thß½ng t±n hi®u quä Vi 50%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 100%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng thß½ng t±n hi®u quä Vi%s%%#cfff263tñ thân cao nh¤t thuµc tính Công	DWJinJie04_5	DWJinJie04_5	DWJinJie04_5	DWJinJie04_6	DWJinJie04_6	DWJinJie04_6	DWJinJie04_7	DWJinJie04_7	DWJinJie04_7	DWJinJie04_8	50	100	150	200	250	300	350	400	450	500	1000	-1	10	30900229
3	Mãnh Kích	#{DWJJ_240329_214}	SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång Ð¯i møc tiêu tÕo thành thß½ng t±n Th¶i, Hæu%s%%xác su¤t SÑ thß½ng t±n g¤p bµi#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 3%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 6%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng xác su¤t Vi%s%%	DWJinJie05_9	DWJinJie05_9	DWJinJie05_9	DWJinJie05_10	DWJinJie05_10	DWJinJie05_10	DWJinJie05_11	DWJinJie05_11	DWJinJie05_11	DWJinJie05_12	3	6	9	12	15	18	21	24	27	30	60	-1	10	30900234
4	Phá Phçu	#{DWJJ_240329_215}	Tß¾ng tñ thân%s%%Ðích ngoÕi công phòng ngñ chuy¬n hóa Vi ngoÕi công công kích#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 15%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 30%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng ngoÕi công phòng ngñ chuy¬n hóa Vi%s%%	DWJinJie06_1	DWJinJie06_1	DWJinJie06_1	DWJinJie06_2	DWJinJie06_2	DWJinJie06_2	DWJinJie06_3	DWJinJie06_3	DWJinJie06_3	DWJinJie06_4	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900236
5	Tr¥m Châu	#{DWJJ_240329_216}	Tß¾ng tñ thân%s%%Ðích nµi công phòng ngñ chuy¬n hóa Vi nµi công công kích#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 15%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 30%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng nµi công phòng ngñ chuy¬n hóa Vi%s%%	DWJinJie06_5	DWJinJie06_5	DWJinJie06_5	DWJinJie06_6	DWJinJie06_6	DWJinJie06_6	DWJinJie06_7	DWJinJie06_7	DWJinJie06_7	DWJinJie06_8	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900237
6	T¤n Änh	#{DWJJ_240329_217}	S½ C¤p †n Ðµn giäm b¾t%sSao Ðích th¶i gian phøc h°i#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 7Sao, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 14Sao	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng làm lÕnh ng¡n lÕi th¶i gian%s#cfff263Sao	DWJinJie08_1	DWJinJie08_1	DWJinJie08_1	DWJinJie08_2	DWJinJie08_2	DWJinJie08_2	DWJinJie08_3	DWJinJie08_3	DWJinJie08_3	DWJinJie08_4	500	1000	1500	2000	2500	3000	4000	5000	6000	7000	14000	-1	1000	30900243
7	Sinh Tân	#{DWJJ_240329_218}	Dùng ån Bí Chª hàng hóa S· cung c¤p Ðích tång hi®u quä tång cß¶ng%s%%(hàng hóa tång có hi®u lñc Th¶i không th¬ dÞ xu¯ng)#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 15%%, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 30%%	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c Cµng SÑ hàng hóa hi®u quä tång cß¶ng%s%%	DWJinJie01_5	DWJinJie01_5	DWJinJie01_5	DWJinJie01_6	DWJinJie01_6	DWJinJie01_6	DWJinJie01_7	DWJinJie01_7	DWJinJie01_7	DWJinJie01_8	10	20	30	40	50	70	90	110	130	150	300	-1	10	30900218
8	DßÞng th¥n	#{DWJJ_240329_219}	SØ døng 20Sao Ðích Bí Chª thu¯c Th¶i thêm vào gia tång liên tøc th¶i gian%sSao#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 10Sao, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 20Sao	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng liên tøc th¶i gian gia tång Vi%s#cfff263Sao	DWJinJie01_9	DWJinJie01_9	DWJinJie01_9	DWJinJie01_10	DWJinJie01_10	DWJinJie01_10	DWJinJie01_11	DWJinJie01_11	DWJinJie01_11	DWJinJie01_12	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	20000	-1	1000	30900219
9	Tàn ðµc	#{DWJJ_240329_220}	SÑ møc tiêu m²i l¥n Trung Ðµc Ho£c T± Chú t±n th¤t Ðích Huyªt Lßþng gia tång%sÐi¬m#r#GTHi«n Cá Vån kh¡c ð¥y C¤p hi®u quä Vi 100Ði¬m, Toàn Vån Kh¡c T±ng có hi®u lñc hÕn mÑc cao nh¤t Vi 200Ði¬m	#cfff263trß¾c m£t Dî kích hoÕt Ðích Vån Kh¡c T±ng Trung Ðµc Ho£c T± Chú thß½ng t±n gia tång%s#cfff263Ði¬m	DWJinJie04_9	DWJinJie04_9	DWJinJie04_9	DWJinJie04_10	DWJinJie04_10	DWJinJie04_10	DWJinJie04_11	DWJinJie04_11	DWJinJie04_11	DWJinJie04_12	10	20	30	40	50	60	70	80	90	100	200	-1	1	30900230
