INT	INT	INT	INT	INT	INT	INT	INT	STRING
INT	INT	INT	INT	INT	INT	INT	INT	STRING
1	10125835	2	1	1	550	20240801	0	情伴朝夕30天
2	38003269	2	1	1	1000	20240801	1	情伴朝夕礼盒(时装二选一)
3	30008235	2	1	1	80	20240801	2	定颜珠：新妆
4	20307251	2	1	1	110	20240801	3	婚冠发型图
5	30008236	2	1	1	80	20240815	4	定颜珠：鬼马
6	30103124	2	1	1	200	20240829	5	动作包：时空穿梭
7	20310168	1	5	1	8	20240801	7	金蚕丝
8	30503140	1	5	1	36	20240801	8	虹耀石
9	20502003	1	1	1	180	20240801	9	3级秘银
10	20501003	1	1	1	180	20240801	10	3级棉布
11	20600002	1	2	1	80	20240801	11	高级长春玉
12	38002675	1	1	1	240	20240801	12	神兽魂玉礼盒
