INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
1	20310168	Kim Tàm Ti	1	2	1	1	0	50	4
2	20800013	Hµi Kim Tr¥n	1	2	1	1	1	25	10
3	38002677	Linh thú H°n Ng÷c L­ HÕp	1	1	1	1	2	5	10
4	30900006	Thiên Canh Cß¶ng Hóa Tinh Hoa	0	1	1	1	3	30	6
5	30008034	Kim Cß½ng Sa	0	1	1	1	4	30	8
6	20310168	Kim Tàm Ti	1	2	1	2	5	50	2
7	20800013	Hµi Kim Tr¥n	1	2	1	2	6	25	6
8	38002676	Hoang Thú H°n Ng÷c L­ HÕp	1	1	1	2	7	10	15
9	38002533	Tôi H°n D¸ch	0	1	1	2	8	30	2
10	30501361	Công Lñc Ðan	0	1	1	2	9	15	10
11	50313004	Ru-bi C¤p 3	0	2	1	2	10	5	21
12	38002221	Tinh thÕch C¤p 3 L­ HÕp	1	1	1	2	11	5	21
13	20800013	Hµi Kim Tr¥n	1	2	1	4	12	20	2
14	38002675	Th¥n thú H°n Ng÷c L­ HÕp	0	1	1	4	13	10	30
15	38002540	Cao c¤p Tôi H°n Tuý	0	1	1	4	14	20	2
16	20502003	Bí Ngân C¤p 3	0	2	1	4	15	10	20
17	20501003	Miên B¯ C¤p 3	0	2	1	4	16	10	20
18	10124399	H°ng Th¥n ngàn d£m	1	1	1	4	17	1	1000
19	10141953	T÷a kÜ: Nhiªp Cänh	1	1	1	4	18	1	1000
20	38002397	Võ ðÕo Huy«n Nguyên Ðan	1	1	1	4	19	1	10
21	30120003	V§t ph¦m trang sÑc Thân Pháp Ðiêu Vån Ð° DÕng	1	1	1	4	20	1	298
22	30120002	V§t ph¦m trang sÑc Linh Khí Ðiêu Vån Ð° DÕng	1	1	1	4	21	1	298
23	30120001	V§t ph¦m trang sÑc Lñc Lßþng Ðiêu Vån Ð° DÕng	1	1	1	4	22	1	298
