INT	INT	INT	INT	STRING
INT	INT	INT	INT	STRING
1	16725	100	1	秦皇地宫四层
2	16726	101	1	秦皇地宫四层
3	16727	102	1	秦皇地宫四层
4	16728	103	1	秦皇地宫四层
5	16729	104	1	秦皇地宫四层
6	16730	105	1	秦皇地宫四层
7	16731	106	1	秦皇地宫四层
8	16732	107	1	秦皇地宫四层
9	16733	108	1	秦皇地宫四层
10	16734	109	1	秦皇地宫四层
11	16735	110	1	秦皇地宫四层
12	16736	111	1	秦皇地宫四层
13	16737	112	1	秦皇地宫四层
14	16738	113	1	秦皇地宫四层
15	16739	114	1	秦皇地宫四层
16	16740	115	1	秦皇地宫四层
17	16741	116	1	秦皇地宫四层
18	16742	117	1	秦皇地宫四层
19	16743	118	1	秦皇地宫四层
20	16744	119	1	秦皇地宫四层
21	16745	100	2	秦皇地宫四层
22	16746	101	2	秦皇地宫四层
23	16747	102	2	秦皇地宫四层
24	16748	103	2	秦皇地宫四层
25	16749	104	2	秦皇地宫四层
26	16750	105	2	秦皇地宫四层
27	16751	106	2	秦皇地宫四层
28	16752	107	2	秦皇地宫四层
29	16753	108	2	秦皇地宫四层
30	16754	109	2	秦皇地宫四层
31	16755	110	2	秦皇地宫四层
32	16756	111	2	秦皇地宫四层
33	16757	112	2	秦皇地宫四层
34	16758	113	2	秦皇地宫四层
35	16759	114	2	秦皇地宫四层
36	16760	115	2	秦皇地宫四层
37	16761	116	2	秦皇地宫四层
38	16762	117	2	秦皇地宫四层
39	16763	118	2	秦皇地宫四层
40	16764	119	2	秦皇地宫四层
41	16765	100	3	秦皇地宫四层
42	16766	101	3	秦皇地宫四层
43	16767	102	3	秦皇地宫四层
44	16768	103	3	秦皇地宫四层
45	16769	104	3	秦皇地宫四层
46	16770	105	3	秦皇地宫四层
47	16771	106	3	秦皇地宫四层
48	16772	107	3	秦皇地宫四层
49	16773	108	3	秦皇地宫四层
50	16774	109	3	秦皇地宫四层
51	16775	110	3	秦皇地宫四层
52	16776	111	3	秦皇地宫四层
53	16777	112	3	秦皇地宫四层
54	16778	113	3	秦皇地宫四层
55	16779	114	3	秦皇地宫四层
56	16780	115	3	秦皇地宫四层
57	16781	116	3	秦皇地宫四层
58	16782	117	3	秦皇地宫四层
59	16783	118	3	秦皇地宫四层
60	16784	119	3	秦皇地宫四层
61	16785	100	4	秦皇地宫四层
62	16786	101	4	秦皇地宫四层
63	16787	102	4	秦皇地宫四层
64	16788	103	4	秦皇地宫四层
65	16789	104	4	秦皇地宫四层
66	16790	105	4	秦皇地宫四层
67	16791	106	4	秦皇地宫四层
68	16792	107	4	秦皇地宫四层
69	16793	108	4	秦皇地宫四层
70	16794	109	4	秦皇地宫四层
71	16795	110	4	秦皇地宫四层
72	16796	111	4	秦皇地宫四层
73	16797	112	4	秦皇地宫四层
74	16798	113	4	秦皇地宫四层
75	16799	114	4	秦皇地宫四层
76	16800	115	4	秦皇地宫四层
77	16801	116	4	秦皇地宫四层
78	16802	117	4	秦皇地宫四层
79	16803	118	4	秦皇地宫四层
80	16804	119	4	秦皇地宫四层
81	16805	100	5	秦皇地宫四层
82	16806	101	5	秦皇地宫四层
83	16807	102	5	秦皇地宫四层
84	16808	103	5	秦皇地宫四层
85	16809	104	5	秦皇地宫四层
86	16810	105	5	秦皇地宫四层
87	16811	106	5	秦皇地宫四层
88	16812	107	5	秦皇地宫四层
89	16813	108	5	秦皇地宫四层
90	16814	109	5	秦皇地宫四层
91	16815	110	5	秦皇地宫四层
92	16816	111	5	秦皇地宫四层
93	16817	112	5	秦皇地宫四层
94	16818	113	5	秦皇地宫四层
95	16819	114	5	秦皇地宫四层
96	16820	115	5	秦皇地宫四层
97	16821	116	5	秦皇地宫四层
98	16822	117	5	秦皇地宫四层
99	16823	118	5	秦皇地宫四层
100	16824	119	5	秦皇地宫四层
101	16825	100	6	秦皇地宫四层
102	16826	101	6	秦皇地宫四层
103	16827	102	6	秦皇地宫四层
104	16828	103	6	秦皇地宫四层
105	16829	104	6	秦皇地宫四层
106	16830	105	6	秦皇地宫四层
107	16831	106	6	秦皇地宫四层
108	16832	107	6	秦皇地宫四层
109	16833	108	6	秦皇地宫四层
110	16834	109	6	秦皇地宫四层
111	16835	110	6	秦皇地宫四层
112	16836	111	6	秦皇地宫四层
113	16837	112	6	秦皇地宫四层
114	16838	113	6	秦皇地宫四层
115	16839	114	6	秦皇地宫四层
116	16840	115	6	秦皇地宫四层
117	16841	116	6	秦皇地宫四层
118	16842	117	6	秦皇地宫四层
119	16843	118	6	秦皇地宫四层
120	16844	119	6	秦皇地宫四层
