INT	INT	STRING	STRING
GroupID	AttrCount	AttrIndexes	AttrValues
1	8	1,11,9,1,11,9,14,13	270,60,60,270,60,60,90,30
2	9	1,11,9,1,11,9,14,13,15	270,60,60,270,60,60,90,30,1
3	7	1,11,9,1,11,9,5	360,80,80,360,80,80,6
4	3	18,15,15	20,3,3
5	7	1,11,9,1,11,9,5	320,80,80,320,80,80,7
6	6	1,11,9,1,11,9	320,80,80,320,80,80
7	7	1,11,9,1,11,9,5	320,80,80,320,80,80,8
8	9	1,11,9,1,11,9,14,13,15	720,100,100,320,100,100,90,30,1
9	9	1,11,9,1,11,9,14,13,15	720,127,127,320,127,127,142,47,1
10	11	19,5,6,4,7,6,14,13,16,11,9	20,8,8,8,5,8,142,47,1,127,127
11	10	1,2,11,9,2,1,7,6,3,4	720,720,127,127,400,400,5,8,8,8
12	9	17,11,9,1,11,9,14,13,15	20,127,127,600,127,127,142,47,1
13	8	1,11,9,1,11,9,14,13	720,127,127,400,127,127,142,47
14	8	18,11,9,1,11,9,14,13	20,127,127,500,127,127,142,47
15	6	17,18,19,20,14,13	10,10,10,10,142,47
16	8	21,22,23,24,11,9,14,13	3,3,3,3,127,127,142,47
17	10	25,26,27,28,11,9,14,13,12,10	3,3,3,3,127,127,142,47,127,127
18	6	17,18,19,20,14,13	10,10,10,10,142,47
19	7	3,4,5,6,7,8,16	8,8,8,8,5,4,1
20	7	3,4,5,6,7,8,16	8,8,8,8,5,4,1
21	7	3,4,5,6,7,8,16	8,8,8,8,5,4,1
22	6	17,18,19,20,14,13	10,10,10,10,142,47
23	7	3,4,5,6,7,8,16	8,8,8,8,5,4,1
24	7	3,4,5,6,7,8,16	8,8,8,8,5,4,1
25	2	17,1	10,720
26	2	18,1	10,720
27	2	19,1	10,720
28	2	20,1	10,720
29	2	5,1	10,720
30	6	10,12,14,13,3,4	127,127,142,47,8,8
31	6	10,12,14,13,3,4	127,127,142,47,8,8
32	6	10,12,14,13,1,5	127,127,142,47,400,10
33	6	10,12,14,13,3,4	127,127,142,47,8,8
34	6	10,12,14,13,3,4	127,127,142,47,8,8
35	8	17,18,19,20,29,30,31,32	10,10,10,10,1,1,1,1
36	6	9,11,14,13,5,6	127,127,142,47,8,8
37	6	9,11,14,13,5,6	127,127,142,47,8,8
38	4	21,22,23,24	3,3,3,3
39	4	25,26,27,28	3,3,3,3
40	6	9,11,14,13,5,6	127,127,142,47,8,8
41	5	17,18,19,20,1	10,10,10,10,720
42	6	9,11,14,13,5,6	127,127,142,47,8,8
43	6	9,11,14,13,5,6	127,127,142,47,8,8
44	6	9,11,14,13,5,17	127,127,142,47,8,10
45	5	9,11,14,13,18	127,127,142,47,10
46	6	9,11,14,13,1,19	127,127,142,47,720,10
47	5	10,12,14,13,1	127,127,142,47,720,10
48	6	3,4,5,6,7,20	8,8,8,8,20,20
49	2	19,17	20,20
50	3	1,1,1	720,720,720
51	4	17,18,19,20	10,10,10,10
52	4	17,18,19,20	10,10,10,10
53	4	17,18,19,20	10,10,10,10
54	4	17,18,19,20	10,10,10,10
55	4	17,18,19,20	10,10,10,10
56	4	17,18,19,20	10,10,10,10
57	4	17,18,19,20	10,10,10,10
58	4	17,18,19,20	10,10,10,10
59	4	17,18,19,20	10,10,10,10
60	1	8	4
61	5	3,4,6,7,5	8,8,8,5,8
62	5	3,4,6,7,5	8,8,8,5,8
63	2	2,1	720,720
64	11	3,4,9,11,14,13,18,10,17,20,19	8,8,127,127,142,47,10,127,10,10,10
65	13	3,4,5,6,7,17,18,19,20,14,13,15,18	8,8,8,8,5,10,10,10,10,142,47,1,10
66	7	29,30,31,32,15,16,8	1,1,1,1,1,1,4
67	8	25,26,27,28,21,22,23,24	3,3,3,3,3,3,3,3
68	2	2,1	720,720
69	12	17,18,19,20,3,4,5,6,29,30,31,32	10,10,10,10,8,8,8,8,1,1,1,1
70	3	2,1,7	720,720,5
71	7	1,11,9,1,11,9,5	720,127,127,720,127,127,8
72	3	2,1,7	720,720,5
73	5	3,4,6,7,5	8,8,8,5,8
