INT	STRING
ID	Name
1	Huyªt Thßþng HÕn +
2	Khí hÕn mÑc cao nh¤t +
3	Lñc lßþng +
4	Linh Khí +
5	Th¬ lñc +
6	Ð¸nh lñc +
7	Thân pháp +
8	T¤t cä thuµc tính +
9	NgoÕi công công kích +
10	NgoÕi công phòng ngñ +
11	Nµi công công kích +
12	Nµi công phòng ngñ +
13	Thi¬m T¸ +
14	M®nh Trung +
15	Hi¬u ý công kích +
16	Hi¬u ý phòng ngñ +
17	Bång Công Kích +
18	Hoä Công Kích +
19	Huy«n Công Kích +
20	Ðµc Công Kích +
21	Bång Kháng +
22	Hoä Kháng +
23	Huy«n Kháng +
24	Ðµc Kháng +
25	Giäm Bång Kháng +
26	Giäm Hoä Kháng +
27	Giäm Huy«n Kháng +
28	Giäm Ðµc Kháng +
29	Giäm Bång Kháng hÕn cu¯i +
30	Giäm Hoä Kháng hÕn cu¯i +
31	Giäm Huy«n Kháng hÕn cu¯i +
32	Giäm Ðµc Kháng hÕn cu¯i +
