INT	INT	INT	STRING	INT
ID	FenYe	GroupIndex	GroupName	MonsterCount
1	1	1	Vô Lßþng S½n	8
2	1	2	Kiªm Các	9
3	1	3	Ðôn Hoàng	7
4	1	4	Kính K°	3
5	1	5	Tung S½n	7
6	1	6	Tây H°	6
7	1	7	Nhî Häi	7
8	1	8	NhÕn Nam	9
9	1	9	Long Tuy«n	9
10	1	10	Thß½ng S½n	11
11	1	11	NhÕn B¡c	10
12	1	12	Võ Di	9
13	1	13	ThÕch Lâm	8
14	1	14	Thäo Nguyên	8
15	1	15	Mai Lînh	6
16	1	16	Ng÷c Khê	8
17	1	17	Liêu Tây	10
18	1	18	Nam Vñc	6
19	1	19	Nam Chiêu	7
20	1	20	Diêm H°	7
21	1	21	Trß¶ng BÕch S½n	7
22	1	22	QuÏnh Châu	6
23	1	23	Miêu Cß½ng	7
24	1	24	Hoàng Long Phü	7
25	2	1	Bäo Tàng Ðµng T¥ng 1	2
26	2	2	Bäo Tàng Ðµng T¥ng 2	2
27	2	3	Bäo Tàng Ðµng T¥ng 3	2
28	2	4	Bäo Tàng Ðµng T¥ng 4	2
29	2	5	Bäo Tàng Ðµng T¥ng 5	2
30	2	6	S½n Ðµng Thuy«n ‘	6
31	2	7	Ôn Tuy«n Ðµng	6
32	2	8	Ma Nhai Ðµng	6
33	2	9	Kiªm Chüng	6
34	2	10	Dã Nhân Câu	6
35	2	11	Thanh Nguyên	8
36	2	12	Thäo Li®u Trß¶ng	6
37	2	13	Hoàng Long Ðµng	6
38	2	14	Thiên Khanh Thø Ðµng	4
39	2	15	Thanh Nguyên S½n Ðµng	4
40	2	16	ThuÖ Tinh H°	6
41	2	17	Miêu Nhân Ðµng	5
42	2	18	Ðào Hoa Nguyên	6
43	2	19	Tiên Vß½ng Ph¥n	6
44	2	20	Ngân Ngai Tuyªt Nguyên	6
45	2	21	Häi T£c Ðµng	5
46	2	22	BÕch Sa Diêm Khanh	6
47	2	23	Tuyªt Lang H°	5
48	3	1	Huy«n Vû Ðäo	6
49	3	2	Thánh Thú S½n	2
50	3	3	Hàn Ng÷c C¯c	3
51	3	4	Nga Mi	4
52	3	5	Cái Bang	4
53	3	6	Minh Giáo	4
54	3	7	Thiªu Lâm	4
55	3	8	Thiên Long	4
56	3	9	Thiên S½n	4
57	3	10	Võ Ðang	4
58	3	11	Tiêu dao	4
59	3	12	Tinh Túc	4
60	3	13	Thúc Hà C± Tr¤n	1
61	4	1	Trân Long KÏ Cuµc	5
62	4	2	Lâu Lan t¥m bäo	5
63	4	3	T£c Binh Xâm Nh§p	2
64	4	4	Tô Châu Tam Hoàn	11
65	4	5	Lâu Lan Tam Hoàn	13
66	4	6	Phiêu Mi­u Phong	7
67	4	7	Yªn TØ ‘	8
68	4	8	Môn phái b÷n ðÕo chích	2
69	4	9	Mß¶i hai Sát Tinh	12
70	4	10	Tàng Kinh Các	3
71	4	11	Dã Trß BÕo T¦u	7
72	4	12	EntercopyScene 1	3
73	4	13	Xúc Cúc ðÕi tái	5
