INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	FLOAT	FLOAT
ID	FenYe	GroupIndex	MonsterIndex	Name	Num	MapID	PosX	PosZ	ModelID	CameraHeight	CameraDistance
1	1	1	1	布尔善	1	6	235	131	1000	1	5
2	1	1	2	大铁网	1	6	273	210	1001	1	7
3	1	1	3	闪电豹	1	6	202	82	1002	0.6	6
4	1	1	4	山蛛	1	6	128	192	1003	1	8
5	1	1	5	大黄蜂	1	6	138	80	1004	1.7	7
6	1	1	6	高山白猿	1	6	87	159	1005	0.4	4
7	1	1	7	剪径小贼	1	6	178	138	1006	1	6
8	1	1	8	芦苇草人	1	6	190	137	1007	0.9	6
9	1	2	1	大脸	1	7	167	150	1008	0.9	5.5
10	1	2	2	浮桥	1	7	147	229	1009	0.8	5
11	1	2	3	舞空	1	7	67	168	1010	0.4	3
12	1	2	4	修罗小鬼	1	7	233	139	1011	1.8	8
13	1	2	5	蜀道白猿	1	7	65	252	1012	0.4	3
14	1	2	6	鬼面侏儒	1	7	209	146	1013	1	6.5
15	1	2	7	榆木傀儡	1	7	230	119	1014	1.5	9
16	1	2	8	蜀道黑猿	1	7	67	133	1015	0.4	3
17	1	2	9	白茅草人	1	7	197	216	1016	1	7
18	1	3	1	李重贵	1	8	81	99	1017	1.1	6.5
19	1	3	2	沙坡狼	5	8	238	165	1018	0.5	4.5
20	1	3	3	残破兵佣	5	8	155	180	1019	1	6
21	1	3	4	沙漠马匪	5	8	109	261	1020	1.5	9
22	1	3	5	榆木傀儡	5	8	223	216	1021	1.5	9
23	1	3	6	荒原豹	5	8	194	97	1022	0.5	5.5
24	1	3	7	恶猿	5	8	55	202	1023	0.5	4
25	1	4	1	混江龙	1	5	142	118	1024	0.7	5
26	1	4	2	出洞蛟	1	5	142	118	1025	0.7	5
27	1	4	3	翻江海蜃	1	5	142	118	1026	0.7	5
28	1	5	1	门墩	1	3	128	68	1027	1	8
29	1	5	2	铜轨	1	3	282	79	1028	1	8
30	1	5	3	白额虎	5	3	50	179	1029	0.5	5
31	1	5	4	遗弃铜人	5	3	246	239	1030	1.3	8
32	1	5	5	卢崖铜人	5	3	280	202	1031	1.3	8
33	1	5	6	遗弃木人	5	3	89	74	1032	1.5	9
34	1	5	7	颍水狼	5	3	196	193	1033	0.4	4
35	1	6	1	花港毒蜂	5	30	68	48	1034	1	8
36	1	6	2	水鬼探子	5	30	182	209	1035	0.8	6
37	1	6	3	断桥花妖	5	30	217	74	1036	1	8
38	1	6	4	白堤柳鬼	5	30	64	240	1037	1.2	8
39	1	6	5	归风庄庄客	5	30	51	184	1038	1	8
40	1	6	6	龙井水贼	5	30	251	228	1039	0.8	5
41	1	7	1	恶狼守卫	1	24	111	130	1040	1	6
42	1	7	2	花斑豹	5	24	225	77	1041	0.5	5.5
43	1	7	3	赤脚野人	5	24	153	127	1042	1	8
44	1	7	4	狼族探子	5	24	229	146	1043	1	8
45	1	7	5	风狼	5	24	189	195	1044	0.5	4
46	1	7	6	狼族荆棘使	5	24	134	276	1045	1	8
47	1	7	7	狼族战士	5	24	99	121	1046	1	8
48	1	8	1	秦伯起	1	18	38	206	1047	0.8	6
49	1	8	2	深水怪兽	1	18	82	73	1048	0.3	6
50	1	8	3	西北狼	5	18	240	262	1049	0.5	4
51	1	8	4	金钱豹	5	18	253	210	1050	0.5	5.5
52	1	8	5	灰熊	5	18	184	66	1051	0.7	6.5
53	1	8	6	秦家寨探子	5	18	127	123	1052	0.9	7
54	1	8	7	秦家寨喽啰	5	18	37	129	1053	0.9	7
55	1	8	8	秦家寨亲兵	5	18	68	201	1054	0.9	7
56	1	8	9	骆奉仙	1	18	156	163	1055	1	8
57	1	9	1	常归云	1	31	242	255	1056	1.1	6
58	1	9	2	通天	1	31	48	51	1057	0.8	5
59	1	9	3	归风剑魄	1	31	221	70	1058	1	8
60	1	9	4	龙泉豹	5	31	79	250	1059	1	8
61	1	9	5	拦路水鬼	5	31	60	194	1060	0.8	5
62	1	9	6	纵火水鬼	5	31	120	171	1061	0.8	5
63	1	9	7	凿船水鬼	5	31	174	260	1062	0.8	5
64	1	9	8	归风庄剑师	5	31	242	162	1063	1	8
65	1	9	9	水鬼刺客	5	31	129	98	1064	1	8
66	1	10	1	玄击金刚	1	25	56	248	1065	2.2	13
67	1	10	2	贝尔	1	25	258	181	1066	1	8
68	1	10	3	迪亚	1	25	264	202	1067	1	8
69	1	10	4	莫菲	1	25	236	196	1068	1	8
70	1	10	5	长毛雪怪	5	25	52	89	1069	1	8
71	1	10	6	蓑衣野人	5	25	57	167	1070	1	8
72	1	10	7	雪狼	5	25	47	104	1071	0.4	4
73	1	10	8	狼族勇士	5	25	158	70	1072	1.5	9
74	1	10	9	狼族神汉	5	25	190	250	1073	1.5	9
75	1	10	10	狼族土司	5	25	262	198	1074	1.5	9
76	1	10	11	狼族头人	5	25	138	236	1075	1.5	9
77	1	11	1	八爪怪兽	1	19	153	202	1076	1	8
78	1	11	2	红铁爪	1	19	246	129	1077	1	8
79	1	11	3	红寡妇	1	19	225	131	1078	1	8
80	1	11	4	小胖	1	19	267	44	1079	0.3	3
81	1	11	5	打草谷辽兵	5	19	184	79	1080	1	8
82	1	11	6	红枫蜘蛛	5	19	150	200	1081	1	8
83	1	11	7	红枫熊	5	19	233	93	1082	1	8
84	1	11	8	秦家寨劫匪	5	19	163	136	1083	1	8
85	1	11	9	秦家寨护卫	5	19	40	153	1084	1	8
86	1	11	10	秦家寨教头	5	19	36	249	1085	1	8
87	1	12	1	千年冰魄	1	32	54	229	1086	2.2	12
88	1	12	2	山越游魂	1	32	152	47	1087	1	8
89	1	12	3	含笑	1	32	165	213	1088	1	8
90	1	12	4	深谷白猿	10	32	50	84	1089	0.4	4
91	1	12	5	白花蜘蛛	10	32	158	113	1090	1	8
92	1	12	6	山越战士	10	32	268	244	1091	1	8
93	1	12	7	山越盗匪	10	32	156	54	1092	1	8
94	1	12	8	树甲哨兵	10	32	258	125	1093	0.6	5
95	1	12	9	山越刀客	10	32	169	239	1094	1	8
96	1	13	1	阿支	1	26	130	261	1095	1.3	8
97	1	13	2	花岗狮王	1	26	201	174	1096	1	8
98	1	13	3	棕熊	10	26	273	45	1097	1	8
99	1	13	4	狼蛛	10	26	185	99	1098	1	8
100	1	13	5	花岗石狮	10	26	217	147	1099	1	8
101	1	13	6	花岗石人	10	26	76	185	1100	1.5	9.5
102	1	13	7	页岩石人	10	26	49	55	1101	1.5	9.5
103	1	13	8	石人偃师	10	26	167	196	1102	1.6	9
104	1	14	1	白冥启	1	20	77	124	1103	1.8	12
105	1	14	2	端木元	1	20	275	146	1104	1.2	8
106	1	14	3	草原狼	10	20	177	250	1105	0.4	4
107	1	14	4	蒙古黑蜂	10	20	275	269	1106	1	8
108	1	14	5	闪电马匪	10	20	78	246	1107	1.4	10
109	1	14	6	追风马匪	10	20	198	104	1108	1.4	10
110	1	14	7	弯刀马匪	10	20	273	156	1109	1.4	10
111	1	14	8	打草谷宋兵	10	20	40	45	1110	1.3	8
112	1	15	1	红袍蜘蛛	10	33	40	250	1111	1	8
113	1	15	2	丛林野人	10	33	109	105	1112	1	8
114	1	15	3	山越祭司	10	33	120	71	1113	1	8
115	1	15	4	棚民	10	33	167	174	1114	0.8	6
116	1	15	5	山越护法	10	33	222	53	1115	1	8
