INT	INT	INT	INT	STRING
INT	INT	INT	INT	STRING
1	1	1307	644	雁门团本休息室
2	2	894	640	雁门副本
3	1	17143	644	藏经阁
4	1	17144	644	藏经阁
5	1	17145	644	藏经阁
6	1	17146	644	藏经阁
7	1	17147	644	藏经阁
8	1	17148	644	藏经阁
9	1	17149	644	藏经阁
10	1	17150	644	藏经阁
11	1	17151	644	藏经阁
12	1	17152	644	藏经阁
13	1	17153	644	藏经阁
14	1	17154	644	藏经阁
15	1	17155	644	藏经阁
16	1	17156	644	藏经阁
17	1	17157	644	藏经阁
18	1	17158	644	藏经阁
19	1	17159	644	藏经阁
20	1	17160	644	藏经阁
21	1	17161	644	藏经阁
22	1	17162	644	藏经阁
23	2	888	680	凤凰副本
24	1	17683	681	团队休息室
25	1	17684	681	凤凰高级休息室
26	1	17685	681	凤凰高级休息室
27	1	17686	681	凤凰高级休息室
28	1	17687	681	凤凰高级休息室
29	1	17688	681	凤凰高级休息室
30	1	17689	681	凤凰高级休息室
31	1	17690	681	凤凰高级休息室
32	1	17691	681	凤凰高级休息室
33	1	17692	681	凤凰高级休息室
34	1	17693	681	凤凰高级休息室
35	1	17694	681	凤凰高级休息室
36	1	17695	681	凤凰高级休息室
37	1	17696	681	凤凰高级休息室
38	1	17697	681	凤凰高级休息室
39	1	17698	681	凤凰高级休息室
40	1	17699	681	凤凰高级休息室
41	1	17700	681	凤凰高级休息室
42	1	17701	681	凤凰高级休息室
43	1	17702	681	凤凰高级休息室
44	1	18043	681	报名休息室
45	1	18044	681	报名休息室
46	1	18045	681	报名休息室
47	1	18046	681	报名休息室
48	1	18047	681	报名休息室
49	1	18048	681	报名休息室
50	1	18049	681	报名休息室
51	1	18050	681	报名休息室
52	1	18051	681	报名休息室
53	1	18052	681	报名休息室
54	1	18053	681	报名休息室
55	1	18054	681	报名休息室
56	1	18055	681	报名休息室
57	1	18056	681	报名休息室
58	1	18057	681	报名休息室
59	1	18058	681	报名休息室
60	1	18059	681	报名休息室
61	1	18060	681	报名休息室
62	1	18061	681	报名休息室
63	1	18062	681	报名休息室
64	1	18063	681	报名休息室
65	1	18064	681	报名休息室
66	1	18065	681	报名休息室
67	1	18066	681	报名休息室
68	1	18067	681	报名休息室
69	1	18068	681	报名休息室
70	1	18069	681	报名休息室
71	1	18070	681	报名休息室
72	1	18071	681	报名休息室
73	1	18072	681	报名休息室
74	1	18073	681	报名休息室
75	1	18074	681	报名休息室
76	1	18075	681	报名休息室
77	1	18076	681	报名休息室
78	1	18077	681	报名休息室
79	1	18078	681	报名休息室
80	1	18079	681	报名休息室
81	1	18080	681	报名休息室
82	1	18081	681	报名休息室
83	1	18082	681	报名休息室
84	1	18083	681	报名休息室
85	1	18084	681	报名休息室
86	1	18085	681	报名休息室
87	1	18086	681	报名休息室
88	1	18087	681	报名休息室
89	1	18088	681	报名休息室
90	1	18089	681	报名休息室
91	1	18090	681	报名休息室
92	1	18091	681	报名休息室
93	1	18092	681	报名休息室
94	1	18093	681	报名休息室
95	1	18094	681	报名休息室
96	1	18095	681	报名休息室
97	1	18096	681	报名休息室
98	1	18097	681	报名休息室
99	1	18098	681	报名休息室
100	1	18099	681	报名休息室
101	1	18100	681	报名休息室
102	1	18101	681	报名休息室
103	1	18102	681	报名休息室
104	1	18103	681	报名休息室
105	1	18104	681	报名休息室
106	1	18105	681	报名休息室
107	1	18106	681	报名休息室
108	1	18107	681	报名休息室
109	1	18108	681	报名休息室
110	1	18109	681	报名休息室
111	1	18110	681	报名休息室
112	1	18111	681	报名休息室
113	1	18112	681	报名休息室
114	1	18113	681	报名休息室
115	1	18114	681	报名休息室
116	1	18115	681	报名休息室
117	1	18116	681	报名休息室
118	1	18117	681	报名休息室
119	1	18118	681	报名休息室
120	1	18119	681	报名休息室
121	1	18120	681	报名休息室
122	1	18121	681	报名休息室
123	1	18122	681	报名休息室
124	2	887	712	五岳境
125	2	874	738	五岳山
126	1	18117	0	报名休息室
