INT	INT	INT
INT	INT	INT
1	17032	100
2	17033	101
3	17034	102
4	17035	103
5	17036	104
6	17037	105
7	17038	106
8	17039	107
9	17040	108
10	17041	109
11	17042	110
12	17043	111
13	17044	112
14	17045	113
15	17046	114
16	17047	115
17	17048	116
18	17049	117
19	17050	118
20	17051	119
21	17052	100
22	17053	101
23	17054	102
24	17055	103
25	17056	104
26	17057	105
27	17058	106
28	17059	107
29	17060	108
30	17061	109
31	17062	110
32	17063	111
33	17064	112
34	17065	113
35	17066	114
36	17067	115
37	17068	116
38	17069	117
39	17070	118
40	17071	119
