INT	INT	INT	INT
INT	INT	INT	INT
1	17072	100	1
2	17073	101	1
3	17074	102	1
4	17075	103	1
5	17076	104	1
6	17077	105	1
7	17078	106	2
8	17079	107	2
9	17080	108	2
10	17081	109	2
11	17082	110	2
12	17083	111	2
13	17084	112	3
14	17085	113	3
15	17086	114	3
16	17087	115	3
17	17088	116	3
18	17089	117	3
19	17090	118	0
20	17091	119	0
21	17092	100	0
22	17093	101	0
23	17094	102	0
24	17095	103	0
25	17096	104	0
26	17097	105	0
27	17098	106	0
28	17099	107	0
29	17100	108	0
30	17101	109	0
31	17102	110	0
32	17103	111	0
33	17104	112	0
34	17105	113	0
35	17106	114	0
36	17107	115	0
37	17108	116	0
38	17109	117	0
39	17110	118	0
40	17111	119	0
