INT	INT	INT	STRING	STRING
INT	INT	INT	STRING	STRING
0	0	4	Xí Nga Vß½ng	#W&U#PTÕi Tuyªt Nguyên thßşng tß¾ng#{_BOSS42}#PXuy­n Phiên trên m£t ğ¤t, nh£t lên#W&I#P, PHi bình thß¶ng tiêu sái Li­u.
1	0	4	Xí Nga Vß½ng	#W&U#PTß¾ng#{_BOSS42}#P? ngã xu¯ng ğ¤t, #W&U#Pr¯t cøc Nhßşng Ki Cung ra#W&I#PĞích ch², n½i.
2	0	4	Xí Nga Vß½ng	#W&U#PTÕi#G&S#PğÕi chiªn#{_BOSS42}#P, NHân ngß¶i sau bøng Thái Ngã, giao ra#W&I#P, bÕi tr§n mà ği.
3	1	4	ĞoÕt Bäo Mã T£c	#W&U#PVu#G&S#Pkh± chiªn#{_BOSS48}#P, m?t. . . Không. . . Lßu ı dçm nát mã t£c r¾t xu¯ng#W&I#PThßşng trßşt Nh¤t Giao, thu§n tay ğem SuÖ Nh§p trong lòng, ngñc.
4	1	4	ĞoÕt Bäo Mã T£c	#W&U#PTÕi#G&S#POa Ğáo bäo tàng lúc sau quá mÑc hßng ph¤n, Ngµ SÑ nh¤t chiêu'Kim Cß½ng Phøc Ma Khuyên'. Cánh Tß¾ng chung quanh ¦n núp Ğích#{_BOSS48}#Pğánh gøc, nh§n ğßşc mµt cái#W&I#P.
5	1	4	ĞoÕt Bäo Mã T£c	#W&U#PDß#{_BOSS48}#PTÕi#G&S#Pác chiªn là lúc, cái trán B¸ mµt cái ám khí ğánh trúng. #W&U#PğÑng d§y nh£t lên ám khí v×a th¤y, nguyên lai là mµt cái#W&I#P.
6	2	4	Ğánh Lén Môn Phái	#W&U#PDß#{_BOSS28}hüy ği C§n Bách hi®p r¯t cøc th¡ng lşi, Chß·ng Môn Nhân m×ng rŞ, Tß¾ng#W&I#PT£ng Chi làm nhß trä thù lao.
7	2	4	Ğánh Lén Môn Phái	#P#{_BOSS28}TÕi Tiªp Li­u#W&U#Pmµt chß·ng H§u hµc máu mà ği, Khß¾c D¸ r½i xu¯ng mµt cái#W&I#Ptrên m£t ğ¤t.
8	2	4	Ğánh Lén Môn Phái	#P#{_BOSS28}không ğ¸ch lÕi#W&U#Pxoay ngß¶i mu¯n chÕy tr¯n, #W&U#Pkéo l¤y Tha Ğích qu¥n áo, qu¥n áo lên tiªng trä l¶i Nhi Li®t, mµt cái#W&I#Pd×ng · Li­u trên m£t ğ¤t.
9	3	4	Ngân Ngai Tuyªt Nguyên	#W&U#Pğang ·#G&S#PThß·ng Tuyªt, chşt th¤y hàn quang chşt lóe, #W&U#Pthân thü tiªp ğßşc, ğúng là mµt phen#W&I#P.
