INT	STRING	INT	INT
INT	STRING	INT	INT
0	rain	171	13
1	rain_xiao	171	13
2	暴风骤雨	492	5
3	雷电交加	493	7
4	飞雪连天	-1	-1
5	落英缤纷	-1	-1
6	竹叶青青	-1	-1
7	枫叶红红	-1	-1
8	黄沙漫天	396	7
9	财源滚滚	-1	-1
10	yanhuo_五一全景	-1	-1
11	boss_李秋水04	-1	-1
12	boss_李秋水06	-1	-1
13	boss_李秋水11	-1	-1
14	boss_李秋水14	-1	-1
15	boss_李秋水16	-1	-1
16	boss_李秋水18	-1	-1
17	cj_束河大雾	-1	-1
18	cj_束河刮风	2036	5
19	cj_束河下雨	2035	5
20	yanhuo_七夕玫瑰花雨	-1	-1
21	yanhuo_奥运烟花05	-1	-1
22	yanhuo_生日烟花	-1	-1
23	cj_彩带	-1	-1
24	yanhua_大理_桂花纸鹤	-1	-1
25	yanhua_洛阳_千纸鹤式样	-1	-1
26	yanhua_苏州_桂花烟花	-1	-1
27	cj_落跑猫咪_2022烟花	-1	-1
28	yanhua_大理_桂花无千纸鹤	-1	-1
29	yanhua_洛阳_千纸鹤式样无千纸鹤	-1	-1
30	yanhua_苏州_烟花无千纸鹤	-1	-1
31	cj_全屏烟花_2022周年庆抽奖_蛋蛋鸡	-1	-1
32	cj_全屏烟花_2022周年庆抽奖_呆呆牛	-1	-1
33	cj_全屏烟花_2022周年庆抽奖_小狐仙	-1	-1
34	cj_鹊桥仙任务完成_全屏特效	-1	-1
35	yanhua_比武招亲_全屏烟花	-1	-1
36	挂屏_烟雾A	-1	-1
37	cj_整治龙孩子_全景烟花	-1	-1
38	主角_周年庆拍卖套装_雷电全景特效_乌云A	-1	-1
39	boss_大话PVE_孙悟空_技能4_全景镜头	-1	-1
40	boss_2024牛魔王_4技能_风	-1	-1
41	boss_2024大话二郎神_技能5_天气	-1	-1
42	cj_冰雪大世界氛围_全景冰雪烟花	-1	-1
43	主角_冰雪2024时装展示01全景烟花	-1	-1
44	cj_2025夏日氛围_全景烟花	-1	-1
45	boss_2025七夕副本血槐娘娘_百骸共溃_场地中心	-1	-1
46	boss_倩女日常本_月槐女妖_技能4_全景镜头	-1	-1
47	主角_2025蚩尤时装_全景展示烟花	-1	-1
